g_name,c_name,c_num_of_genes,c_len,c_pct_assemby_len,c_genelenm,c_genelensd,c_pearson_r,c_pearson_p,c_gc_cont,c_gcdev,g_len,g_lendev_c,g_lendev_o,g_abspos,g_terminal,g_single,g_pearson_r_o,g_pearson_p_o,g_pearson_r_c,g_pearson_p_c,g_gc_cont,g_gcdev_c,g_gcdev_o
None-gene-37011,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,672,0.011,-0.4399,0.9986,0,0,-0.0148,0.8131,-0.0148,0.8131,0.4851,0.7949,3.0392
None-gene-37739,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,168,0.0019,-0.5676,0.9986,0,0,-0.1809,0.0125,-0.1809,0.0125,0.5952,1.0,6.2278
None-gene-40008,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,312,0.0045,-0.5311,0.9985,0,0,0.0359,0.5674,0.0359,0.5674,0.4359,0.7032,1.614
None-gene-41109,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,396,0.006,-0.5098,0.9985,0,0,0.0628,0.3166,0.0628,0.3166,0.4015,0.6392,0.6184
None-gene-41581,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,444,0.0069,-0.4976,0.9985,0,0,0.0076,0.9054,0.0076,0.9054,0.3941,0.6255,0.405
None-gene-42033,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,918,0.0155,-0.3775,0.9985,0,0,0.0508,0.4185,0.0508,0.4185,0.4085,0.6522,0.8206
None-gene-42349,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,342,0.005,-0.5235,0.9985,0,0,-0.0152,0.8123,-0.0152,0.8123,0.4035,0.6429,0.6762
None-gene-44266,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,375,0.0056,-0.5151,0.9984,0,0,0.1437,0.0257,0.1437,0.0257,0.4267,0.686,1.3467
None-gene-45189,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,750,0.0124,-0.4201,0.9983,0,0,0.142,0.0231,0.142,0.0231,0.4387,0.7084,1.6942
None-gene-51765,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,456,0.0071,-0.4946,0.9981,0,0,-0.0048,0.9406,-0.0048,0.9406,0.3947,0.6266,0.4222
None-gene-52471,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,624,0.0101,-0.452,0.9981,0,0,0.0715,0.2545,0.0715,0.2545,0.4103,0.6555,0.8715
None-gene-54040,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,468,0.0073,-0.4915,0.998,0,0,-0.0171,0.792,-0.0171,0.792,0.4188,0.6714,1.119
None-gene-58937,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,348,0.0051,-0.522,0.9978,0,0,0.1477,0.018,0.1477,0.018,0.4052,0.646,0.7243
None-gene-59553,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,609,0.0099,-0.4558,0.9978,0,0,-0.0181,0.7798,-0.0181,0.7798,0.3988,0.6342,0.5404
None-gene-60944,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,294,0.0041,-0.5356,0.9978,0,0,-0.0209,0.7471,-0.0209,0.7471,0.4286,0.6896,1.4019
None-gene-66186,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,306,0.0044,-0.5326,0.9976,0,0,0.0845,0.1956,0.0845,0.1956,0.3889,0.6157,0.2528
None-gene-67085,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,117,0.0009,-0.5805,0.9975,0,0,0.0518,0.4792,0.0518,0.4792,0.547,0.9102,4.8313
None-gene-68920,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,6449,0.1158,1.0242,0.9975,0,0,0.073,0.2443,0.073,0.2443,0.4502,0.7298,2.0268
None-gene-69991,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,1959,0.0344,-0.1137,0.9974,0,0,0.0649,0.3009,0.0649,0.3009,0.4768,0.7794,2.7976
None-gene-72052,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,579,0.0093,-0.4634,0.9974,0,0,-0.0571,0.3706,-0.0571,0.3706,0.4093,0.6537,0.8446
None-gene-73715,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,1233,0.0212,-0.2977,0.9973,0,0,0.0268,0.67,0.0268,0.67,0.4574,0.7433,2.2372
None-gene-75179,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,636,0.0103,-0.449,0.9973,0,0,-0.0661,0.2995,-0.0661,0.2995,0.4182,0.6703,1.1027
None-gene-84922,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,384,0.0058,-0.5128,0.9969,0,0,-0.0596,0.342,-0.0596,0.342,0.4256,0.684,1.3155
None-gene-86763,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,228,0.0029,-0.5524,0.9968,0,0,0.2057,0.0011,0.2057,0.0011,0.4518,0.7328,2.0731
None-gene-87106,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,381,0.0057,-0.5136,0.9968,0,0,0.0576,0.3667,0.0576,0.3667,0.4226,0.6784,1.2282
None-gene-89599,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,435,0.0067,-0.4999,0.9967,0,0,0.0538,0.3913,0.0538,0.3913,0.4207,0.6749,1.1736
None-gene-90952,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,198,0.0024,-0.56,0.9967,0,0,0.0236,0.7599,0.0236,0.7599,0.2929,0.4369,-2.5258
None-gene-92377,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,300,0.0042,-0.5341,0.9966,0,0,-0.0266,0.6764,-0.0266,0.6764,0.45,0.7295,2.0223
None-gene-97726,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,213,0.0027,-0.5562,0.9964,0,0,-0.098,0.1239,-0.098,0.1239,0.4883,0.8008,3.1303
None-gene-100444,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,288,0.004,-0.5372,0.9963,0,0,0.0897,0.1722,0.0897,0.1722,0.4375,0.7062,1.6604
None-gene-102234,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,222,0.0028,-0.5539,0.9963,0,0,-0.007,0.9156,-0.007,0.9156,0.4369,0.7052,1.6441
None-gene-102989,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,696,0.0114,-0.4338,0.9962,0,0,0.0274,0.6622,0.0274,0.6622,0.3405,0.5256,-1.1478
None-gene-110762,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,201,0.0024,-0.5592,0.996,0,0,0.1499,0.0265,0.1499,0.0265,0.4229,0.679,1.2372
None-gene-122583,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,198,0.0024,-0.56,0.9955,0,0,-0.0135,0.8502,-0.0135,0.8502,0.3687,0.578,-0.3321
None-gene-125755,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,378,0.0057,-0.5144,0.9954,0,0,-0.0078,0.9021,-0.0078,0.9021,0.4206,0.6748,1.1721
None-gene-126676,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,234,0.003,-0.5508,0.9954,0,0,-0.0593,0.3905,-0.0593,0.3905,0.406,0.6475,0.7478
None-gene-127918,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,315,0.0045,-0.5303,0.9953,0,0,-0.0114,0.8608,-0.0114,0.8608,0.3905,0.6186,0.2988
None-gene-128526,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,708,0.0117,-0.4307,0.9953,0,0,-0.0039,0.9511,-0.0039,0.9511,0.4803,0.7859,2.8986
None-gene-129874,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,93,0.0005,-0.5866,0.9953,0,0,0.1007,0.2658,0.1007,0.2658,0.4301,0.6924,1.4463
None-gene-133584,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,1315,0.0227,-0.2769,0.9951,0,0,-0.0057,0.928,-0.0057,0.928,0.2281,0.3163,-4.4019
None-gene-134490,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,213,0.0027,-0.5562,0.9951,0,0,0.0363,0.6348,0.0363,0.6348,0.2817,0.416,-2.8512
None-gene-135039,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,1023,0.0174,-0.3509,0.9951,0,0,0.0079,0.9015,0.0079,0.9015,0.2805,0.4139,-2.8843
None-gene-135235,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,897,0.0151,-0.3828,0.9951,0,0,0.0241,0.7094,0.0241,0.7094,0.2887,0.4291,-2.6471
None-gene-136411,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,354,0.0052,-0.5204,0.995,0,0,0.1513,0.0524,0.1513,0.0524,0.1751,0.2176,-5.9364
None-gene-137119,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,294,0.0041,-0.5356,0.995,0,0,-0.1366,0.0638,-0.1366,0.0638,0.1939,0.2525,-5.3939
None-gene-138018,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,675,0.0111,-0.4391,0.995,0,0,-0.1315,0.045,-0.1315,0.045,0.2667,0.388,-3.2862
None-gene-138825,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,1668,0.0291,-0.1874,0.9949,0,0,0.0145,0.817,0.0145,0.817,0.2188,0.2989,-4.6715
None-gene-141026,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,234,0.003,-0.5508,0.9948,0,0,0.0318,0.6536,0.0318,0.6536,0.3034,0.4565,-2.222
None-gene-141031,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,318,0.0046,-0.5296,0.9948,0,0,0.0868,0.207,0.0868,0.207,0.2484,0.3541,-3.8143
None-gene-141537,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,705,0.0116,-0.4315,0.9948,0,0,-0.0254,0.702,-0.0254,0.702,0.2908,0.4329,-2.588
None-gene-142268,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,672,0.011,-0.4399,0.9948,0,0,0.0381,0.5508,0.0381,0.5508,0.25,0.357,-3.7688
None-gene-142951,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,120,0.001,-0.5797,0.9948,0,0,0.157,0.3334,0.157,0.3334,0.0583,0.0,-9.3187
None-gene-145368,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,630,0.0102,-0.4505,0.9947,0,0,0.0055,0.9316,0.0055,0.9316,0.3811,0.6012,0.0282
None-gene-146809,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,171,0.0019,-0.5668,0.9946,0,0,0.0168,0.8319,0.0168,0.8319,0.2924,0.436,-2.5412
None-gene-147084,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,1119,0.0191,-0.3266,0.9946,0,0,0.2132,0.0006,0.2132,0.0006,0.3405,0.5255,-1.1488
None-gene-150884,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,258,0.0035,-0.5448,0.9945,0,0,-0.0214,0.7408,-0.0214,0.7408,0.4457,0.7215,1.8989
None-gene-167595,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,9948,0.1793,1.9109,0.9939,0,0,0.2518,0.0,0.2518,0.0,0.4169,0.6678,1.0627
None-gene-169583,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,390,0.0059,-0.5113,0.9938,0,0,0.0045,0.9429,0.0045,0.9429,0.4385,0.708,1.6882
None-gene-170081,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,264,0.0036,-0.5432,0.9938,0,0,-0.0291,0.6574,-0.0291,0.6574,0.4129,0.6604,0.9475
None-gene-175655,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,315,0.0045,-0.5303,0.9936,0,0,0.0593,0.3516,0.0593,0.3516,0.4762,0.7783,2.7807
None-gene-204685,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,842,0.0141,-0.3968,0.9925,0,0,0.0424,0.4993,0.0424,0.4993,0.4359,0.7032,1.6131
None-gene-205111,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,183,0.0021,-0.5638,0.9925,0,0,-0.0188,0.7689,-0.0188,0.7689,0.4809,0.787,2.9163
None-gene-206211,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,219,0.0028,-0.5547,0.9925,0,0,-0.0122,0.8504,-0.0122,0.8504,0.4612,0.7503,2.3463
None-gene-209835,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,486,0.0076,-0.487,0.9923,0,0,0.0774,0.2243,0.0774,0.2243,0.4033,0.6425,0.6699
None-gene-210497,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,228,0.0029,-0.5524,0.9923,0,0,0.0116,0.8598,0.0116,0.8598,0.4167,0.6674,1.0572
None-gene-215058,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,1960,0.0344,-0.1134,0.9921,0,0,0.1496,0.0166,0.1496,0.0166,0.433,0.6977,1.5288
None-gene-217138,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,684,0.0112,-0.4368,0.9921,0,0,-0.1041,0.0964,-0.1041,0.0964,0.462,0.7518,2.3695
None-gene-222662,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,390,0.0059,-0.5113,0.9919,0,0,0.1326,0.0368,0.1326,0.0368,0.4113,0.6574,0.9021
None-gene-226965,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,561,0.009,-0.468,0.9917,0,0,0.0731,0.2441,0.0731,0.2441,0.4153,0.6649,1.0184
None-gene-228437,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,1229,0.0211,-0.2987,0.9917,0,0,0.2045,0.001,0.2045,0.001,0.3615,0.5647,-0.5398
None-gene-235011,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,117,0.0009,-0.5805,0.9914,0,0,0.045,0.541,0.045,0.541,0.3932,0.6236,0.3766
None-gene-245331,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,192,0.0023,-0.5615,0.991,0,0,-0.0634,0.3716,-0.0634,0.3716,0.4635,0.7547,2.4145
None-gene-245334,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,198,0.0024,-0.56,0.991,0,0,-0.0615,0.3731,-0.0615,0.3731,0.4697,0.7662,2.5927
None-gene-265857,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,333,0.0048,-0.5258,0.9903,0,0,0.1697,0.0083,0.1697,0.0083,0.4024,0.6408,0.6441
None-gene-266600,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,525,0.0083,-0.4771,0.9903,0,0,0.0407,0.5164,0.0407,0.5164,0.3867,0.6115,0.1885
None-gene-300864,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,183,0.0021,-0.5638,0.989,0,0,0.0016,0.981,0.0016,0.981,0.3661,0.5733,-0.4065
None-gene-303395,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,348,0.0051,-0.522,0.9889,0,0,0.0713,0.2784,0.0713,0.2784,0.3736,0.5871,-0.1909
None-gene-303973,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,762,0.0126,-0.417,0.9889,0,0,-0.0041,0.9485,-0.0041,0.9485,0.3766,0.5929,-0.1018
None-gene-305096,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,444,0.0069,-0.4976,0.9889,0,0,0.1607,0.0127,0.1607,0.0127,0.3671,0.5751,-0.3776
None-gene-313080,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,315,0.0045,-0.5303,0.9886,0,0,0.1753,0.0062,0.1753,0.0062,0.4032,0.6423,0.6665
None-gene-316064,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,282,0.0039,-0.5387,0.9885,0,0,-0.0619,0.3306,-0.0619,0.3306,0.422,0.6773,1.2112
None-gene-317887,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,2493,0.044,0.0216,0.9884,0,0,0.186,0.0028,0.186,0.0028,0.3821,0.6031,0.0574
None-gene-325152,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,252,0.0034,-0.5463,0.9881,0,0,-0.0788,0.2228,-0.0788,0.2228,0.4524,0.7339,2.0913
None-gene-338553,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,626,0.0102,-0.4515,0.9876,0,0,-0.0177,0.7783,-0.0177,0.7783,0.3935,0.6243,0.3874
None-gene-344395,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,144,0.0014,-0.5737,0.9874,0,0,0.1807,0.0099,0.1807,0.0099,0.5208,0.8614,4.0734
None-gene-346092,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,629,0.0102,-0.4507,0.9874,0,0,0.1575,0.0161,0.1575,0.0161,0.3251,0.4969,-1.593
None-gene-348590,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,792,0.0132,-0.4094,0.9873,0,0,0.0399,0.5255,0.0399,0.5255,0.3864,0.611,0.1797
None-gene-356525,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,342,0.005,-0.5235,0.987,0,0,0.0498,0.4421,0.0498,0.4421,0.4444,0.7191,1.8615
None-gene-362686,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,126,0.0011,-0.5782,0.9868,0,0,0.0749,0.3017,0.0749,0.3017,0.5079,0.8374,3.6999
None-gene-363270,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,2466,0.0436,0.0148,0.9867,0,0,0.108,0.0845,0.108,0.0845,0.4351,0.7018,1.5914
None-gene-365952,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,261,0.0035,-0.544,0.9866,0,0,0.0126,0.8481,0.0126,0.8481,0.4828,0.7905,2.9709
None-gene-367241,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,915,0.0154,-0.3783,0.9866,0,0,0.189,0.0024,0.189,0.0024,0.3945,0.6262,0.4163
None-gene-381573,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,3077,0.0546,0.1696,0.9861,0,0,0.212,0.0006,0.212,0.0006,0.3832,0.605,0.0871
None-gene-384910,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,4129,0.0737,0.4362,0.9859,0,0,0.1226,0.05,0.1226,0.05,0.3611,0.5639,-0.5517
None-gene-394341,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,8544,0.1539,1.5551,0.9856,0,0,0.2626,0.0,0.2626,0.0,0.4019,0.6399,0.6301
None-gene-413567,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,2897,0.0514,0.124,0.9849,0,0,0.1792,0.004,0.1792,0.004,0.4087,0.6526,0.8264
None-gene-421674,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,460,0.0072,-0.4936,0.9846,0,0,-0.0815,0.1934,-0.0815,0.1934,0.3935,0.6242,0.3857
None-gene-428322,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,483,0.0076,-0.4877,0.9844,0,0,0.0694,0.2684,0.0694,0.2684,0.4576,0.7436,2.2412
None-gene-428969,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,2830,0.0502,0.107,0.9843,0,0,0.3063,0.0,0.3063,0.0,0.4194,0.6726,1.1373
None-gene-437159,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,306,0.0044,-0.5326,0.984,0,0,-0.0249,0.6961,-0.0249,0.6961,0.4477,0.7252,1.9561
None-gene-437832,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,325,0.0047,-0.5278,0.984,0,0,-0.0334,0.6235,-0.0334,0.6235,0.4369,0.7051,1.6437
None-gene-439174,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,2110,0.0371,-0.0754,0.984,0,0,0.1928,0.0019,0.1928,0.0019,0.4123,0.6593,0.9314
None-gene-447389,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,1302,0.0224,-0.2802,0.9837,0,0,0.0071,0.9097,0.0071,0.9097,0.4009,0.6381,0.6012
None-gene-452120,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,748,0.0124,-0.4206,0.9835,0,0,0.0714,0.2549,0.0714,0.2549,0.377,0.5935,-0.0913
None-gene-455973,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,1485,0.0258,-0.2338,0.9833,0,0,0.0952,0.1287,0.0952,0.1287,0.4047,0.6451,0.711
None-gene-456095,JASKUS010000001.1,4731,54744915,1.0,2407.6597,3946.0102,1.0,0.0,0.3476,nan,309,0.0044,-0.5318,0.9833,0,0,0.1271,0.0455,0.1271,0.0455,0.4013,0.6388,0.612
