c_name,num_of_genes,lca,lcaID,percentage_target,most_abundant_taxon,target_bitscore_mean,target_bitscore_sd,target_evalue_mean,target_evalue_sd,other_bitscore_mean,other_bitscore_sd,other_evalue_mean,other_evalue_sd
contig_1059,48,Pseudolycoriella hygida,35572,0.020833333333333332,Pseudolycoriella hygida,50.4,,2.04e-05,,52.4,,6.53e-06,
contig_1043,91,Bradysia,35571,0.02197802197802198,Bradysia,97.65,1.34,6.635e-21,7.587255762131655e-21,250.41,254.74,3.88437586875029e-07,1.095179889565947e-06
contig_1067,3,Dufourea novaeangliae,178035,0.3333333333333333,Dufourea novaeangliae,147.0,,9.95e-44,,49.3,,1.27e-05,
contig_1048,98,cellular organisms,131567,0.12244897959183673,Bradysia odoriphaga,113.14,41.09,3.895892500000003e-10,1.3479800541623296e-09,150.59,184.48,5.091966666836e-10,2.333738802637558e-09
contig_1068,5,Dufourea novaeangliae,178035,0.8,Dufourea novaeangliae,105.32,44.68,6.4000000000385005e-09,1.2799999999974333e-08,47.4,,5.22e-05,
contig_1031,138,Bradysia,35571,0.036231884057971016,Bradysia coprophila,92.06,76.41,2.246696052e-05,4.252831302792239e-05,155.05,122.0,4.192770848181818e-12,1.0574532608979984e-11
contig_1090,1,Unassigned,,0,,,,,,,,,
contig_1103,2,Unassigned,,0,,,,,,,,,
contig_1070,49,Bradysia,35571,0.10204081632653061,Bradysia,93.88,63.81,4.4280002280834e-06,9.2237691577314e-06,210.15,274.84,2.3000000002431666e-09,5.6338264082821826e-09
contig_1100,8,Unassigned,,0,,,,,,,,,
contig_1107,20,Unassigned,,0,,,,,,,,,
contig_1026,208,cellular organisms,131567,0.10576923076923077,Bradysia,175.18,89.61,1.1228535454545459e-06,5.266029509846453e-06,194.47,104.8,4.21425452826087e-06,2.8453684585999624e-05
contig_1129,1,Unassigned,,0,,,,,,,,,
contig_1131,1,Unassigned,,0,,,,,,,,,
contig_1139,2,Unassigned,,0,,,,,,,,,
contig_1130,4,Unassigned,,0,,,,,,,,,
contig_1143,3,Bradysia coprophila,38358,0,Bradysia coprophila,,,,,273.87,185.42,7.466666666666666e-23,1.2932646029847617e-22
contig_1057,222,Bradysia,35571,0.08108108108108109,Bradysia,140.04,61.77,7.777777781732435e-12,3.2749594618060276e-11,182.98,175.2,3.500350000394106e-06,2.6191554217184905e-05
contig_1006,295,cellular organisms,131567,0.0576271186440678,Bradysia,155.71,94.74,2.0828110035554417e-15,8.585643265374367e-15,161.06,103.94,2.4111485416672078e-05,0.00014229546618557286
contig_1138,17,cellular organisms,131567,0.17647058823529413,Bradysia coprophila,169.13,112.13,1.7733333333333332e-06,3.071503432088809e-06,208.8,194.03,6.7e-13,9.475230867899736e-13
contig_1157,16,Unassigned,,0,,,,,,,,,
contig_1073,77,Bradysia,35571,0.06493506493506493,Bradysia,116.28,35.6,1.4000000004419999e-12,3.13049516825262e-12,124.66,44.36,3.759423700000566e-12,1.1785319354061316e-11
contig_1082,91,Bradysia,35571,0.02197802197802198,Bradysia coprophila,75.3,14.42,7.150000173e-10,1.0111626726308684e-09,185.58,238.6,5.03375e-05,9.518975238088043e-05
contig_1149,29,Unassigned,,0,,,,,,,,,
contig_1064,169,cellular organisms,131567,0.08284023668639054,Bradysia,161.8,83.76,4.017571428571473e-08,1.499040460640525e-07,175.83,112.49,1.0978500141014771e-08,6.132165254933984e-08
contig_1144,30,cellular organisms,131567,0.2,Bacteria,103.33,31.02,1.7333975000072668e-09,4.24575078849516e-09,61.8,6.22,3.33455e-07,4.6887543553698777e-07
contig_1062,195,Sciaridae,7184,0.020512820512820513,Bradysia coprophila,90.0,39.27,3.0515000000077e-08,5.900763425179604e-08,146.17,75.61,3.674500018267316e-06,1.4640551277216073e-05
contig_1159,53,Bradysia coprophila,38358,0,Bradysia coprophila,,,,,52.4,,1.35e-05,
contig_1072,177,cellular organisms,131567,0.10734463276836158,Bradysia,150.19,131.38,3.0776467158620535e-08,1.1628042343560733e-07,204.07,161.47,3.1122307808077095e-14,1.4406704762355367e-13
contig_1110,122,Ecdysozoa,1206794,0.12295081967213115,Bradysia,119.2,56.58,3.4202333424699313e-06,1.3245538522449884e-05,261.88,220.94,5.945416667696944e-06,2.5219899563526845e-05
contig_111,183,cellular organisms,131567,0.04371584699453552,Bradysia coprophila,101.62,63.52,6.715968785884425e-07,1.8783285826951532e-06,149.38,73.12,1.786666684888889e-14,4.6963389918900313e-14
contig_1034,408,cellular organisms,131567,0.08088235294117647,Bradysia coprophila,150.93,86.06,6.697561912697851e-08,3.847105574552963e-07,184.36,148.3,3.8986636612655896e-06,2.9121957120626852e-05
contig_1127,190,cellular organisms,131567,0.14210526315789473,Bradysia coprophila,173.56,121.9,1.8076598349486405e-11,9.391514007848751e-11,169.88,135.55,5.698291494614001e-08,2.937857310629276e-07
contig_1024,419,cellular organisms,131567,0.05489260143198091,Bradysia,177.94,192.81,4.054751479978262e-06,1.7353977990875266e-05,225.33,146.66,6.829200704262817e-07,5.2487670986270825e-06
contig_109,234,Protostomia,33317,0.06837606837606838,Bradysia,166.59,113.78,6.868854168126238e-05,0.00022313988856373433,149.19,60.63,5.536911652526842e-13,2.929201267954934e-12
contig_113,209,Endopterygota,33392,0.03349282296650718,Bradysia coprophila,197.8,114.55,3.4572411428575724e-21,9.146696910490639e-21,171.02,125.63,2.572493765314459e-05,0.00014548609531739187
contig_1071,320,cellular organisms,131567,0.115625,Bradysia,129.18,53.66,2.330024929517577e-09,1.0279781263887696e-08,223.44,180.65,6.083279634760667e-07,4.463392129286383e-06
contig_1056,460,cellular organisms,131567,0.1282608695652174,Bradysia,220.75,225.7,1.0763454601368348e-07,8.266986030613211e-07,198.21,129.96,1.1761566609385627e-05,6.523439280139373e-05
contig_1150,336,cellular organisms,131567,0.041666666666666664,Bradysia coprophila,134.21,81.83,6.615310725e-06,2.469059211768772e-05,117.84,68.26,9.999195217999998e-05,0.0002494328968888754
contig_1111,254,cellular organisms,131567,0.07480314960629922,Bradysia,183.64,145.19,2.689000041648284e-09,1.1650801063885634e-08,217.07,182.22,2.0928050023437883e-05,0.00013234082686650107
contig_1036,584,Sciaridae,7184,0.030821917808219176,Bradysia coprophila,104.47,58.7,8.002303900296753e-07,2.547143288250653e-06,133.7,147.34,1.910739865495632e-05,8.17527983705636e-05
contig_106,481,cellular organisms,131567,0.06444906444906445,Bradysia,157.14,115.78,2.7279835863642066e-09,1.51762477609059e-08,192.38,154.16,3.0130994986343083e-06,2.3555686294311186e-05
contig_110,426,cellular organisms,131567,0.09859154929577464,Bradysia,152.76,82.44,2.441712142973832e-07,1.5736960404640352e-06,192.13,167.31,1.8372774258095815e-05,0.00010696541020715941
contig_1124,469,cellular organisms,131567,0.06183368869936034,Bradysia coprophila,161.82,92.44,1.6655172659656881e-06,6.247415222274887e-06,196.81,128.9,1.0227482238462837e-08,7.37432855860565e-08
contig_1066,650,cellular organisms,131567,0.06,Bradysia,177.48,115.55,3.7325303257622895e-06,2.273030328951929e-05,178.56,98.14,3.4724668667423372e-06,1.903053127304705e-05
contig_1065,878,cellular organisms,131567,0.05694760820045558,Bradysia,193.57,163.76,2.183203036630047e-09,1.5414481584815488e-08,227.38,210.37,8.000275162038892e-06,5.9489015159551104e-05
