#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_265	203258	31	N	N	1	none	*	-257,-254,-253,-252,265,418
contig_266	154449	10	N	N	1	none	*	-810,266,252,253,254,257
contig_267	9201	9	N	N	1	none	*	-257,-254,-253,-252,267,1730
contig_268	1853964	45	N	N	1	none	*	-257,-254,-253,-252,268
contig_275	15570	70	N	N	2	none	*	275,-260,254,257
contig_276	1572520	31	N	N	1	none	*	276,661
contig_277	5488938	45	N	N	1	none	*	246,-249,251,277
contig_278	402165	44	N	N	1	none	*	-270,278
contig_281	2507093	45	N	N	1	none	*	281,-1147,-1146
contig_282	3046811	44	N	N	1	none	*	-270,-257,-254,-253,-252,282
contig_283	851	4	N	N	1	both	*	283
contig_284	298351	30	N	N	1	none	*	284,1801
contig_288	7039	3	N	N	1	both	*	288
contig_291	8548	4	N	N	1	both	*	291
contig_294	70554	39	N	N	1	none	*	294
contig_295	75841	9	N	N	1	none	*	295
contig_298	55797	47	N	N	1	none	*	298
contig_299	194772	15	N	N	1	right	*	299
contig_300	204189	29	N	N	1	none	*	300
contig_301	99040	30	N	N	1	none	*	301
contig_302	103060	11	N	N	1	none	*	302
contig_308	16408	3	N	N	1	none	*	303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,308
contig_309	18171	8	N	N	1	none	*	303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,309,-462
contig_311	22003	29	N	N	1	none	*	311,256,252,253,254,257
contig_316	43504	65	N	N	2	none	*	-332,335,339,-369,-367,-367,-367,-367,316
contig_319	928130	45	N	N	1	none	*	1841,319,337,-926,-350,337,-926,-350
contig_320	2007	36	N	N	1	right	*	320,-330
contig_322	93491	31	N	N	1	none	*	321,322
contig_323	188527	14	N	N	1	none	*	323,874
contig_325	1136955	47	N	N	1	none	*	-749,-741,-740,-739,-738,-737,-749,-741,-740,-739,-738,-737,-743,-742,-743,-742,-749,-741,-740,325,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,756,757
contig_326	305119	39	N	N	1	none	*	326,-755,-1809,754
contig_327	188196	28	N	N	1	none	*	327,874
contig_338	61961	38	N	N	1	none	*	338
contig_341	27448	41	N	N	1	left	*	330,341,-375
contig_342	121170	48	N	N	1	left	*	330,342
contig_343	8692	41	N	N	1	left	*	330,343
contig_346	10659	0	N	N	1	none	*	346,-345,333,333,333,333,333,333,333,333,333,333,333,333,333
contig_347	35272	67	N	N	2	none	*	-336,347,-373,367,367,369,-339,331,-335,332,340,367,367,367,367,369,-339,331,332,340,367,367,367,367,369,-339,331,-335,332
contig_348	264750	49	N	N	1	left	*	330,348
contig_349	560306	46	N	N	1	left	*	330,349,1078
contig_351	138465	13	N	N	1	left	*	330,351
contig_352	149019	33	N	N	1	none	*	352,433
contig_353	81495	29	N	N	1	left	*	330,353
contig_354	21130	31	N	N	1	left	*	330,354
contig_355	57220	48	N	N	1	left	*	330,355
contig_356	261634	28	N	N	1	none	*	356,-1120
contig_357	108937	33	N	N	1	none	*	437,-344,357
contig_358	111841	50	N	N	1	none	*	358,-373,367,367,369,-339,331,-335
contig_359	19405	9	N	N	1	both	*	359
contig_360	68874	50	N	N	1	left	*	330,360
contig_361	112629	48	N	N	1	none	*	361,1549,1549,1549,1549,1548,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1548,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1548,1549,1549,1549
contig_362	107196	31	N	N	1	none	*	362
contig_363	15929	20	N	N	1	left	*	330,363,-462
contig_365	53640	14	N	N	1	none	*	365
contig_366	1443588	42	N	N	1	right	*	-257,-254,260,366
contig_370	3710891	44	N	N	1	none	*	370
contig_372	26665	56	N	N	1	right	*	339,-369,-367,-367,-367,-368,371,-369,-367,-367,-368,-340,-332,335,-331,339,-369,-367,-367,-367,-367,-368,372
contig_374	29804	36	N	N	1	left	*	374
contig_381	149327	43	N	N	1	none	*	375,381,1549,1548,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1548,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1548,1549,1549,1549,1549,1549,1549,1549,1549
contig_382	52201	86	N	N	2	none	*	382
contig_386	58571	9	N	N	1	right	*	386
contig_387	81510	34	N	N	1	none	*	387
contig_388	483151	11	N	N	1	none	*	-1788,388
contig_389	494064	30	N	N	1	none	*	389,1788
contig_399	42558	28	N	N	1	none	*	397,399
contig_400	26283	30	N	N	1	none	*	-1789,-390,-390,-390,-394,-390,-390,-390,-390,-390,-390,-390,-396,-390,-390,-390,-390,-390,-392,-392,-392,-390,-391,-1789,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-392,-391,-391,-390,-395,-390,-394,-394,400,-397
contig_401	27811	13	N	N	1	none	*	-395,-395,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-392,-390,-390,-390,-390,-392,-391,-391,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-390,-391,-390,-392,-390,-390,-390,-390,-390,-390,-390,401,1752
contig_402	9089	8	N	N	1	both	*	402
contig_403	832646	37	N	N	1	none	*	403
contig_409	387318	13	N	N	1	none	*	-406,409,418
contig_412	1013595	30	N	N	1	none	*	406,412
contig_413	222995	11	N	N	1	both	*	413
contig_414	258590	34	N	N	1	none	*	414
contig_415	389276	30	N	N	1	none	*	-1790,415
contig_421	113080	14	N	N	1	none	*	418,421,-998
contig_422	4935	3	N	N	1	both	*	422
contig_432	406400	20	N	N	1	right	*	1850,432
contig_434	241209	32	N	N	1	none	*	434,-1858
contig_435	592034	44	N	N	1	none	*	435,-1101,1102,-1099
contig_436	487892	13	N	N	1	none	*	436
contig_438	1896585	45	N	N	1	none	*	438
contig_439	319772	13	N	N	1	none	*	439
contig_440	213304	29	N	N	1	none	*	-1464,440,917
contig_441	103652	32	N	N	1	none	*	441
contig_442	144721	33	N	N	1	none	*	-1773,-1773,442
contig_443	85080	44	N	N	1	none	*	443,-1137,-1133,-1132,-1136,-1135,-1132,-1134,-1135,-1135,-1133,-1135,-1134,-1128
contig_444	214934	12	N	N	1	none	*	444,-1779
contig_446	49615	35	N	N	1	none	*	446,-1779
contig_447	25320	9	N	N	1	none	*	447
contig_450	53856	36	N	N	1	none	*	450
contig_451	128761	32	N	N	1	none	*	451,1792
contig_452	92210	11	N	N	1	none	*	452,1792
contig_453	228311	11	N	N	1	none	*	453
contig_454	230679	30	N	N	1	none	*	454
contig_455	7404	3	N	N	1	both	*	455
contig_457	64917	15	N	N	1	right	*	456,457
contig_458	91226	28	N	N	1	none	*	456,458
contig_461	73189	41	N	N	1	none	*	461
contig_463	6801	3	N	N	1	both	*	463
contig_464	436315	30	N	N	1	none	*	464
contig_467	141024	31	N	N	1	none	*	-1232,467,1818
contig_468	395406	11	N	N	1	none	*	468
contig_472	54144	13	N	N	1	none	*	472
contig_473	62146	31	N	N	1	none	*	471,473
contig_475	77355	32	N	N	1	none	*	475
contig_476	16022	0	N	N	1	none	*	-470,476,-474,-469,477
contig_480	172879	38	N	N	1	none	*	480
contig_485	155047	31	N	N	1	none	*	485
contig_486	150596	12	N	N	1	none	*	486
contig_487	149103	13	N	N	1	none	*	915,487,977
contig_488	173968	32	N	N	1	none	*	915,488,977
contig_491	200905	13	N	N	1	none	*	491
contig_492	237956	28	N	N	1	none	*	492
contig_493	97382	29	N	N	1	none	*	493
contig_496	70366	27	N	N	1	none	*	496
contig_497	59185	22	N	N	1	right	*	497
contig_498	105148	32	N	N	1	none	*	498
contig_499	104900	13	N	N	1	none	*	499
contig_504	252499	30	N	N	1	none	*	504,1795
contig_505	232966	12	N	N	1	none	*	505,1795
contig_506	218637	30	N	N	1	none	*	1795,506
contig_507	219947	12	N	N	1	none	*	1795,507
contig_510	143666	31	N	N	1	none	*	510
contig_511	151945	13	N	N	1	none	*	511
contig_512	110422	13	N	N	1	right	*	512
contig_513	158680	30	N	N	1	none	*	513
contig_514	230306	36	N	N	1	none	*	514
contig_515	6930	7	N	N	1	both	*	515
contig_520	27234	6	N	N	1	both	*	520
contig_521	116050	31	N	N	1	none	*	521
contig_522	64928	10	N	N	1	right	*	522
contig_523	264125	31	N	N	1	none	*	523
contig_524	246166	12	N	N	1	none	*	524
contig_525	71782	38	N	N	1	none	*	525
contig_527	78952	11	N	N	1	none	*	527
contig_528	91440	29	N	N	1	none	*	528
contig_529	208878	34	N	N	1	none	*	529
contig_530	4367	3	N	N	1	both	*	530
contig_531	47370	7	N	N	1	both	*	531
contig_534	59533	31	N	N	1	none	*	534
contig_535	61762	9	N	N	1	none	*	535
contig_536	229501	33	N	N	1	none	*	536,538
contig_537	227686	13	N	N	1	right	*	-538,537
contig_541	228666	31	N	N	1	none	*	538,541,544
contig_542	56115	11	N	N	1	none	*	542
contig_547	255008	31	N	N	1	none	*	544,547,1797
contig_548	212592	15	N	N	1	none	*	544,548,1797
contig_550	232254	32	N	N	1	none	*	1797,550
contig_551	230625	13	N	N	1	none	*	1797,551
contig_552	215349	29	N	N	1	none	*	552,555
contig_553	218017	13	N	N	1	none	*	553,555
contig_554	5743	3	N	N	1	both	*	554
contig_556	879384	19	N	N	1	none	*	555,556
contig_557	408777	30	N	N	1	none	*	555,557,558,-559,558,-559,558,-559,558,-559,558,560
contig_562	515439	17	N	N	1	none	*	562
contig_566	283298	30	N	N	1	none	*	-998,566
contig_568	72623	35	N	N	1	none	*	568
contig_569	305400	12	N	N	1	none	*	569,1798
contig_570	273839	32	N	N	1	none	*	570,1798
contig_571	80392	29	N	N	1	none	*	1798,571
contig_572	77380	12	N	N	1	none	*	1798,572
contig_577	68265	47	N	N	1	none	*	577
contig_578	884069	31	N	N	1	none	*	578
contig_579	157124	30	N	N	1	none	*	579
contig_580	153546	13	N	N	1	none	*	580
contig_588	80976	25	N	N	1	none	*	588,-1788
contig_589	92657	13	N	N	1	none	*	589,-1788
contig_592	1589336	12	N	N	1	none	*	-661,592
contig_593	2685	20	N	N	1	none	*	593
contig_594	33604	31	N	N	1	none	*	594,-1306
contig_595	173785	33	N	N	1	none	*	595
contig_596	129456	12	N	N	1	left	*	596
contig_599	104208	39	N	N	1	none	*	599
contig_605	301332	12	N	N	1	none	*	605,1801
contig_606	176602	11	N	N	1	none	*	1801,606,1802
contig_607	158425	29	N	N	1	none	*	1801,607,1802
contig_608	288320	12	N	N	1	none	*	1802,608
contig_609	288984	31	N	N	1	none	*	1802,609
contig_610	6571	11	N	N	1	both	*	610
contig_613	113555	33	N	N	1	none	*	613
contig_614	6913	8	N	N	1	both	*	614
contig_617	316161	32	N	N	1	none	*	617
contig_618	94574	12	N	N	1	both	*	618
contig_621	34025	9	N	N	1	both	*	621
contig_623	352494	12	N	N	1	right	*	623
contig_624	507216	32	N	N	1	none	*	624
contig_626	65495	10	N	N	1	both	*	626
contig_627	70818	11	N	N	1	both	*	627
contig_628	63768	31	N	N	1	none	*	628
contig_629	64869	10	N	N	1	none	*	629
contig_630	84515	50	N	N	1	none	*	630
contig_635	115694	16	N	N	1	none	*	635,637
contig_636	110108	31	N	N	1	none	*	636,637
contig_638	173544	12	N	N	1	right	*	638
contig_639	258506	33	N	N	1	none	*	639
contig_640	111244	32	N	N	1	none	*	640
contig_641	122109	11	N	N	1	none	*	641
contig_642	861424	39	N	N	1	none	*	642
contig_645	6582	5	N	N	1	both	*	645
contig_648	63961	6	N	N	1	both	*	648
contig_660	19548	11	N	N	1	both	*	660
contig_663	19744	23	N	N	1	both	*	663
contig_664	450670	31	N	N	1	none	*	662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,664
contig_667	406339	29	N	N	1	none	*	667
contig_668	37143	28	N	N	1	left	*	668
contig_669	267046	35	N	N	1	none	*	-437,669
contig_670	56933	12	N	N	1	none	*	977,670
contig_673	136056	33	N	N	1	left	*	673
contig_674	206994	22	N	N	1	none	*	674
contig_677	146538	10	N	N	1	none	*	-1821,677,-1820
contig_683	81876	11	N	N	1	both	*	683
contig_686	266655	12	N	N	1	none	*	684,686
contig_687	257453	29	N	N	1	none	*	684,687
contig_690	298084	12	N	N	1	none	*	-921,690
contig_691	52144	42	N	N	1	none	*	691
contig_696	358145	12	N	N	1	none	*	1805,696,-1433
contig_697	349210	31	N	N	1	none	*	1805,697,-1433
contig_701	1834182	44	N	N	1	none	*	701,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1669,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667,-1667
contig_702	1222497	44	N	N	1	none	*	-699,702
contig_703	503990	44	N	N	1	none	*	1780,703,1078
contig_704	56044	24	N	N	1	none	*	1780,704
contig_705	128857	18	N	N	1	none	*	705,-1120
contig_706	55810	6	N	N	1	right	*	706
contig_707	180775	37	N	N	1	none	*	707
contig_708	576587	33	N	N	1	none	*	708,-1193
contig_713	153762	13	N	N	1	both	*	713,714
contig_715	420287	33	N	N	1	none	*	715,1585
contig_716	25253	12	N	N	1	left	*	-714,716,1585
contig_717	1274	6	N	N	1	both	*	717
contig_718	4132	0	N	N	1	both	*	718
contig_719	1778	0	N	N	1	both	*	719
contig_720	32628	4	N	N	1	both	*	720
contig_725	171003	37	N	N	1	none	*	725
contig_728	770860	31	N	N	1	none	*	728
contig_729	310216	14	N	N	1	none	*	-1544,729,1850
contig_731	151413	31	N	N	1	none	*	731
contig_732	52042	7	N	N	1	both	*	732
contig_733	456352	42	N	N	1	left	*	330,733,-1817
contig_735	509232	13	N	N	1	left	*	735
contig_736	628972	30	N	N	1	none	*	-1848,736,-921
contig_744	23391	52	Y	N	1	none	*	744
contig_747	4315	2	N	N	1	none	*	747
contig_748	457701	44	N	N	1	none	*	748,756,756,756,756,756,756,756,756,756,756
contig_750	4634	48	N	N	1	both	*	750
contig_751	244247	29	N	N	1	none	*	751,1859
contig_752	221882	11	N	N	1	none	*	752,1859
contig_753	24549	29	N	N	1	right	*	753
contig_762	111090	34	N	N	1	none	*	762
contig_763	75938	12	N	N	1	left	*	763
contig_766	153417	16	N	N	1	none	*	766
contig_767	160488	25	N	N	1	none	*	767
contig_769	210479	16	N	N	1	none	*	769,-1868
contig_771	58805	51	N	N	1	none	*	771
contig_772	552532	40	N	N	1	none	*	772
contig_773	7946	4	N	N	1	both	*	773
contig_776	282443	29	N	N	1	left	*	776,1868
contig_777	369562	22	N	N	1	none	*	777,1868
contig_782	41625	24	N	N	1	none	*	779,780,780,780,781,781,780,1812,781,780,1812,782,784,785,784,786,787,791,788,789,792,799
contig_783	31955	36	N	N	1	none	*	779,780,1812,781,780,1812,781,780,783,779
contig_793	2045	5	N	N	1	both	*	793
