#seq_name	length	coverage
contig_839	97370	18
contig_811	209189	37
contig_821	82357	56
contig_703	508111	60
contig_736	637290	38
contig_733	460027	53
contig_777	376297	25
contig_849	2452	30
contig_812	242465	43
contig_815	249836	37
contig_809	603219	17
contig_805	259314	51
contig_836	120119	40
contig_857	10181	56
contig_863	25702	13
contig_837	208663	44
contig_847	73529	53
contig_871	4512	12
contig_848	234248	20
contig_861	101509	18
contig_802	270641	52
contig_870	41740	15
contig_867	53806	37
contig_893	7342	6
contig_852	80119	51
contig_865	110770	22
contig_728	777040	39
contig_872	137725	18
contig_869	107680	32
contig_884	111169	16
contig_905	34467	40
contig_748	461769	58
contig_843	180547	53
contig_901	102650	19
contig_883	103198	45
contig_929	12373	3
contig_913	117274	16
contig_902	97832	42
contig_918	81017	16
contig_914	127618	34
contig_911	192534	16
contig_642	872845	54
contig_910	200623	18
contig_946	117447	21
contig_845	337870	38
contig_916	220878	17
contig_912	199599	31
contig_906	352127	19
contig_909	207048	39
contig_934	306347	17
contig_881	195883	59
contig_947	111903	38
contig_949	133961	19
contig_951	133411	12
contig_886	507655	18
contig_941	191903	36
contig_970	95742	16
contig_978	604	0
contig_958	181218	21
contig_772	560568	55
contig_950	147800	39
contig_968	99784	32
contig_948	157460	49
contig_976	95945	39
contig_971	86044	48
contig_985	130743	14
contig_969	115046	38
contig_997	9200	1
contig_896	327419	49
contig_981	168663	18
contig_933	289083	43
contig_995	64546	12
contig_957	158988	42
contig_844	526723	40
contig_1007	4782	1
contig_996	109653	16
contig_1011	9916	1
contig_994	99011	26
contig_1002	47478	46
contig_1009	97800	17
contig_1003	58525	53
contig_885	511912	38
contig_1006	206186	16
contig_962	273789	38
contig_988	343658	15
contig_1033	94838	19
contig_1039	5939	1
contig_1040	1995	1
contig_1032	103559	22
contig_1037	45229	24
contig_1008	118559	45
contig_1010	115396	36
contig_1031	109518	37
contig_982	255638	38
contig_1044	67300	20
contig_1049	68613	19
contig_1026	153122	39
contig_1048	68298	35
contig_1043	72352	40
contig_1042	46354	64
contig_438	1911540	60
contig_963	354395	36
contig_1025	315402	20
contig_1067	13568	43
contig_1057	166369	18
contig_840	726962	49
contig_1062	181096	17
contig_993	546281	17
contig_1064	127082	18
contig_989	341797	39
contig_1024	320245	38
contig_1063	113596	37
contig_1058	177425	39
contig_965	1069667	17
contig_1056	383385	17
contig_1073	64472	15
contig_1075	10274	4
contig_1076	8783	28
contig_1036	302187	38
contig_1072	152407	18
contig_1077	8781	28
contig_943	494012	57
contig_1082	75476	19
contig_1103	8734	15
contig_1074	59393	38
contig_1104	7102	2
contig_1034	278277	49
contig_1066	541270	18
contig_1068	28123	220
contig_1083	83667	38
contig_1123	5097	1
contig_1131	2639	6
contig_1110	104474	18
contig_1100	41184	66
contig_1157	16595	10
contig_1164	26138	5
contig_1113	67163	52
contig_702	1232132	57
contig_1159	46084	11
contig_1111	173184	19
contig_1109	115064	31
contig_1107	42078	74
contig_1166	34899	16
contig_959	721262	41
contig_1163	63597	19
contig_1144	53233	42
contig_1138	49232	50
contig_1127	136617	18
contig_1071	258137	45
contig_1169	56275	13
contig_1165	71284	37
contig_1150	283775	16
contig_1167	101134	33
contig_992	743802	40
contig_1176	153559	15
contig_1152	102730	54
contig_1112	209709	39
contig_1201	95642	14
contig_1178	210403	16
contig_1204	15969	7
contig_1182	102847	18
contig_1210	9209	4
contig_1181	109208	32
contig_1177	204403	35
contig_1180	224640	18
contig_1158	259919	39
contig_1202	186581	17
contig_1208	125489	15
contig_1196	115465	44
contig_1175	161398	35
contig_1206	148258	16
contig_1230	3854	1
contig_1212	166533	16
contig_1215	97405	19
contig_1236	7594	9
contig_1235	1012	0
contig_1218	62099	17
contig_1185	156346	42
contig_1231	82704	12
contig_1200	151453	44
contig_1205	88924	55
contig_1151	311153	39
contig_1207	139161	39
contig_1233	42724	36
contig_1224	155712	16
contig_1251	4581	0
contig_1216	92899	40
contig_1261	8967	3
contig_1250	28985	23
contig_1226	124889	17
contig_1124	361394	40
contig_1269	18677	13
contig_1240	110415	16
contig_1246	38440	32
contig_1179	228654	40
contig_1211	176348	37
contig_1270	57069	12
contig_1275	18390	7
contig_1273	29376	17
contig_1278	8882	3
contig_1227	116524	40
contig_1274	60670	11
contig_1276	43729	11
contig_1263	120149	16
contig_1287	4219	1
contig_1272	80394	17
contig_1281	51653	15
contig_1283	100506	12
contig_1266	79681	39
contig_1298	529	4
contig_1239	115029	47
contig_1209	158523	57
contig_1291	78485	15
contig_1162	342655	55
contig_1065	734386	47
contig_1309	37703	22
contig_1282	100643	34
contig_1284	165630	16
contig_1288	166743	17
contig_1262	115641	42
contig_1319	54434	17
contig_1243	342428	18
contig_1326	1214	0
contig_1322	103383	16
contig_1271	140511	44
contig_1290	130586	43
contig_1335	57406	16
contig_1334	30360	41
contig_1352	26822	5
contig_1327	112625	17
contig_1316	72627	50
contig_1285	175519	36
contig_1350	12650	44
contig_1254	153413	60
contig_1351	58641	15
contig_1323	88936	39
contig_1305	263941	16
contig_1338	56032	45
contig_1377	12700	16
contig_1378	13919	15
contig_1325	170836	21
contig_1356	88648	16
contig_1393	4961	1
contig_1359	96230	13
contig_1324	139272	33
contig_1203	371724	44
contig_1398	6674	11
contig_1372	35118	35
contig_1386	50481	17
contig_1380	58111	17
contig_1328	116274	39
contig_1366	75198	28
contig_1355	95528	33
contig_1329	89335	51
contig_1367	87964	18
contig_1358	121812	24
contig_1397	58745	15
contig_1289	263791	40
contig_1168	414146	53
contig_1381	61715	44
contig_1268	318534	39
contig_1412	63177	19
contig_1225	396384	41
contig_1407	117024	19
contig_1304	254298	40
contig_1456	2471	3
contig_1455	7727	6
contig_1411	65484	45
contig_1416	77051	54
contig_1421	145850	19
contig_1457	9890	15
contig_1477	4489	1
contig_1476	6319	4
contig_1431	177026	15
contig_1474	28874	43
contig_1242	378960	41
contig_1436	206723	19
contig_1406	135695	40
contig_1429	236377	16
contig_1410	135712	46
contig_1466	75106	17
contig_1481	80308	18
contig_1439	158520	17
contig_1465	90059	22
contig_1480	79424	41
contig_1491	18307	13
contig_1450	55679	57
contig_1403	166288	48
contig_1502	12512	4
contig_1499	25311	6
contig_1485	70142	19
contig_1498	61591	10
contig_1420	144825	43
contig_1500	50161	11
contig_1432	151395	39
contig_1440	143513	35
contig_1482	52911	58
contig_1441	134684	39
contig_1506	72301	18
contig_1484	61160	44
contig_1339	267151	54
contig_1518	81961	19
contig_1520	130130	17
contig_1437	220676	37
contig_1459	161502	41
contig_1536	82741	21
contig_1430	252488	37
contig_1545	72623	15
contig_1524	173097	16
contig_1519	89145	37
contig_1507	83752	45
contig_1528	152947	22
contig_1561	50319	10
contig_1580	18289	33
contig_1537	78442	37
contig_1601	13007	14
contig_1527	153530	34
contig_1521	113154	42
contig_1525	134493	39
contig_1512	298467	16
contig_1600	94740	13
contig_1589	96909	19
contig_1609	175	0
contig_1618	4552	2
contig_701	1851119	60
contig_1546	79515	48
contig_1615	43441	10
contig_1533	185354	31
contig_1579	48650	57
contig_1608	44899	15
contig_1558	46814	73
contig_1494	80720	116
contig_1606	75785	30
contig_1607	82926	20
contig_1559	35153	108
contig_1604	94334	31
contig_1511	168902	47
contig_1605	113146	21
contig_1582	122263	39
contig_1620	77194	32
contig_1483	299401	39
contig_1629	76740	17
contig_1622	69106	26
contig_1647	62298	9
contig_1623	78093	22
contig_1645	67114	16
contig_1624	81556	34
contig_1658	68780	13
contig_1540	247928	51
contig_1662	74467	10
contig_1630	67944	38
contig_1513	299017	39
contig_1691	5100	11
contig_1508	256282	52
contig_1560	521944	18
contig_1646	72806	38
contig_1672	66344	15
contig_1671	82938	17
contig_1590	81399	123
contig_1707	55559	19
contig_1640	170786	20
contig_1717	22246	1
contig_1720	1085	0
contig_1663	69898	38
contig_1666	62237	38
contig_1648	78776	45
contig_1665	151808	16
contig_1736	4580	2
contig_1659	74350	40
contig_1746	4337	3
contig_1634	210953	18
contig_1754	8161	15
contig_1708	47777	39
contig_1728	18941	37
contig_1735	29317	26
contig_1713	51590	20
contig_1784	16173	32
contig_1633	144685	44
contig_1714	51531	29
contig_1775	20512	32
contig_1781	28578	45
contig_1639	149206	38
contig_1725	77411	19
contig_1825	6295	19
contig_1593	272921	44
contig_1649	115163	49
contig_1813	29191	46
contig_1217	582800	61
contig_1657	299707	19
contig_1664	157988	47
contig_1670	44459	66
contig_1681	76493	68
contig_1799	71820	53
contig_1796	101886	40
contig_1794	91883	53
contig_1793	108317	44
contig_1803	91912	55
contig_1810	73851	61
contig_1832	63439	53
contig_2	3699	1
contig_8	829	65
contig_7	774	5
contig_1854	32036	44
contig_18	762	11
contig_1764	122654	55
contig_19	547	6
contig_1806	104948	53
contig_1785	131186	54
contig_1870	36333	33
contig_1787	103451	59
contig_1833	86365	48
contig_21	543	3
contig_20	287	2
contig_1744	170704	40
contig_10	5179	115
contig_22	2505	9
contig_25	1849	3
contig_26	552	1
contig_24	564	1
contig_23	477	6
contig_1871	33178	62
contig_28	1694	8
contig_32	1208	5
contig_31	940	2
contig_39	1275	9
contig_38	717	1
contig_36	694	2
contig_34	503	4
contig_35	606	1
contig_1840	55304	56
contig_40	2965	3
contig_27	3421	134
contig_41	1224	2
contig_42	1289	3
contig_52	1366	4
contig_51	757	1
contig_43	1067	9
contig_44	1475	3
contig_48	372	3
contig_57	1318	6
contig_59	750	3
contig_54	619	5
contig_53	696	1
contig_64	1107	5
contig_58	2584	6
contig_60	2171	12
contig_67	1479	5
contig_65	2190	9
contig_69	1479	4
contig_70	864	2
contig_71	700	3
contig_72	1480	2
contig_94	2184	2
contig_115	169	1
contig_73	1273	2
contig_68	1495	5
contig_87	4085	5
contig_74	2335	4
contig_99	2118	31
contig_124	2111	5
contig_100	3589	14
contig_160	355	1
contig_167	238	1
contig_166	918	1
contig_1835	45861	124
contig_171	579	2
contig_156	9222	7
contig_154	5362	9
contig_175	511	0
contig_190	1118	20
contig_197	877	10
contig_183	4767	7
contig_189	1116	59
contig_205	624	15
contig_204	851	2
contig_202	551	20
contig_196	505	62
contig_198	618	20
contig_195	309	1
contig_114	6188	42
contig_203	2702	6
contig_178	24857	4
contig_207	185	1
contig_209	1121	7
contig_208	515	3
contig_213	558	10
contig_210	727	7
contig_211	633	3
contig_1853	83419	56
contig_214	625	20
contig_201	1055	112
contig_215	912	17
contig_216	620	15
contig_130	45891	6
contig_206	6019	15
contig_199	1337	218
contig_220	701	14
contig_221	84	4
contig_219	641	2
contig_218	1945	73
contig_228	662	22
contig_217	3018	48
contig_222	513	10
contig_223	2314	19
contig_236	631	3
contig_227	2593	20
contig_229	730	47
contig_212	2660	74
contig_224	601	151
contig_225	3576	24
contig_243	621	19
contig_182	26753	16
contig_255	488	1
contig_242	4338	19
contig_239	7259	12
contig_280	10911	3
contig_293	1837	1
contig_279	16031	5
contig_177	24776	25
contig_315	1340	6
contig_307	17	0
contig_306	220	1
contig_235	6162	28
contig_304	544	5
contig_231	2826	109
contig_318	1910	7
contig_310	5104	1
contig_334	1559	10
contig_314	3073	44
contig_336	2818	19
contig_364	164	1
contig_286	45428	7
contig_377	3168	6
contig_296	41287	4
contig_379	2742	5
contig_378	4342	13
contig_380	2454	7
contig_383	787	9
contig_317	4898	59
contig_393	1758	1
contig_384	8447	3
contig_385	7468	11
contig_398	3998	7
contig_404	21656	2
contig_410	3362	1
contig_408	5218	1
contig_411	3487	3
contig_1838	115683	51
contig_416	27163	5
contig_297	38910	30
contig_287	47244	30
contig_423	5626	1
contig_420	23073	2
contig_1	46600	104
contig_1872	95609	53
contig_1791	191500	51
contig_424	9727	6
contig_417	27490	23
contig_405	31834	34
contig_428	434	10
contig_429	1311	9
contig_419	24624	33
contig_1836	155255	54
contig_430	3532	2
contig_241	48843	45
contig_406	29153	51
contig_459	2456	1
contig_431	5107	26
contig_448	10385	21
contig_418	48125	34
contig_1861	105003	55
contig_460	598	5
contig_466	18224	3
contig_481	7186	4
contig_482	9201	1
contig_489	2090	2
contig_484	4777	0
contig_328	19427	90
contig_502	3749	0
contig_478	43118	5
contig_495	11337	2
contig_483	16043	17
contig_490	7276	15
contig_501	20941	3
contig_503	11490	11
contig_465	20681	26
contig_517	14139	1
contig_518	14242	1
contig_494	13371	23
contig_456	37952	29
contig_539	12771	5
contig_540	14738	3
contig_508	41316	6
contig_437	31370	18
contig_533	40754	5
contig_433	29649	36
contig_516	20492	23
contig_561	2017	4
contig_549	8128	6
contig_375	23279	133
contig_500	25572	22
contig_563	4294	8
contig_546	32544	3
contig_564	8713	5
contig_519	15456	38
contig_576	2114	0
contig_582	3160	8
contig_567	12689	13
contig_584	816	0
contig_575	8833	13
contig_586	4784	0
contig_574	28783	3
contig_590	412	1
contig_585	13657	8
contig_479	43595	30
contig_601	17552	3
contig_603	5498	8
contig_587	9795	28
contig_604	2343	0
contig_565	10507	46
contig_612	5839	0
contig_598	34841	9
contig_622	714	0
contig_532	42722	27
contig_573	29546	24
contig_600	17832	29
contig_1837	173515	57
contig_620	40558	4
contig_646	2115	9
contig_538	23437	50
contig_555	25002	44
contig_633	26355	4
contig_632	38119	7
contig_544	46446	29
contig_509	47991	35
contig_615	17946	38
contig_649	942	0
contig_545	38482	43
contig_653	1707	0
contig_652	7809	7
contig_634	24557	20
contig_611	23960	36
contig_650	10195	19
contig_659	1486	1
contig_672	3416	1
contig_666	1365	18
contig_657	18020	2
contig_619	45562	30
contig_680	317	3
contig_631	33410	30
contig_655	17183	23
contig_676	9182	10
contig_226	8897	495
contig_700	379	1
contig_694	87	0
contig_711	4200	1
contig_597	42817	36
contig_712	3005	1
contig_1786	222423	62
contig_727	506	2
contig_689	23693	5
contig_721	10124	1
contig_746	500	13
contig_745	2114	21
contig_654	42236	16
contig_722	14070	7
contig_709	40107	5
contig_692	43400	7
contig_710	40223	3
contig_730	5052	39
contig_764	2033	0
contig_761	726	0
contig_774	1742	1
contig_770	12258	2
contig_778	1175	1
contig_813	4409	1
contig_798	2111	5
contig_795	1152	2
contig_828	1555	6
contig_808	6704	2
contig_799	3104	11
contig_831	2835	4
contig_846	2220	1
contig_842	5996	1
contig_656	37042	36
contig_850	10969	11
contig_688	30842	38
contig_841	4252	59
contig_768	5675	79
contig_860	1854	1
contig_856	6992	37
contig_1865	218958	57
contig_864	15678	2
contig_873	4568	15
contig_804	40689	11
contig_765	17049	44
contig_866	11279	21
contig_858	39952	10
contig_875	13175	2
contig_882	5525	9
contig_810	29792	36
contig_803	39271	24
contig_880	35149	5
contig_877	37952	7
contig_894	12533	1
contig_889	4006	75
contig_693	50288	39
contig_895	12675	14
contig_859	14291	64
contig_754	42665	51
contig_816	40420	35
contig_908	7232	1
contig_899	27617	5
contig_876	25928	32
contig_919	2124	3
contig_897	35239	6
contig_758	9690	207
contig_684	49694	55
contig_925	997	2
contig_927	843	2
contig_920	720	0
contig_924	2717	28
contig_928	3522	15
contig_930	545	3
contig_874	23008	48
contig_868	35301	38
contig_935	612	6
contig_932	1282	8
contig_931	1000	9
contig_937	3805	29
contig_940	585	7
contig_938	521	6
contig_939	824	7
contig_855	16078	107
contig_917	20691	26
contig_878	37655	30
contig_954	15512	1
contig_945	20525	3
contig_779	28089	71
contig_960	28557	5
contig_979	5182	1
contig_973	23425	4
contig_953	17316	19
contig_956	40383	6
contig_983	1656	3
contig_879	34400	42
contig_984	4565	1
contig_986	2126	11
contig_967	26283	2
contig_980	10811	12
contig_974	48370	6
contig_898	39456	37
contig_990	20481	4
contig_862	41011	52
contig_915	33204	38
contig_900	31779	41
contig_944	25966	33
contig_972	26206	29
contig_921	37010	37
contig_1016	28894	5
contig_1819	336073	53
contig_991	19392	20
contig_1001	47166	6
contig_1020	6576	3
contig_1005	28325	10
contig_1021	885	0
contig_1022	3195	1
contig_1023	2588	1
contig_1004	29337	18
contig_1019	34021	6
contig_975	46868	27
contig_961	39642	32
contig_966	40506	42
contig_1029	1880	1
contig_1035	4896	0
contig_1038	723	2
contig_1017	29917	38
contig_1047	13541	2
contig_1051	13142	1
contig_1046	13692	15
contig_1028	31054	7
contig_234	11700	823
contig_1054	1202	0
contig_1000	45748	43
contig_955	49456	34
contig_1055	4658	15
contig_1094	1304	14
contig_1090	2717	8
contig_1096	846	4
contig_1108	506	4
contig_1052	33251	6
contig_1060	32081	4
contig_1116	7200	1
contig_1027	37911	34
contig_998	45443	37
contig_1070	34855	3
contig_1122	2469	1
contig_1121	5040	2
contig_1119	6036	6
contig_1129	2316	3
contig_1117	12197	16
contig_1050	23075	25
contig_1125	28299	2
contig_1018	41344	36
contig_1145	5943	5
contig_977	49304	46
contig_1155	1106	0
contig_1143	3917	25
contig_1154	6258	3
contig_1161	4767	3
contig_1139	9583	20
contig_1156	10112	8
contig_1149	23801	4
contig_1170	13008	1
contig_1172	15976	2
contig_1053	37303	35
contig_1183	1112	1
contig_1130	21416	20
contig_1184	4624	1
contig_1188	1119	0
contig_1187	14536	1
contig_1173	10509	8
contig_1045	27865	50
contig_1191	21992	2
contig_1198	9648	1
contig_1220	7383	1
contig_1059	47102	24
contig_1061	38842	32
contig_1237	860	2
contig_1194	22451	4
contig_1171	19905	19
contig_1245	2256	2
contig_1244	1565	4
contig_1126	32989	30
contig_1146	13741	67
contig_1249	5351	5
contig_1247	651	0
contig_1069	39230	32
contig_1256	6442	1
contig_1219	15990	22
contig_1259	4217	8
contig_1258	769	17
contig_1221	17555	26
contig_1186	18488	30
contig_1228	31566	7
contig_1280	4315	7
contig_1197	17896	25
contig_1257	4171	68
contig_1222	32353	9
contig_1248	10365	35
contig_1294	16654	1
contig_1148	31749	31
contig_1190	23402	29
contig_1296	15733	2
contig_1301	13236	3
contig_1303	320	1
contig_1302	683	5
contig_1295	9304	8
contig_1293	25295	6
contig_1265	38859	4
contig_1195	24250	36
contig_1315	4367	1
contig_1308	24121	3
contig_1300	14851	14
contig_1120	27953	59
contig_1292	30500	10
contig_1317	12197	1
contig_1314	8961	16
contig_1313	40562	4
contig_1330	976	12
contig_1343	6964	1
contig_1311	29338	9
contig_1318	15822	15
contig_1297	22288	31
contig_1342	8744	5
contig_1229	37308	30
contig_1320	40486	4
contig_1223	41564	22
contig_1255	22362	37
contig_1332	10715	22
contig_1346	25926	4
contig_1345	23916	2
contig_1333	30797	11
contig_1354	18561	3
contig_1361	3492	0
contig_1364	2100	11
contig_1331	24127	15
contig_1370	3154	6
contig_1264	26264	43
contig_1384	1506	4
contig_1310	32582	17
contig_1193	44484	33
contig_1373	3908	15
contig_1383	9772	3
contig_1360	13867	16
contig_1307	27496	33
contig_1369	24875	3
contig_1306	37514	20
contig_1376	6190	28
contig_1394	992	0
contig_1388	17122	2
contig_1399	670	0
contig_1392	34083	5
contig_1400	500	0
contig_1353	21944	32
contig_1414	2340	9
contig_1299	32892	39
contig_1396	23734	6
contig_1402	23681	6
contig_1405	24084	3
contig_1699	464969	54
contig_1382	19007	29
contig_1424	7322	1
contig_1422	11942	1
contig_1418	20424	5
contig_1347	28711	32
contig_1344	25472	33
contig_1409	49200	3
contig_1423	13578	11
contig_1321	44289	35
contig_1368	26962	30
contig_1387	24421	31
contig_1286	46189	41
contig_1425	17776	23
contig_1312	46540	38
contig_1401	25149	33
contig_1395	20829	35
contig_1391	34314	35
contig_1428	68	2
contig_1426	15014	2
contig_1451	5720	1
contig_1449	864	5
contig_1434	33797	2
contig_1452	4087	4
contig_1357	42564	36
contig_1460	1417	5
contig_1417	29022	33
contig_1404	38129	37
contig_1458	8186	19
contig_1462	10995	1
contig_1463	14580	7
contig_1468	1022	17
contig_1408	43940	29
contig_1470	1958	32
contig_1467	833	255
contig_1469	653	248
contig_1471	2797	43
contig_1486	956	0
contig_1478	4864	2
contig_1472	4825	23
contig_1488	608	0
contig_1487	6838	3
contig_1433	45686	13
contig_1435	30885	30
contig_1473	847	160
contig_1492	4711	2
contig_1489	32644	3
contig_1504	4834	14
contig_1501	10252	18
contig_1530	5784	5
contig_1529	500	0
contig_1522	105	0
contig_1509	25948	5
contig_1531	9481	4
contig_1497	10025	41
contig_1475	12691	47
contig_1532	10007	3
contig_1539	3887	1
contig_1505	9660	35
contig_1542	2038	8
contig_1543	450	0
contig_1516	34658	5
contig_1514	43798	5
contig_1547	1406	3
contig_1553	2219	7
contig_1554	2353	8
contig_1574	488	5
contig_1551	3070	20
contig_1556	2511	9
contig_1438	43225	35
contig_1587	3890	0
contig_1591	3638	0
