#gene_id	taxID	e_value	fasta_id
None-gene-125755	41830	3.28e-31	None-gene-125755-0
None-gene-126676	2	8.11e-24	None-gene-126676-0
None-gene-127918	41830	1.10e-29	None-gene-127918-0
None-gene-128526	35571	8.09e-118	None-gene-128526-0
None-gene-129874	35571	4.60e-08	None-gene-129874-0
None-gene-133584	1604231	1.12e-35	None-gene-133584-0
None-gene-134490	1236	7.98e-20	None-gene-134490-0
None-gene-135039	35571	2.26e-220	None-gene-135039-0
None-gene-135235	1965070	1.75e-27	None-gene-135235-0
None-gene-136411	35571	3.19e-55	None-gene-136411-0
None-gene-137119	35571	1.36e-43	None-gene-137119-0
None-gene-138018	35571	6.94e-124	None-gene-138018-0
None-gene-138825	35571	2.66e-313	None-gene-138825-0
None-gene-141026	7010	5.75e-17	None-gene-141026-0
None-gene-141031	35571	3.29e-50	None-gene-141031-0
None-gene-141537	35571	2.70e-145	None-gene-141537-0
None-gene-142268	35571	2.50e-120	None-gene-142268-0
None-gene-142951			None-gene-142951-0
None-gene-145368	35572	3.01e-29	None-gene-145368-0
None-gene-146809	7147	8.07e-08	None-gene-146809-0
None-gene-147084	239	6.84e-122	None-gene-147084-0
None-gene-150884	35571	8.33e-36	None-gene-150884-0
None-gene-167595	7148	1.65e-206	None-gene-167595-0
None-gene-169583			None-gene-169583-0
None-gene-170081			None-gene-170081-0
None-gene-175655	33340	1.03e-24	None-gene-175655-0
None-gene-204685	7148	3.27e-52	None-gene-204685-0
None-gene-205111	93504	1.11e-04	None-gene-205111-0
None-gene-206211	6447	5.69e-10	None-gene-206211-0
None-gene-209835	6101	3.14e-32	None-gene-209835-0
None-gene-210497	33392	4.64e-15	None-gene-210497-0
None-gene-215058	7148	2.94e-31	None-gene-215058-0
None-gene-217138	7148	2.15e-09	None-gene-217138-0
None-gene-222662	35571	1.37e-64	None-gene-222662-0
None-gene-226965	35571	1.77e-113	None-gene-226965-0
None-gene-228437	35571	8.83e-57	None-gene-228437-0
None-gene-235011	7198	1.13e-06	None-gene-235011-0
None-gene-245331	7148	5.71e-10	None-gene-245331-0
None-gene-245334	33392	2.03e-22	None-gene-245334-0
None-gene-265857	33392	2.48e-19	None-gene-265857-0
None-gene-266600	33392	1.13e-35	None-gene-266600-0
None-gene-300864	7148	3.57e-13	None-gene-300864-0
None-gene-303395	35571	4.20e-28	None-gene-303395-0
None-gene-303973	33392	7.76e-42	None-gene-303973-0
None-gene-305096	33392	1.76e-46	None-gene-305096-0
None-gene-313080	35571	8.84e-21	None-gene-313080-0
None-gene-316064	7148	4.21e-26	None-gene-316064-0
None-gene-317887	35571	2.68e-168	None-gene-317887-0
None-gene-325152	35571	7.00e-47	None-gene-325152-0
None-gene-338553	35571	9.95e-41	None-gene-338553-0
None-gene-344395	35571	9.55e-20	None-gene-344395-0
None-gene-346092			None-gene-346092-0
None-gene-348590	33392	1.86e-97	None-gene-348590-0
None-gene-356525	35571	1.73e-43	None-gene-356525-0
None-gene-362686	35571	2.59e-20	None-gene-362686-0
None-gene-363270	35571	1.95e-121	None-gene-363270-0
None-gene-365952	35571	1.67e-53	None-gene-365952-0
None-gene-367241	7148	1.17e-88	None-gene-367241-0
None-gene-381573	35571	5.17e-09	None-gene-381573-0
None-gene-384910	35571	7.08e-39	None-gene-384910-0
None-gene-394341	35571	1.33e-162	None-gene-394341-0
None-gene-413567	33392	2.35e-82	None-gene-413567-0
None-gene-421674	35571	4.77e-26	None-gene-421674-0
None-gene-428322			None-gene-428322-0
None-gene-428969	35571	2.23e-136	None-gene-428969-0
None-gene-437159	37567	5.62e-13	None-gene-437159-0
None-gene-437832	35571	3.90e-06	None-gene-437832-0
None-gene-439174	35571	1.82e-96	None-gene-439174-0
None-gene-447389	35571	3.00e-164	None-gene-447389-0
None-gene-452120			None-gene-452120-0
None-gene-455973	35571	2.65e-121	None-gene-455973-0
None-gene-456095	77166	6.39e-19	None-gene-456095-0
None-gene-458041	33392	1.92e-31	None-gene-458041-0
None-gene-480290	33392	1.41e-74	None-gene-480290-0
None-gene-481540	33392	4.51e-08	None-gene-481540-0
None-gene-483700	41830	3.92e-15	None-gene-483700-0
None-gene-488588	35571	2.02e-109	None-gene-488588-0
None-gene-489408	348720	1.11e-06	None-gene-489408-0
None-gene-497188	35571	1.37e-54	None-gene-497188-0
None-gene-514443	35571	3.16e-14	None-gene-514443-0
None-gene-522864	35571	2.47e-92	None-gene-522864-0
None-gene-524320	35571	7.43e-258	None-gene-524320-0
None-gene-533678	35571	1.46e-183	None-gene-533678-0
None-gene-537039	33340	1.16e-05	None-gene-537039-0
None-gene-541513	35571	1.98e-90	None-gene-541513-0
None-gene-577426	35571	6.00e-20	None-gene-577426-0
None-gene-582261	33392	5.01e-22	None-gene-582261-0
None-gene-582503	33392	7.22e-40	None-gene-582503-0
None-gene-583236	7148	1.60e-19	None-gene-583236-0
None-gene-587580	35571	5.28e-28	None-gene-587580-0
None-gene-598870	35571	3.02e-18	None-gene-598870-0
None-gene-600071	35571	3.78e-28	None-gene-600071-0
None-gene-638976			None-gene-638976-0
None-gene-645714	35571	2.35e-10	None-gene-645714-0
None-gene-660796	7148	8.64e-78	None-gene-660796-0
None-gene-682749	35571	2.35e-05	None-gene-682749-0
None-gene-690976	7148	4.91e-95	None-gene-690976-0
None-gene-699493	35571	6.46e-53	None-gene-699493-0
None-gene-732889	35571	4.32e-59	None-gene-732889-0
None-gene-741569	35571	4.16e-17	None-gene-741569-0
None-gene-743431	33392	1.79e-17	None-gene-743431-0
None-gene-746599	35571	2.31e-198	None-gene-746599-0
None-gene-756803	35571	6.38e-113	None-gene-756803-0
None-gene-759469	35571	1.00e-119	None-gene-759469-0
None-gene-769913	286706	5.70e-09	None-gene-769913-0
None-gene-770001	35571	4.23e-64	None-gene-770001-0
None-gene-784098	35571	7.67e-31	None-gene-784098-0
None-gene-787114	39272	2.43e-171	None-gene-787114-0
None-gene-791717	35571	3.28e-23	None-gene-791717-0
None-gene-806571	35571	0.0	None-gene-806571-0
None-gene-819197	35571	3.73e-36	None-gene-819197-0
None-gene-822641	35571	5.22e-107	None-gene-822641-0
None-gene-827971	33392	1.91e-96	None-gene-827971-0
None-gene-840992	35572	2.71e-24	None-gene-840992-0
None-gene-875482	35572	1.21e-54	None-gene-875482-0
None-gene-902696	35571	9.97e-249	None-gene-902696-0
None-gene-916260	35572	7.82e-38	None-gene-916260-0
None-gene-940667	41830	3.80e-09	None-gene-940667-0
None-gene-957636	35571	2.48e-56	None-gene-957636-0
None-gene-978885	37567	1.19e-19	None-gene-978885-0
None-gene-1116969	33392	1.63e-63	None-gene-1116969-0
None-gene-1165886	35572	4.04e-36	None-gene-1165886-0
None-gene-1171179	35571	2.63e-81	None-gene-1171179-0
None-gene-1205408	33392	2.93e-17	None-gene-1205408-0
None-gene-1222234	7148	2.50e-06	None-gene-1222234-0
None-gene-1231557	35571	1.95e-45	None-gene-1231557-0
None-gene-1242600	35571	1.38e-39	None-gene-1242600-0
None-gene-1253022	35571	2.83e-88	None-gene-1253022-0
None-gene-1253087	7176	3.18e-34	None-gene-1253087-0
None-gene-1266218	35571	8.86e-99	None-gene-1266218-0
None-gene-1276498	35571	1.82e-33	None-gene-1276498-0
None-gene-1284045	35571	6.24e-98	None-gene-1284045-0
None-gene-1301253	35571	7.20e-140	None-gene-1301253-0
None-gene-1305331	35571	4.67e-11	None-gene-1305331-0
None-gene-1311173	35571	2.60e-58	None-gene-1311173-0
None-gene-1316306	33392	5.62e-43	None-gene-1316306-0
None-gene-1316955	33392	1.85e-40	None-gene-1316955-0
None-gene-1318771	35571	5.13e-15	None-gene-1318771-0
None-gene-1319087	35571	4.11e-29	None-gene-1319087-0
None-gene-1329426	35571	8.66e-39	None-gene-1329426-0
None-gene-1329769			None-gene-1329769-0
None-gene-1344157	35571	4.28e-199	None-gene-1344157-0
None-gene-1358602	35571	3.34e-81	None-gene-1358602-0
None-gene-1375723	33392	5.42e-55	None-gene-1375723-0
None-gene-1383878	35571	6.44e-73	None-gene-1383878-0
None-gene-1414994	35571	5.82e-111	None-gene-1414994-0
None-gene-1418158	35572	1.92e-04	None-gene-1418158-0
None-gene-1423507	35571	1.75e-186	None-gene-1423507-0
None-gene-1425095			None-gene-1425095-0
None-gene-1440147	35572	1.73e-21	None-gene-1440147-0
None-gene-1446045	35571	8.24e-127	None-gene-1446045-0
None-gene-1458147	7184	9.25e-38	None-gene-1458147-0
None-gene-1459598	7184	3.00e-40	None-gene-1459598-0
None-gene-1463171	35571	2.03e-60	None-gene-1463171-0
None-gene-1463794	13818	3.96e-12	None-gene-1463794-0
None-gene-1520079	35571	1.12e-56	None-gene-1520079-0
None-gene-1546401	35571	1.99e-119	None-gene-1546401-0
None-gene-1553524	7148	7.62e-46	None-gene-1553524-0
None-gene-1558787	35571	0.0	None-gene-1558787-0
None-gene-1573271	35572	2.92e-22	None-gene-1573271-0
None-gene-1579643	35572	7.48e-25	None-gene-1579643-0
None-gene-1592499	35571	0.0	None-gene-1592499-0
None-gene-1606372	35571	0.0	None-gene-1606372-0
None-gene-1613172	35571	4.61e-258	None-gene-1613172-0
None-gene-1613737			None-gene-1613737-0
None-gene-1617772	35572	3.09e-23	None-gene-1617772-0
None-gene-1620643	35571	4.47e-94	None-gene-1620643-0
None-gene-1624872	35571	4.82e-55	None-gene-1624872-0
None-gene-1630148	35571	1.27e-114	None-gene-1630148-0
None-gene-1633923	7148	4.20e-39	None-gene-1633923-0
None-gene-1636101	35571	4.70e-132	None-gene-1636101-0
None-gene-1641575	35571	2.60e-59	None-gene-1641575-0
None-gene-1644988	702717	7.95e-15	None-gene-1644988-0
None-gene-1645369	7148	2.01e-31	None-gene-1645369-0
None-gene-1646612	33392	1.14e-15	None-gene-1646612-0
None-gene-1646914	33392	1.62e-20	None-gene-1646914-0
None-gene-1647135	41088	8.65e-34	None-gene-1647135-0
None-gene-1680404	35571	9.08e-70	None-gene-1680404-0
None-gene-1724997	35571	0.0	None-gene-1724997-0
None-gene-1730723	35571	1.20e-48	None-gene-1730723-0
None-gene-1735854	35572	1.16e-13	None-gene-1735854-0
None-gene-1748876	35571	1.71e-13	None-gene-1748876-0
None-gene-1751049	33392	5.04e-189	None-gene-1751049-0
None-gene-1767081	35571	2.57e-46	None-gene-1767081-0
None-gene-1774038	35571	1.28e-225	None-gene-1774038-0
None-gene-1781849	35571	2.99e-53	None-gene-1781849-0
None-gene-1782488			None-gene-1782488-0
None-gene-1783681	7148	5.58e-45	None-gene-1783681-0
None-gene-1811444	35571	8.61e-68	None-gene-1811444-0
None-gene-1842052	35571	1.78e-61	None-gene-1842052-0
None-gene-1863303	35571	7.53e-105	None-gene-1863303-0
None-gene-1895704	35571	6.10e-73	None-gene-1895704-0
None-gene-1899343	35571	3.18e-07	None-gene-1899343-0
None-gene-1902470	35571	3.87e-38	None-gene-1902470-0
None-gene-1907108	35572	5.86e-35	None-gene-1907108-0
None-gene-1925672	35571	3.97e-49	None-gene-1925672-0
None-gene-1930998	35571	1.03e-19	None-gene-1930998-0
None-gene-1932490	35571	1.15e-46	None-gene-1932490-0
None-gene-1936888	35571	1.09e-303	None-gene-1936888-0
None-gene-1950606	35571	1.10e-20	None-gene-1950606-0
None-gene-1952472	33392	4.46e-09	None-gene-1952472-0
None-gene-1961570	35571	7.41e-130	None-gene-1961570-0
None-gene-1967611	35571	8.68e-41	None-gene-1967611-0
None-gene-1978493	35571	1.10e-25	None-gene-1978493-0
None-gene-1986082	7067	2.72e-86	None-gene-1986082-0
None-gene-2000211	35571	8.39e-30	None-gene-2000211-0
None-gene-2031944	33392	2.50e-07	None-gene-2031944-0
None-gene-2042878	35571	4.54e-23	None-gene-2042878-0
None-gene-2045357	33392	1.25e-12	None-gene-2045357-0
None-gene-2057413			None-gene-2057413-0
None-gene-2063303	35572	1.93e-21	None-gene-2063303-0
None-gene-2101786	33392	4.92e-34	None-gene-2101786-0
None-gene-2102475	35571	9.65e-40	None-gene-2102475-0
None-gene-2119160	35571	3.16e-27	None-gene-2119160-0
None-gene-2137512	35571	7.02e-29	None-gene-2137512-0
None-gene-2166666	7157	5.64e-05	None-gene-2166666-0
None-gene-2194503	7148	2.45e-13	None-gene-2194503-0
None-gene-2194760	33392	1.95e-22	None-gene-2194760-0
None-gene-2229521	35571	3.12e-68	None-gene-2229521-0
None-gene-2280648	33392	2.09e-80	None-gene-2280648-0
None-gene-2282972	35571	2.08e-19	None-gene-2282972-0
None-gene-2283533	7400	6.87e-11	None-gene-2283533-0
None-gene-2289720	35571	2.55e-104	None-gene-2289720-0
None-gene-2307034			None-gene-2307034-0
None-gene-2313170	7184	3.43e-29	None-gene-2313170-0
None-gene-2314061			None-gene-2314061-0
None-gene-2315810			None-gene-2315810-0
None-gene-2323984	35571	3.35e-83	None-gene-2323984-0
None-gene-2328337	35571	7.37e-37	None-gene-2328337-0
None-gene-2335516	7148	1.21e-23	None-gene-2335516-0
None-gene-2336463			None-gene-2336463-0
None-gene-2340843			None-gene-2340843-0
None-gene-2345891	35571	1.09e-108	None-gene-2345891-0
None-gene-2372068	35571	4.68e-11	None-gene-2372068-0
None-gene-2374121	7148	2.61e-48	None-gene-2374121-0
None-gene-2376270	35571	7.48e-92	None-gene-2376270-0
None-gene-2376284			None-gene-2376284-0
None-gene-2418876	35571	1.14e-41	None-gene-2418876-0
None-gene-2419046			None-gene-2419046-0
None-gene-2428242	35571	1.91e-25	None-gene-2428242-0
None-gene-2428684	2	3.68e-17	None-gene-2428684-0
None-gene-2429332	35571	1.56e-16	None-gene-2429332-0
None-gene-2440146	35571	1.07e-233	None-gene-2440146-0
None-gene-2440211	2035417	5.66e-19	None-gene-2440211-0
None-gene-2449158	35571	2.05e-42	None-gene-2449158-0
None-gene-2456418	35571	8.53e-22	None-gene-2456418-0
None-gene-2465470	35571	7.40e-147	None-gene-2465470-0
None-gene-2484345	35571	5.13e-68	None-gene-2484345-0
None-gene-2495196			None-gene-2495196-0
None-gene-2521898	35571	4.91e-77	None-gene-2521898-0
None-gene-2530079			None-gene-2530079-0
None-gene-2568316	35572	5.44e-06	None-gene-2568316-0
None-gene-2602110	7148	2.31e-46	None-gene-2602110-0
None-gene-2652853	7147	1.02e-32	None-gene-2652853-0
None-gene-2653439	7147	5.83e-13	None-gene-2653439-0
None-gene-2654042	35571	7.01e-146	None-gene-2654042-0
None-gene-2657771	35571	2.35e-28	None-gene-2657771-0
None-gene-2676413	33392	8.28e-167	None-gene-2676413-0
None-gene-2681182	35571	1.25e-05	None-gene-2681182-0
None-gene-2682856	33392	1.30e-27	None-gene-2682856-0
None-gene-2692007	35571	1.43e-56	None-gene-2692007-0
None-gene-2709458	35571	3.24e-67	None-gene-2709458-0
None-gene-2710154	3818	2.96e-10	None-gene-2710154-0
None-gene-2711828			None-gene-2711828-0
None-gene-2721144	35572	3.57e-29	None-gene-2721144-0
None-gene-2731571	41830	1.49e-25	None-gene-2731571-0
None-gene-2751311	33392	7.33e-41	None-gene-2751311-0
None-gene-2753220	33392	7.01e-22	None-gene-2753220-0
None-gene-2767923			None-gene-2767923-0
None-gene-2784958	7148	4.96e-14	None-gene-2784958-0
None-gene-2788379	35571	4.04e-123	None-gene-2788379-0
None-gene-2797121	35571	8.94e-05	None-gene-2797121-0
None-gene-2799939			None-gene-2799939-0
None-gene-2799940	689277	1.43e-15	None-gene-2799940-0
None-gene-2805414	35571	3.92e-86	None-gene-2805414-0
None-gene-2813706	35572	6.38e-05	None-gene-2813706-0
None-gene-2814210			None-gene-2814210-0
None-gene-2816047	7148	2.06e-132	None-gene-2816047-0
None-gene-2818803	7147	9.06e-31	None-gene-2818803-0
None-gene-2823254	35572	3.10e-17	None-gene-2823254-0
None-gene-2832819	35571	1.72e-146	None-gene-2832819-0
None-gene-2849677	7148	1.20e-54	None-gene-2849677-0
None-gene-2851525	35572	1.29e-05	None-gene-2851525-0
None-gene-2859983	33392	8.89e-35	None-gene-2859983-0
None-gene-2911498	7147	8.19e-47	None-gene-2911498-0
None-gene-2915527	35572	4.41e-13	None-gene-2915527-0
None-gene-2916816	37567	5.17e-40	None-gene-2916816-0
None-gene-2919004	7147	5.00e-21	None-gene-2919004-0
None-gene-2919420	7148	4.13e-87	None-gene-2919420-0
None-gene-2928423	35571	1.61e-51	None-gene-2928423-0
None-gene-2928530	702717	9.51e-11	None-gene-2928530-0
None-gene-2929681	35571	3.84e-77	None-gene-2929681-0
None-gene-3056459	35571	1.73e-09	None-gene-3056459-0
None-gene-3078063	35571	6.46e-24	None-gene-3078063-0
None-gene-3092852	35571	2.50e-76	None-gene-3092852-0
None-gene-3110166	33392	5.27e-21	None-gene-3110166-0
None-gene-3149072			None-gene-3149072-0
None-gene-3151184	35571	7.72e-31	None-gene-3151184-0
None-gene-3163227	35571	5.11e-31	None-gene-3163227-0
None-gene-3185628	35571	4.36e-142	None-gene-3185628-0
None-gene-3202292	35571	2.67e-24	None-gene-3202292-0
None-gene-3213941	35571	2.90e-50	None-gene-3213941-0
None-gene-3224924	35571	7.17e-45	None-gene-3224924-0
None-gene-3236553	71814	2.72e-68	None-gene-3236553-0
None-gene-3253759	41830	2.12e-27	None-gene-3253759-0
None-gene-3253871			None-gene-3253871-0
None-gene-3320873	35571	4.58e-25	None-gene-3320873-0
None-gene-3322629	7147	2.94e-09	None-gene-3322629-0
None-gene-3326431	33392	9.75e-24	None-gene-3326431-0
None-gene-3330321	7148	1.86e-06	None-gene-3330321-0
None-gene-3330687	35571	7.76e-52	None-gene-3330687-0
None-gene-3333889	35571	2.70e-24	None-gene-3333889-0
None-gene-3336718	33392	2.43e-28	None-gene-3336718-0
None-gene-3337364	35571	9.37e-57	None-gene-3337364-0
None-gene-3338318	7160	1.24e-14	None-gene-3338318-0
None-gene-3350649	7184	6.91e-212	None-gene-3350649-0
None-gene-3379219	35571	6.76e-22	None-gene-3379219-0
None-gene-3415483	35571	1.85e-35	None-gene-3415483-0
None-gene-3459465	35571	9.34e-121	None-gene-3459465-0
None-gene-3465976			None-gene-3465976-0
None-gene-3472216	35571	1.87e-14	None-gene-3472216-0
None-gene-3474927	35571	7.90e-30	None-gene-3474927-0
None-gene-3478340	35571	3.97e-47	None-gene-3478340-0
None-gene-3488762	35571	6.82e-117	None-gene-3488762-0
None-gene-3498468			None-gene-3498468-0
None-gene-3501058	35572	3.44e-97	None-gene-3501058-0
None-gene-3516019	7184	4.26e-08	None-gene-3516019-0
None-gene-3519841	35571	1.36e-59	None-gene-3519841-0
None-gene-3546230	35571	1.89e-183	None-gene-3546230-0
None-gene-3548000	33392	1.04e-178	None-gene-3548000-0
None-gene-3550675	7147	4.25e-42	None-gene-3550675-0
None-gene-3568633	7148	1.49e-10	None-gene-3568633-0
None-gene-3583001	33392	3.02e-08	None-gene-3583001-0
None-gene-3589169	35572	1.70e-94	None-gene-3589169-0
None-gene-3622669	35571	7.32e-46	None-gene-3622669-0
None-gene-3634361	35572	2.54e-109	None-gene-3634361-0
None-gene-3641556	35571	2.30e-19	None-gene-3641556-0
None-gene-3643601	7148	3.24e-136	None-gene-3643601-0
None-gene-3651699	35571	3.85e-30	None-gene-3651699-0
None-gene-3663234	35572	2.74e-17	None-gene-3663234-0
None-gene-3663254	35572	2.85e-20	None-gene-3663254-0
None-gene-3679895	7147	1.88e-09	None-gene-3679895-0
None-gene-3686827	35571	9.04e-68	None-gene-3686827-0
None-gene-3690615	35571	3.88e-63	None-gene-3690615-0
None-gene-3690725			None-gene-3690725-0
None-gene-3697481	35571	1.06e-99	None-gene-3697481-0
None-gene-3698799	35571	1.78e-53	None-gene-3698799-0
None-gene-3711171	35571	2.33e-85	None-gene-3711171-0
None-gene-3727086	33392	6.44e-81	None-gene-3727086-0
None-gene-3736701	35571	1.67e-35	None-gene-3736701-0
None-gene-3739178	35571	3.31e-18	None-gene-3739178-0
None-gene-3741036	7148	1.96e-26	None-gene-3741036-0
None-gene-3742506	7148	7.62e-09	None-gene-3742506-0
None-gene-3751730			None-gene-3751730-0
None-gene-3754197	35571	3.66e-102	None-gene-3754197-0
None-gene-3759944	33392	4.07e-25	None-gene-3759944-0
None-gene-3762339	35572	4.58e-33	None-gene-3762339-0
None-gene-3779162	35571	1.92e-46	None-gene-3779162-0
None-gene-3779763	35571	1.46e-08	None-gene-3779763-0
None-gene-3793797	35571	6.38e-06	None-gene-3793797-0
None-gene-3810093	35571	6.42e-97	None-gene-3810093-0
None-gene-3811332			None-gene-3811332-0
None-gene-3815500	35571	7.24e-74	None-gene-3815500-0
None-gene-3816589	35572	5.04e-24	None-gene-3816589-0
None-gene-3817590	123851	7.93e-11	None-gene-3817590-0
None-gene-3818252	35572	1.65e-61	None-gene-3818252-0
None-gene-3821418	35571	8.07e-08	None-gene-3821418-0
None-gene-3822658			None-gene-3822658-0
None-gene-3825328	35571	2.28e-38	None-gene-3825328-0
None-gene-3827247	35571	1.52e-145	None-gene-3827247-0
None-gene-3829803	35571	8.82e-65	None-gene-3829803-0
None-gene-3840538	35571	9.96e-143	None-gene-3840538-0
None-gene-3877369	33392	3.85e-06	None-gene-3877369-0
None-gene-3881329	35571	7.00e-207	None-gene-3881329-0
None-gene-3891948	7375	2.37e-32	None-gene-3891948-0
None-gene-3925920	35571	2.73e-35	None-gene-3925920-0
None-gene-3943363	35571	2.47e-43	None-gene-3943363-0
None-gene-3959248	33392	6.27e-09	None-gene-3959248-0
None-gene-4120819	33392	3.99e-30	None-gene-4120819-0
None-gene-4128049	7147	0.0	None-gene-4128049-0
None-gene-4128642	7147	1.51e-07	None-gene-4128642-0
None-gene-4155260	35571	3.16e-06	None-gene-4155260-0
None-gene-4177031			None-gene-4177031-0
None-gene-4177059	7148	4.72e-42	None-gene-4177059-0
None-gene-4184276	35571	1.09e-132	None-gene-4184276-0
None-gene-4192937	33392	1.59e-16	None-gene-4192937-0
None-gene-4196355	35571	9.89e-88	None-gene-4196355-0
None-gene-4196727			None-gene-4196727-0
None-gene-4199906	35571	7.82e-11	None-gene-4199906-0
None-gene-4206153			None-gene-4206153-0
None-gene-4216361	35571	4.00e-186	None-gene-4216361-0
None-gene-4236470	35571	0.0	None-gene-4236470-0
None-gene-4245991	35571	1.31e-05	None-gene-4245991-0
None-gene-4249738	35571	1.82e-25	None-gene-4249738-0
None-gene-4259368	35571	1.08e-244	None-gene-4259368-0
None-gene-4265967	35571	0.0	None-gene-4265967-0
None-gene-4282973	35571	9.42e-102	None-gene-4282973-0
None-gene-4287267	35571	1.17e-58	None-gene-4287267-0
None-gene-4289234	35571	6.11e-84	None-gene-4289234-0
None-gene-4292069	35571	1.47e-06	None-gene-4292069-0
None-gene-4294306	35572	1.98e-50	None-gene-4294306-0
None-gene-4298778			None-gene-4298778-0
None-gene-4310948	35571	1.27e-195	None-gene-4310948-0
None-gene-4320617	35571	7.36e-111	None-gene-4320617-0
None-gene-4321454	197562	1.75e-13	None-gene-4321454-0
None-gene-4324893	35571	1.63e-110	None-gene-4324893-0
None-gene-4329881	35571	4.04e-09	None-gene-4329881-0
None-gene-4331643	35571	8.84e-91	None-gene-4331643-0
None-gene-4334307			None-gene-4334307-0
None-gene-4336869	35571	1.04e-72	None-gene-4336869-0
None-gene-4338958	121845	7.23e-07	None-gene-4338958-0
None-gene-4342126	35571	7.92e-162	None-gene-4342126-0
None-gene-4342854			None-gene-4342854-0
None-gene-4403487	35572	1.13e-49	None-gene-4403487-0
None-gene-4406275			None-gene-4406275-0
None-gene-4413608	35571	1.01e-19	None-gene-4413608-0
None-gene-4426468	35571	4.00e-19	None-gene-4426468-0
None-gene-4431252	35571	2.81e-18	None-gene-4431252-0
None-gene-4448520			None-gene-4448520-0
None-gene-4462575	35571	2.32e-19	None-gene-4462575-0
None-gene-4508616			None-gene-4508616-0
None-gene-4509639			None-gene-4509639-0
None-gene-4516057	35571	2.69e-22	None-gene-4516057-0
None-gene-4543083	35571	1.10e-19	None-gene-4543083-0
None-gene-4601547	7148	1.30e-26	None-gene-4601547-0
None-gene-4611802	7148	6.79e-13	None-gene-4611802-0
None-gene-4612451	7148	4.31e-24	None-gene-4612451-0
None-gene-4616877	35571	1.48e-15	None-gene-4616877-0
None-gene-4663414	7148	2.00e-40	None-gene-4663414-0
None-gene-4736321	35571	3.24e-23	None-gene-4736321-0
None-gene-4738884			None-gene-4738884-0
None-gene-4746734	33392	1.12e-06	None-gene-4746734-0
None-gene-4761162			None-gene-4761162-0
None-gene-4782418	35571	4.65e-87	None-gene-4782418-0
None-gene-4829762	7148	3.45e-33	None-gene-4829762-0
None-gene-4835294	33392	6.20e-17	None-gene-4835294-0
None-gene-4843650	33392	5.81e-43	None-gene-4843650-0
None-gene-4864740	33392	2.42e-10	None-gene-4864740-0
None-gene-4877604	33392	1.02e-09	None-gene-4877604-0
None-gene-4892909	33340	9.09e-49	None-gene-4892909-0
None-gene-4893923	33392	4.06e-41	None-gene-4893923-0
None-gene-4894201	7184	4.19e-04	None-gene-4894201-0
None-gene-4913135	7147	9.39e-22	None-gene-4913135-0
None-gene-4921976	35571	4.54e-26	None-gene-4921976-0
None-gene-4931985	35571	1.66e-53	None-gene-4931985-0
None-gene-4942264			None-gene-4942264-0
