g_name,c_name,c_num_of_genes,c_len,c_pct_assemby_len,c_genelenm,c_genelensd,c_pearson_r,c_pearson_p,c_gc_cont,c_gcdev,g_len,g_lendev_c,g_lendev_o,g_abspos,g_terminal,g_single,g_pearson_r_o,g_pearson_p_o,g_pearson_r_c,g_pearson_p_c,g_gc_cont,g_gcdev_c,g_gcdev_o,PC_1,PC_2,PC_3,diamond_header,fasta_header,best_hit,best_hitID,bh_pident,bh_evalue,bh_bitscore,lca,lcaID,refined_lca,refined_lcaID,taxon_assignment,taxon_assignmentID,is_target,plot_label,plot_labelID,start,end,upstream_gene,downstream_gene,gene_biotype
None-gene-17628,contig_382,6,53311,0.0002,985.5,656.4678,0.4141,0.0,0.3653,0.7708,760,-0.3435,-0.3874,0.3387,1,0,0.1584,0.0111,0.0799,0.2024,0.4329,0.711,1.3037,-2.321561424011636,-4.203574034908336,-0.2075128118863173,None-gene-17628-0,None-gene-17628-0,Pseudolycoriella hygida,35572,47.0,1.53e-29,121,Pseudolycoriella hygida,35572,,,Pseudolycoriella hygida,35572,0,Eumetazoa,6072,17628,18387,,None-gene-5516,mRNA
None-gene-17825,contig_386,3,59802,0.0002,4210.3333,2458.3172,0.6697,0.0,0.3438,-1.1027,5419,0.4917,0.8496,0.4039,1,0,0.2809,0.0,0.2682,0.0,0.3558,-1.1337,-0.9395,1.2285574265801444,-2.4336857506675,3.1694203469961995,None-gene-17825-0,None-gene-17825-0,Bradysia odoriphaga,1564500,65.9,8.38e-37,163,Sciaridae,7184,Bradysia,35571,Bradysia,35571,1,Eumetazoa,6072,17825,23243,None-gene-52051,,mRNA
None-gene-25876,contig_386,3,59802,0.0002,4210.3333,2458.3172,0.6697,0.0,0.3438,-1.1027,783,-1.3942,-0.3813,0.1346,0,0,0.1041,0.0965,0.1422,0.0229,0.401,1.5533,0.3765,-1.1247904420622274,-0.3626548148938862,1.9209556286494864,None-gene-25876-0,None-gene-25876-0,Contarinia nasturtii,265458,43.6,6.76e-50,179,Sciaroidea,41830,Bradysia,35571,Bradysia,35571,1,Eumetazoa,6072,25876,26658,,None-gene-52051,mRNA
None-gene-52051,contig_386,3,59802,0.0002,4210.3333,2458.3172,0.6697,0.0,0.3438,-1.1027,6429,0.9025,1.1178,0.9558,1,0,0.3757,0.0,0.5227,0.0,0.3878,0.7664,-0.0089,2.7275011987587625,-3.113968795094231,3.5034509137484773,None-gene-52051-0,None-gene-52051-0,Pseudolycoriella hygida,35572,27.1,1.89e-109,389,Pseudolycoriella hygida,35572,,,Pseudolycoriella hygida,35572,0,Eumetazoa,6072,52051,58479,None-gene-25876,None-gene-17825,mRNA
None-gene-17098,contig_387,5,82417,0.0002,4099.0,2583.8073,0.6767,0.0,0.3457,-0.9334,5838,0.673,0.9608,0.5851,1,0,0.2481,0.0001,0.1795,0.004,0.363,-0.9375,-0.7306,0.9655368613442578,-2.312864234707704,3.2289134366309957,None-gene-17098-0,None-gene-17098-0,Bradysia odoriphaga,1564500,67.9,1.53e-44,187,Sciaridae,7184,Bradysia,35571,Bradysia,35571,1,Eumetazoa,6072,17098,22935,None-gene-49764,,mRNA
None-gene-26414,contig_387,5,82417,0.0002,4099.0,2583.8073,0.6767,0.0,0.3457,-0.9334,1122,-1.1522,-0.2913,0.359,0,0,0.2157,0.0005,0.1728,0.0056,0.3984,1.8755,0.3001,-0.4657638522876793,-0.6195115404147419,1.9578512789724494,None-gene-26414-0,None-gene-26414-0,Contarinia nasturtii,265458,39.4,1.40e-69,234,Sciaroidea,41830,Bradysia,35571,Bradysia,35571,1,Eumetazoa,6072,26414,27535,,None-gene-67508,mRNA
None-gene-49764,contig_387,5,82417,0.0002,4099.0,2583.8073,0.6767,0.0,0.3457,-0.9334,6090,0.7706,1.0278,0.3554,0,0,0.269,0.0,0.5569,0.0,0.3688,-0.4743,-0.5609,2.4422011889347144,-1.8786934132204745,1.5868055493965705,None-gene-49764-0,None-gene-49764-0,Pseudolycoriella hygida,35572,31.3,1.21e-131,452,Pseudolycoriella hygida,35572,,,Pseudolycoriella hygida,35572,0,Eumetazoa,6072,49764,55853,None-gene-79604,None-gene-17098,mRNA
None-gene-67508,contig_387,5,82417,0.0002,4099.0,2583.8073,0.6767,0.0,0.3457,-0.9334,6659,0.9908,1.1788,0.7998,0,0,0.2877,0.0,0.3968,0.0,0.3819,0.5649,-0.1801,2.1895650428055697,-1.7828087983109635,1.8872055491117008,None-gene-67508-0,None-gene-67508-0,Pseudolycoriella hygida,35572,31.5,7.09e-77,285,Sciaridae,7184,Bradysia,35571,Bradysia,35571,1,Eumetazoa,6072,67508,74166,None-gene-26414,None-gene-79604,mRNA
None-gene-79604,contig_387,5,82417,0.0002,4099.0,2583.8073,0.6767,0.0,0.3457,-0.9334,786,-1.2822,-0.3805,0.9508,1,0,0.0895,0.1535,0.1978,0.0015,0.4148,3.1747,0.7761,-1.0336605935949237,-1.5274510770380432,3.939667828695988,None-gene-79604-0,None-gene-79604-0,Pseudolycoriella hygida,35572,51.7,4.76e-11,68.6,Pseudolycoriella hygida,35572,,,Pseudolycoriella hygida,35572,0,Eumetazoa,6072,79604,80389,None-gene-67508,None-gene-49764,mRNA
None-gene-24920,contig_405,1,31834,0.0001,147.0,,0.3547,0.0,0.3514,-0.4386,147,,-0.5502,0.5748,1,1,,,,,0.7075,,9.2919,,,,None-gene-24920-0,None-gene-24920-0,,,,,,,,,,,,0,Unassigned,,24920,25066,,,mRNA
None-gene-570,contig_374,11,30103,0.0001,666.7273,576.5007,0.5183,0.0,0.3783,1.8927,2159,2.5885,-0.016,0.9622,1,0,0.1719,0.0058,0.3015,0.0,0.3798,-1.1167,-0.2407,-0.04575161288803658,-5.131022151548954,-0.6032478903921701,None-gene-570-0,None-gene-570-0,Diachasma alloeum,454923,43.1,1.51e-17,97.8,Hymenoptera,7399,,,Hymenoptera,7399,0,Eumetazoa,6072,570,2728,None-gene-23907,None-gene-19742,mRNA
None-gene-2952,contig_374,11,30103,0.0001,666.7273,576.5007,0.5183,0.0,0.3783,1.8927,282,-0.6673,-0.5143,0.8039,0,0,-0.0307,0.6399,0.0624,0.3409,0.3723,-1.3215,-0.4579,-3.11122029905658,-2.6956407469843584,-1.5641909656013648,None-gene-2952-0,None-gene-2952-0,Bradysia odoriphaga,1564500,83.0,5.01e-48,166,Bradysia odoriphaga,1564500,,,Bradysia,35571,1,Eumetazoa,6072,2952,3233,None-gene-15198,,mRNA
None-gene-12324,contig_374,11,30103,0.0001,666.7273,576.5007,0.5183,0.0,0.3783,1.8927,873,0.3578,-0.3574,0.1813,0,0,0.1093,0.0809,0.0644,0.3049,0.394,-0.7261,0.1735,-2.1045223127634243,-3.0696943494123383,-2.2774384072397553,None-gene-12324-0,None-gene-12324-0,Pseudolycoriella hygida,35572,52.1,7.85e-89,276,Pseudolycoriella hygida,35572,,,Pseudolycoriella hygida,35572,0,Eumetazoa,6072,12324,13196,None-gene-22171,None-gene-19410,mRNA
None-gene-15198,contig_374,11,30103,0.0001,666.7273,576.5007,0.5183,0.0,0.3783,1.8927,488,-0.31,-0.4596,0.0421,0,0,0.0305,0.6316,0.27,0.0,0.4303,0.2694,1.229,-2.0814202894561884,-3.0935318397357574,-2.2435191383348867,None-gene-15198-0,None-gene-15198-0,Diabrotica balteata,107213,73.8,2.49e-43,155,Neoptera,33340,Endopterygota,33392,Endopterygota,33392,1,Eumetazoa,6072,15198,15685,None-gene-18923,None-gene-2952,mRNA
None-gene-18923,contig_374,11,30103,0.0001,666.7273,576.5007,0.5183,0.0,0.3783,1.8927,435,-0.402,-0.4737,0.286,0,0,-0.0591,0.3541,0.0198,0.7566,0.4299,0.2573,1.2162,-3.2417846873408864,-2.6108138358948847,-2.00957336839038,None-gene-18923-0,None-gene-18923-0,Bradysia odoriphaga,1564500,44.8,9.89e-30,121,Bradysia odoriphaga,1564500,,,Bradysia,35571,1,Eumetazoa,6072,18923,19357,None-gene-19410,None-gene-15198,mRNA
None-gene-19410,contig_374,11,30103,0.0001,666.7273,576.5007,0.5183,0.0,0.3783,1.8927,273,-0.683,-0.5167,0.3076,0,0,0.0449,0.4814,0.2165,0.0006,0.4835,1.7288,2.7764,-2.3806133280598205,-2.969388206988537,-1.977173634885115,None-gene-19410-0,None-gene-19410-0,Contarinia nasturtii,265458,38.9,1.04e-08,62.4,Endopterygota,33392,Bradysia,35571,Bradysia,35571,1,Eumetazoa,6072,19410,19682,None-gene-12324,None-gene-18923,mRNA
None-gene-19742,contig_374,11,30103,0.0001,666.7273,576.5007,0.5183,0.0,0.3783,1.8927,255,-0.7142,-0.5215,0.3285,0,0,0.037,0.5673,0.0707,0.2741,0.4471,0.7285,1.7158,-2.892522572909444,-2.740201621732661,-1.9561582504834112,None-gene-19742-0,None-gene-19742-0,Bradysia odoriphaga,1564500,59.3,4.01e-14,76.3,Nematocera,7148,Bradysia,35571,Bradysia,35571,1,Eumetazoa,6072,19742,19996,None-gene-570,None-gene-24232,mRNA
None-gene-22171,contig_374,11,30103,0.0001,666.7273,576.5007,0.5183,0.0,0.3783,1.8927,1348,1.1817,-0.2313,0.5625,0,0,0.1471,0.0185,0.1654,0.008,0.4525,0.8784,1.8747,-1.1960366202996233,-3.500652716421456,-2.1237940206948553,None-gene-22171-0,None-gene-22171-0,Leguminivora glycinivorella,1035111,51.2,1.66e-16,95.1,Arthropoda,6656,Endopterygota,33392,Endopterygota,33392,1,Eumetazoa,6072,22171,23518,None-gene-28273,None-gene-12324,mRNA
None-gene-23907,contig_374,11,30103,0.0001,666.7273,576.5007,0.5183,0.0,0.3783,1.8927,315,-0.6101,-0.5056,0.6092,0,0,-0.0032,0.9605,0.1811,0.0042,0.473,1.4407,2.4709,-2.6126523213087913,-2.900485146615892,-1.7345126550242662,None-gene-23907-0,None-gene-23907-0,Bradysia odoriphaga,1564500,49.0,8.90e-22,96.3,Endopterygota,33392,Bradysia,35571,Bradysia,35571,1,Eumetazoa,6072,23907,24221,,None-gene-570,mRNA
None-gene-24232,contig_374,11,30103,0.0001,666.7273,576.5007,0.5183,0.0,0.3783,1.8927,180,-0.8443,-0.5414,0.6218,0,0,0.1063,0.1166,0.1693,0.0121,0.4833,1.7237,2.771,-2.3776509471854324,-2.9717529019396363,-1.724097964079828,None-gene-24232-0,None-gene-24232-0,Diuraphis noxia,143948,53.3,9.91e-14,75.1,Opisthokonta,33154,Nematocera,7148,Nematocera,7148,1,Eumetazoa,6072,24232,24411,None-gene-19742,None-gene-28273,mRNA
None-gene-28273,contig_374,11,30103,0.0001,666.7273,576.5007,0.5183,0.0,0.3783,1.8927,726,0.1028,-0.3964,0.9266,1,0,0.2426,0.0001,0.2823,0.0,0.449,0.7827,1.7733,-1.142953281422441,-4.595885401905613,-0.24211429029006434,None-gene-28273-0,None-gene-28273-0,Vanessa cardui,171605,38.9,9.68e-46,174,Eumetazoa,6072,Endopterygota,33392,Endopterygota,33392,1,Eumetazoa,6072,28273,28998,None-gene-24232,None-gene-22171,mRNA
None-gene-12564,contig_406,2,29153,0.0001,4683.5,1683.5,0.5504,0.0,0.365,0.7382,3000,-1.0,0.2073,0.1381,1,0,0.1328,0.0336,0.394,0.0,0.3947,-1.4568,0.1916,-0.00022049977422848306,-2.4086166418803905,3.5021113741646266,None-gene-12564-0,None-gene-12564-0,Bradysia odoriphaga,1564500,46.2,8.63e-218,647,Bradysia odoriphaga,1564500,,,Bradysia,35571,1,Eumetazoa,6072,12564,15563,None-gene-22153,,mRNA
None-gene-22153,contig_406,2,29153,0.0001,4683.5,1683.5,0.5504,0.0,0.365,0.7382,6367,1.0,1.1013,0.9565,1,0,0.3968,0.0,0.568,0.0,0.439,0.6864,1.4808,2.8675270316309414,-3.6613216741060253,3.7068334463637256,None-gene-22153-0,None-gene-22153-0,Bradysia odoriphaga,1564500,31.6,5.23e-67,266,Bradysia odoriphaga,1564500,,,Bradysia,35571,1,Eumetazoa,6072,22153,28519,,None-gene-12564,mRNA
None-gene-35295,contig_381,11,150416,0.0004,1035.2727,972.5685,0.5107,0.0,0.3688,1.0715,803,-0.2388,-0.376,0.5307,1,0,0.1142,0.0681,0.1464,0.0191,0.3537,-2.1267,-1.0009,-2.0333545306332415,-3.8679669033459554,0.04308812861859023,None-gene-35295-0,None-gene-35295-0,Bradysia odoriphaga,1564500,93.8,2.15e-120,367,Bradysia odoriphaga,1564500,,,Bradysia,35571,1,Eumetazoa,6072,35295,36097,,None-gene-60227,mRNA
None-gene-44667,contig_381,11,150416,0.0004,1035.2727,972.5685,0.5107,0.0,0.3688,1.0715,237,-0.8208,-0.5263,0.4061,0,0,0.1263,0.047,0.0956,0.1334,0.384,-0.9364,-0.1197,-2.3636056285186346,-2.6245465931275698,-1.405671020013376,None-gene-44667-0,None-gene-44667-0,Manduca sexta,7130,56.8,7.49e-18,87.8,Endopterygota,33392,Endopterygota,33392,Endopterygota,33392,1,Eumetazoa,6072,44667,44903,None-gene-67342,None-gene-58185,mRNA
None-gene-52707,contig_381,11,150416,0.0004,1035.2727,972.5685,0.5107,0.0,0.3688,1.0715,2033,1.0259,-0.0494,0.2992,0,0,0.0827,0.1873,0.0989,0.1143,0.4014,-0.2523,0.3868,-1.4667149269385613,-3.0368129475804073,-1.7902388812404681,None-gene-52707-0,None-gene-52707-0,,,,,,,,,,,,0,Unassigned,,52707,54739,None-gene-60227,None-gene-67342,mRNA
None-gene-58185,contig_381,11,150416,0.0004,1035.2727,972.5685,0.5107,0.0,0.3688,1.0715,3129,2.1528,0.2416,0.2263,0,0,0.2014,0.0012,0.2129,0.0006,0.4305,0.8916,1.2337,-0.03727855233613393,-3.6422073885426576,-2.0793374868113723,None-gene-58185-0,None-gene-58185-0,Exocentrus adspersus,1586481,41.0,1.11e-65,248,Cucujiformia,41088,,,Cucujiformia,41088,0,Eumetazoa,6072,58185,61313,None-gene-44667,None-gene-137148,mRNA
None-gene-60227,contig_381,11,150416,0.0004,1035.2727,972.5685,0.5107,0.0,0.3688,1.0715,204,-0.8547,-0.535,0.1992,0,0,0.0372,0.5768,0.0832,0.2118,0.4216,0.5411,0.9742,-2.754729672622583,-2.4612558037852783,-1.5327315884700208,None-gene-60227-0,None-gene-60227-0,Araneus ventricosus,182803,47.8,2.72e-05,49.3,Araneus ventricosus,182803,,,Araneus ventricosus,182803,0,Eumetazoa,6072,60227,60430,None-gene-35295,None-gene-52707,mRNA
None-gene-61890,contig_381,11,150416,0.0004,1035.2727,972.5685,0.5107,0.0,0.3688,1.0715,434,-0.6182,-0.474,0.1771,0,0,-0.0051,0.9366,-0.0343,0.5899,0.3963,-0.4513,0.2395,-3.1507420346850203,-2.2928381045666377,-1.5787971690587643,None-gene-61890-0,None-gene-61890-0,Macrosteles quadrilineatus,74068,57.1,2.10e-05,55.1,Neoptera,33340,Endopterygota,33392,Endopterygota,33392,1,Eumetazoa,6072,61890,62323,None-gene-69978,,mRNA
None-gene-67342,contig_381,11,150416,0.0004,1035.2727,972.5685,0.5107,0.0,0.3688,1.0715,2465,1.4701,0.0653,0.1046,0,0,0.2365,0.0001,0.1276,0.0413,0.3923,-0.6093,0.1225,-0.5793700523856677,-3.3766678124786202,-2.0736595777559055,None-gene-67342-0,None-gene-67342-0,Trichonephila clavipes,2585209,47.0,3.05e-102,345,Arthropoda,6656,Endopterygota,33392,Endopterygota,33392,1,Eumetazoa,6072,67342,69806,None-gene-52707,None-gene-44667,mRNA
None-gene-69978,contig_381,11,150416,0.0004,1035.2727,972.5685,0.5107,0.0,0.3688,1.0715,165,-0.8948,-0.5454,0.0695,0,0,0.1316,0.0826,0.055,0.47,0.3515,-2.2116,-1.0637,-2.535273661903447,-2.5215909806051475,-1.6626172092492604,None-gene-69978-0,None-gene-69978-0,Trichonephila inaurata madagascariensis,2747483,49.1,7.85e-06,50.1,Trichonephila inaurata madagascariensis,2747483,,,Trichonephila inaurata madagascariensis,2747483,0,Eumetazoa,6072,69978,70142,None-gene-99704,None-gene-61890,mRNA
None-gene-70685,contig_381,11,150416,0.0004,1035.2727,972.5685,0.5107,0.0,0.3688,1.0715,636,-0.4105,-0.4203,0.0601,0,0,0.0497,0.4281,0.1869,0.0027,0.3978,-0.3929,0.2827,-2.1316808478367903,-2.7305815164255955,-1.7207205202193057,None-gene-70685-0,None-gene-70685-0,Bradysia odoriphaga,1564500,74.8,2.35e-49,169,Hexapoda,6960,Bradysia,35571,Bradysia,35571,1,Eumetazoa,6072,70685,71320,None-gene-137148,None-gene-99704,mRNA
None-gene-99704,contig_381,11,150416,0.0004,1035.2727,972.5685,0.5107,0.0,0.3688,1.0715,712,-0.3324,-0.4002,0.3352,0,0,0.0452,0.4714,0.0312,0.6195,0.434,1.0291,1.3355,-2.5882339224517548,-2.5430240606819186,-1.5184625289701612,None-gene-99704-0,None-gene-99704-0,Bradysia odoriphaga,1564500,66.9,2.81e-74,237,Bradysia odoriphaga,1564500,,,Bradysia,35571,1,Eumetazoa,6072,99704,100415,None-gene-70685,None-gene-69978,mRNA
None-gene-137148,contig_381,11,150416,0.0004,1035.2727,972.5685,0.5107,0.0,0.3688,1.0715,570,-0.4784,-0.4379,0.8311,1,0,0.0396,0.5286,0.1019,0.1039,0.4579,1.9685,2.031,-2.564130778486089,-3.6716633553293727,0.34704066333019395,None-gene-137148-0,None-gene-137148-0,,,,,,,,,,,,0,Unassigned,,137148,137717,None-gene-58185,None-gene-70685,mRNA
None-gene-3402,contig_424,2,9727,0.0,623.0,419.0,0.3997,0.0,0.3342,-1.9313,204,-1.0,-0.535,0.3006,1,0,0.0673,0.3362,0.061,0.3837,0.3824,-2.2601,-0.1666,-3.2399032010248825,-4.150974473327787,-0.5159431183600589,None-gene-3402-0,None-gene-3402-0,Phthorimaea operculella,192464,55.1,1.27e-12,69.3,Panarthropoda,88770,Endopterygota,33392,Endopterygota,33392,1,Eumetazoa,6072,3402,3605,None-gene-8640,,mRNA
None-gene-8640,contig_424,2,9727,0.0,623.0,419.0,0.3997,0.0,0.3342,-1.9313,1042,1.0,-0.3125,0.9905,1,0,0.1567,0.0133,0.3729,0.0,0.4242,0.4425,1.0503,-0.8825782924303456,-5.255319543046426,-0.32348325913274256,None-gene-8640-0,None-gene-8640-0,Diabrotica virgifera virgifera,50390,59.1,4.32e-116,369,Endopterygota,33392,Endopterygota,33392,Endopterygota,33392,1,Eumetazoa,6072,8640,9681,,None-gene-3402,mRNA
None-gene-1388,contig_419,2,24624,0.0001,2394.0,946.0,0.4444,0.0,0.3253,-2.7068,1448,-1.0,-0.2047,0.8873,1,0,0.2569,0.0,0.2834,0.0,0.3474,-1.5188,-1.1842,-0.986406415592739,-3.848965986097412,1.7075786417014163,None-gene-1388-0,None-gene-1388-0,,,,,,,,,,,,0,Unassigned,,1388,2835,None-gene-14540,,mRNA
None-gene-14540,contig_419,2,24624,0.0001,2394.0,946.0,0.4444,0.0,0.3253,-2.7068,3340,1.0,0.2976,0.4521,1,0,0.2129,0.0006,0.5325,0.0,0.3647,0.6584,-0.681,0.759929810402127,-4.625970612964168,1.043820591238204,None-gene-14540-0,None-gene-14540-0,Anopheles darlingi,43151,100,6.75e-15,93.6,Diptera,7147,Nematocera,7148,Nematocera,7148,1,Eumetazoa,6072,14540,17879,,None-gene-1388,mRNA
None-gene-9123,contig_416,2,27163,0.0001,2361.5,2128.5,0.537,0.0,0.3408,-1.3577,233,-1.0,-0.5273,0.3283,1,0,-0.0034,0.9588,0.0928,0.1624,0.4206,4.3898,0.9461,-2.427285748614994,-2.465679387920643,1.7319288225522698,None-gene-9123-0,None-gene-9123-0,Melitaea cinxia,113334,60.6,2.65e-04,49.3,Melitaea cinxia,113334,,,Melitaea cinxia,113334,0,Eumetazoa,6072,9123,9355,None-gene-18448,,mRNA
None-gene-18448,contig_416,2,27163,0.0001,2361.5,2128.5,0.537,0.0,0.3408,-1.3577,4490,1.0,0.6029,0.6888,1,0,0.3493,0.0,0.5536,0.0,0.3559,-0.2278,-0.9361,1.7671902732987548,-4.249307009063088,1.541199924183654,None-gene-18448-0,None-gene-18448-0,Bradysia odoriphaga,1564500,71.9,5.03e-47,181,Sciaridae,7184,Bradysia,35571,Bradysia,35571,1,Eumetazoa,6072,18448,22937,,None-gene-9123,mRNA
None-gene-9425,contig_417,3,27490,0.0001,1586.0,1903.18,0.5364,0.0,0.3378,-1.6212,342,-0.6536,-0.4984,0.3143,1,0,-0.0177,0.7843,0.0716,0.2684,0.4444,2.6347,1.6397,-2.6520377607136685,-2.8653021458484393,0.8551423079361689,None-gene-9425-0,None-gene-9425-0,Bradysia odoriphaga,1564500,46.6,1.51e-26,112,Bradysia odoriphaga,1564500,,,Bradysia,35571,1,Eumetazoa,6072,9425,9766,None-gene-22423,,mRNA
None-gene-18740,contig_417,3,27490,0.0001,1586.0,1903.18,0.5364,0.0,0.3378,-1.6212,4275,1.4129,0.5459,0.6743,0,0,0.383,0.0,0.4525,0.0,0.3574,-0.3322,-0.8917,1.5751323316162351,-3.572178858629509,-0.8066247052742852,None-gene-18740-0,None-gene-18740-0,Pseudolycoriella hygida,35572,51.4,1.70e-32,147,Neoptera,33340,Sciaridae,7184,Sciaridae,7184,1,Eumetazoa,6072,18740,23014,,None-gene-22423,mRNA
None-gene-22423,contig_417,3,27490,0.0001,1586.0,1903.18,0.5364,0.0,0.3378,-1.6212,141,-0.7593,-0.5518,0.6415,1,0,0.2281,0.0012,0.1106,0.12,0.4752,3.6825,2.5338,-1.6968270361077715,-3.2443381101351925,1.0478978108273425,None-gene-22423-0,None-gene-22423-0,Trachymyrmex cornetzi,471704,57.4,1.53e-07,53.1,Trachymyrmex cornetzi,471704,,,Trachymyrmex cornetzi,471704,0,Eumetazoa,6072,22423,22563,None-gene-18740,None-gene-9425,mRNA
None-gene-518,contig_431,4,5107,0.0,368.5,142.0748,0.2197,0.0004,0.3595,0.2638,572,1.4323,-0.4373,0.7975,1,0,0.0843,0.1987,0.1599,0.0144,0.3497,-0.6702,-1.118,-2.0135390975209484,-5.631177516661689,-0.7413356418274196,None-gene-518-0,None-gene-518-0,Trichonephila clavata,2740835,59.5,9.69e-23,102,Arthropoda,6656,Diptera,7147,Diptera,7147,1,Eumetazoa,6072,518,1089,,None-gene-1329,mRNA
