c_name,num_of_genes,lca,lcaID,percentage_target,most_abundant_taxon,target_bitscore_mean,target_bitscore_sd,target_evalue_mean,target_evalue_sd,other_bitscore_mean,other_bitscore_sd,other_evalue_mean,other_evalue_sd
contig_578,84,cellular organisms,131567,0.7738095238095238,Bradysia,256.29,256.48,1.8097792452035503e-06,9.785210636080222e-06,139.96,114.2,9.170214396754287e-06,2.9569225191906542e-05
contig_322,6,Endopterygota,33392,0.8333333333333334,Bradysia,240.24,145.68,4.56e-08,1.019646997739904e-07,223.0,,1.33e-71,
contig_278,31,Protostomia,33317,0.6451612903225806,Bradysia,190.23,185.46,3.4445024101412136e-05,8.372486780593203e-05,154.64,117.87,8.860000000000001e-11,1.9811562280648135e-10
contig_300,17,Endopterygota,33392,0.7647058823529411,Endopterygota,192.25,285.94,9.381415266923078e-06,3.353793666906213e-05,98.8,45.15,8.375221263725e-11,1.6749852496045245e-10
contig_295,19,Eukaryota,2759,0.631578947368421,Bradysia,229.43,202.06,7.426009908833492e-08,2.543856104067353e-07,114.24,65.52,0.000164201310000486,0.00036716162960388575
contig_346,1,Bradysia,35571,1.0,Bradysia,206.0,,3.43e-57,,,,,
contig_284,23,Protostomia,33317,0.6956521739130435,Bradysia,233.01,174.76,3.709625000648406e-05,0.0001469141661804159,176.16,131.38,1.6642620000000001e-06,3.720670695347816e-06
contig_338,3,Endopterygota,33392,0.3333333333333333,Pseudolycoriella hygida,203.0,,3.46e-57,,210.0,90.51,9.3e-39,1.3152186130069784e-38
contig_343,2,Hymenoptera,7399,0,Apocrita,,,,,101.25,53.39,4.83e-07,6.830651506262049e-07
contig_291,20,cellular organisms,131567,0.55,Neoptera,189.25,132.47,4.070369909090913e-10,1.347534206643156e-09,141.2,113.68,6.777777812202222e-10,2.0333333320424167e-09
contig_323,11,Endopterygota,33392,0.6363636363636364,Bradysia,176.57,134.03,0.00013585714285714945,0.0003594442138317722,165.95,158.46,1.735e-08,2.45366053071732e-08
contig_341,5,Endopterygota,33392,0.6,Endopterygota,128.0,20.3,2.353333333336216e-22,4.0760929004762615e-22,109.0,,7e-20,
contig_351,5,Endopterygota,33392,0.6,Sciaridae,171.07,103.4,2.4666666666666665e-07,4.272391992003231e-07,,,,
