g_name,c_name,c_num_of_genes,c_len,c_pct_assemby_len,c_genelenm,c_genelensd,c_pearson_r,c_pearson_p,c_gc_cont,c_gcdev,g_len,g_lendev_c,g_lendev_o,g_abspos,g_terminal,g_single,g_pearson_r_o,g_pearson_p_o,g_pearson_r_c,g_pearson_p_c,g_gc_cont,g_gcdev_c,g_gcdev_o
None-gene-2001,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,579,0.7069,0.3052,0.5449,0,0,0.0465,0.4657,0.2824,0.0,0.4974,0.3765,-0.1195
None-gene-2181,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,129,-0.8168,-0.6714,0.504,0,0,0.11,0.1349,0.0564,0.4447,0.5349,1.3391,0.2671
None-gene-2604,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,210,-0.5426,-0.4956,0.4077,0,0,0.0723,0.2854,0.2466,0.0002,0.519,0.9323,0.1037
None-gene-2798,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,228,-0.4816,-0.4565,0.3636,0,0,0.0797,0.2308,0.3029,0.0,0.4956,0.3304,-0.138
None-gene-2874,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,1083,2.4136,1.399,0.3463,0,0,0.0944,0.132,0.4903,0.0,0.4691,-0.3514,-0.4119
None-gene-3956,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,459,0.3006,0.0448,0.1001,0,0,-0.0211,0.7374,0.2306,0.0002,0.4989,0.4151,-0.104
None-gene-4348,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,96,-0.9286,-0.743,0.0109,0,0,0.0902,0.2382,-0.0028,0.9708,0.4271,-1.4298,-0.845
None-gene-4475,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,271,-0.336,-0.3632,0.0792,0,0,-0.0226,0.7385,0.2281,0.0007,0.5351,1.3435,0.2689
None-gene-4810,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,207,-0.5527,-0.5021,0.1408,0,0,0.0573,0.3679,0.157,0.0131,0.5072,0.6292,-0.018
None-gene-5355,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,984,2.0783,1.1842,0.4416,0,0,0.1048,0.0943,0.3255,0.0,0.4898,0.182,-0.1976
None-gene-5470,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,321,-0.1667,-0.2547,0.317,0,0,0.0245,0.7098,0.1789,0.0061,0.5639,2.0834,0.5661
None-gene-6456,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,153,-0.7356,-0.6193,0.5031,0,0,-0.0626,0.4185,0.1189,0.1237,0.4837,0.0234,-0.2613
None-gene-6853,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,102,-0.9083,-0.73,0.5818,0,0,0.0628,0.4628,-0.0736,0.3895,0.451,-0.816,-0.5985
None-gene-7115,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,612,0.8187,0.3769,0.7575,0,0,-0.0114,0.8559,0.3247,0.0,0.4559,-0.6901,-0.5479
None-gene-7992,contig_291,22,8792,0.0839,370.2273,295.318,0.0685,0.2749,0.4769,1.1309,754,1.2995,0.685,0.9893,1,0,0.0241,0.7011,0.3931,0.0,0.4151,-1.7371,-0.9685
