g_name,c_name,c_num_of_genes,c_len,c_pct_assemby_len,c_genelenm,c_genelensd,c_pearson_r,c_pearson_p,c_gc_cont,c_gcdev,g_len,g_lendev_c,g_lendev_o,g_abspos,g_terminal,g_single,g_pearson_r_o,g_pearson_p_o,g_pearson_r_c,g_pearson_p_c,g_gc_cont,g_gcdev_c,g_gcdev_o,PC_1,PC_2,PC_3,diamond_header,fasta_header,best_hit,best_hitID,bh_pident,bh_evalue,bh_bitscore,lca,lcaID,refined_lca,refined_lcaID,taxon_assignment,taxon_assignmentID,is_target,plot_label,plot_labelID,start,end,upstream_gene,downstream_gene,gene_biotype
GBPCPCFC_00695,gnl|Prokka|GBPCPCFC_13,4,4435,0.002,1059.0,579.4855,0.2325,0.0002,0.6762,2.8006,1623,0.9733,1.0032,0.9968,1,0,0.1728,0.0072,0.6448,0.0,0.6852,1.2037,2.684,4.335364191315175,3.401796932850003,5.985639122640877,GBPCPCFC_00695-0,GBPCPCFC_00695-0,Rhizopus arrhizus,64495,56.0,7.58e-32,130,Rhizopus arrhizus,64495,,,Rhizopus arrhizus,64495,0,Rhizopus,4842,2806,4428,GBPCPCFC_00694,,mRNA
GBPCPCFC_02166,gnl|Prokka|GBPCPCFC_25,9,12682,0.0056,1300.6667,727.1535,0.4769,0.0,0.676,2.7986,504,-1.0956,-0.5242,0.9733,1,0,0.219,0.0005,0.2432,0.0001,0.6369,-2.89,2.2533,2.312647666460335,0.2727506358494659,6.448652824550023,GBPCPCFC_02166-0,GBPCPCFC_02166-0,,,,,,,,,,,,0,Unassigned,,170,673,,GBPCPCFC_02167,mRNA
GBPCPCFC_02167,gnl|Prokka|GBPCPCFC_25,9,12682,0.0056,1300.6667,727.1535,0.4769,0.0,0.676,2.7986,1593,0.402,0.9622,0.8678,0,0,0.2334,0.0002,0.355,0.0,0.6648,-0.8325,2.5022,1.1229245903268261,1.928275489699852,1.659150554002034,GBPCPCFC_02167-0,GBPCPCFC_02167-0,Xanthomonas oryzae pv. oryzae KACC 10331,291331,48.0,6.71e-98,317,Xanthomonas oryzae pv. oryzae KACC 10331,291331,,,Xanthomonas oryzae pv. oryzae KACC 10331,291331,0,Gammaproteobacteria,1236,839,2431,GBPCPCFC_02166,GBPCPCFC_02168,mRNA
GBPCPCFC_02168,gnl|Prokka|GBPCPCFC_25,9,12682,0.0056,1300.6667,727.1535,0.4769,0.0,0.676,2.7986,372,-1.2771,-0.7043,0.5874,0,0,0.1701,0.0081,0.1827,0.0044,0.6613,-1.0903,2.471,1.266520310596206,-0.5962426829982259,1.1178551887430965,GBPCPCFC_02168-0,GBPCPCFC_02168-0,,,,,,,,,,,,0,Unassigned,,2617,2988,GBPCPCFC_02167,GBPCPCFC_02169,mRNA
GBPCPCFC_02169,gnl|Prokka|GBPCPCFC_25,9,12682,0.0056,1300.6667,727.1535,0.4769,0.0,0.676,2.7986,1392,0.1256,0.6879,0.5293,0,0,0.1738,0.007,0.5626,0.0,0.6688,-0.5345,2.5382,1.2432958418286346,2.1356456386311526,0.9882488646756168,GBPCPCFC_02169-0,GBPCPCFC_02169-0,Rhizopus delemar,936053,77.1,1.04e-87,277,Rhizopus delemar,936053,,,Rhizopus delemar,936053,0,Rhizopus,4842,2985,4376,GBPCPCFC_02168,GBPCPCFC_02170,mRNA
GBPCPCFC_02170,gnl|Prokka|GBPCPCFC_25,9,12682,0.0056,1300.6667,727.1535,0.4769,0.0,0.676,2.7986,2823,2.0936,2.641,0.3096,0,0,0.3325,0.0,0.7573,0.0,0.6879,0.8751,2.7087,0.8933233941529173,5.451408319190441,0.33973711760152225,GBPCPCFC_02170-0,GBPCPCFC_02170-0,Rhizopus arrhizus,64495,68.9,1.23e-230,684,Rhizopus arrhizus,64495,,,Rhizopus arrhizus,64495,0,Rhizopus,4842,4378,7200,GBPCPCFC_02169,GBPCPCFC_02171,mRNA
GBPCPCFC_02171,gnl|Prokka|GBPCPCFC_25,9,12682,0.0056,1300.6667,727.1535,0.4769,0.0,0.676,2.7986,984,-0.4355,0.131,0.3189,0,0,0.2091,0.0017,0.5106,0.0,0.689,0.9565,2.7185,1.2274369960177585,1.5518774112920501,0.5300797228309133,GBPCPCFC_02171-0,GBPCPCFC_02171-0,Rhizopus arrhizus,64495,78.2,1.20e-135,436,Rhizopus arrhizus,64495,,,Rhizopus arrhizus,64495,0,Rhizopus,4842,7381,8364,GBPCPCFC_02170,GBPCPCFC_02172,mRNA
GBPCPCFC_02172,gnl|Prokka|GBPCPCFC_25,9,12682,0.0056,1300.6667,727.1535,0.4769,0.0,0.676,2.7986,1614,0.4309,0.9909,0.583,0,0,0.2515,0.0002,0.6429,0.0,0.6902,1.0441,2.7291,1.193283547758287,3.0367181406782935,1.098760626444627,GBPCPCFC_02172-0,GBPCPCFC_02172-0,Rhizopus arrhizus,64495,67.7,9.88e-192,568,Rhizopus arrhizus,64495,,,Rhizopus arrhizus,64495,0,Rhizopus,4842,8425,10038,GBPCPCFC_02171,GBPCPCFC_02173,mRNA
GBPCPCFC_02173,gnl|Prokka|GBPCPCFC_25,9,12682,0.0056,1300.6667,727.1535,0.4769,0.0,0.676,2.7986,648,-0.8976,-0.3276,0.7066,0,0,0.2437,0.0003,0.4831,0.0,0.6636,-0.9213,2.4914,1.335391993115671,1.1140726351209644,1.45188006107553,GBPCPCFC_02173-0,GBPCPCFC_02173-0,Rhizopus arrhizus,64495,66.7,2.16e-60,216,Rhizopus arrhizus,64495,,,Rhizopus arrhizus,64495,0,Rhizopus,4842,10175,10822,GBPCPCFC_02172,GBPCPCFC_02174,mRNA
GBPCPCFC_02174,gnl|Prokka|GBPCPCFC_25,9,12682,0.0056,1300.6667,727.1535,0.4769,0.0,0.676,2.7986,1776,0.6537,1.212,0.9812,1,0,0.1985,0.0023,0.5628,0.0,0.6717,-0.3195,2.5642,2.2402360220155093,3.041955459959742,6.4218645912173224,GBPCPCFC_02174-0,GBPCPCFC_02174-0,Stenotrophomonas maltophilia,40324,98.7,6.15e-151,493,Stenotrophomonas,40323,,,Stenotrophomonas,40323,0,Gammaproteobacteria,1236,10788,12563,GBPCPCFC_02173,,mRNA
GBPCPCFC_02154,gnl|Prokka|GBPCPCFC_24,12,12133,0.0053,898.0,474.9711,0.5047,0.0,0.6549,2.6004,1293,0.8316,0.5527,0.986,1,0,0.2842,0.0,0.4695,0.0,0.6512,-0.2924,2.3809,4.080938737181338,2.743575909823513,5.310133489970747,GBPCPCFC_02154-0,GBPCPCFC_02154-0,Xanthomonas citri pv. citri,611301,57.0,3.35e-128,392,cellular organisms,131567,Opisthokonta,33154,Opisthokonta,33154,1,Opisthokonta,33154,86,1378,,GBPCPCFC_02155,mRNA
GBPCPCFC_02155,gnl|Prokka|GBPCPCFC_24,12,12133,0.0053,898.0,474.9711,0.5047,0.0,0.6549,2.6004,2037,2.398,1.5682,0.7616,0,0,0.24,0.0002,0.5491,0.0,0.6549,-0.1466,2.4138,2.9410212116176866,3.849888237296566,0.24980712218015047,GBPCPCFC_02155-0,GBPCPCFC_02155-0,Rhizopus arrhizus,64495,32.9,1.76e-06,64.7,cellular organisms,131567,Ecdysozoa,1206794,Ecdysozoa,1206794,1,Eumetazoa,6072,1447,3483,GBPCPCFC_02154,GBPCPCFC_02156,mRNA
GBPCPCFC_02156,gnl|Prokka|GBPCPCFC_24,12,12133,0.0053,898.0,474.9711,0.5047,0.0,0.6549,2.6004,690,-0.4379,-0.2703,0.405,0,0,0.2118,0.001,0.3867,0.0,0.6464,-0.4831,2.3379,3.1113347647117355,0.8394364180204217,-0.38262449541075916,GBPCPCFC_02156-0,GBPCPCFC_02156-0,,,,,,,,,,,,0,Unassigned,,3610,4299,GBPCPCFC_02155,GBPCPCFC_02157,mRNA
GBPCPCFC_02157,gnl|Prokka|GBPCPCFC_24,12,12133,0.0053,898.0,474.9711,0.5047,0.0,0.6549,2.6004,690,-0.4379,-0.2703,0.2575,0,0,0.1401,0.0274,0.3527,0.0,0.5812,-3.062,1.7558,3.116775059174743,0.43427426507086575,-0.7225285009383495,GBPCPCFC_02157-0,GBPCPCFC_02157-0,Stenotrophomonas maltophilia,40324,98.2,1.11e-111,327,Stenotrophomonas,40323,,,Stenotrophomonas,40323,0,Gammaproteobacteria,1236,4505,5194,GBPCPCFC_02156,GBPCPCFC_02158,mRNA
GBPCPCFC_02158,gnl|Prokka|GBPCPCFC_24,12,12133,0.0053,898.0,474.9711,0.5047,0.0,0.6549,2.6004,693,-0.4316,-0.2662,0.1029,0,0,0.3105,0.0,0.4215,0.0,0.684,1.004,2.6735,2.991373089352614,1.3906264812087694,-1.0853458829043945,GBPCPCFC_02158-0,GBPCPCFC_02158-0,Rhizopus arrhizus,64495,76.1,1.00e-102,312,Rhizopus arrhizus,64495,,,Rhizopus arrhizus,64495,0,Rhizopus,4842,5443,6135,GBPCPCFC_02157,GBPCPCFC_02159,mRNA
GBPCPCFC_02159,gnl|Prokka|GBPCPCFC_24,12,12133,0.0053,898.0,474.9711,0.5047,0.0,0.6549,2.6004,1146,0.5221,0.3521,0.2222,0,0,0.2464,0.0001,0.4591,0.0,0.6667,0.3193,2.519,2.9803603394006446,2.039967535048907,-0.8672250181428556,GBPCPCFC_02159-0,GBPCPCFC_02159-0,Rhizopus arrhizus,64495,42.2,1.99e-47,175,Rhizopus arrhizus,64495,,,Rhizopus arrhizus,64495,0,Rhizopus,4842,6270,7415,GBPCPCFC_02158,GBPCPCFC_02160,mRNA
GBPCPCFC_02160,gnl|Prokka|GBPCPCFC_24,12,12133,0.0053,898.0,474.9711,0.5047,0.0,0.6549,2.6004,570,-0.6906,-0.4341,0.3114,0,0,-0.011,0.8656,0.1738,0.0068,0.6474,-0.4439,2.3467,3.1768795822800695,-1.0190192135424911,-0.613622553706856,GBPCPCFC_02160-0,GBPCPCFC_02160-0,Stenotrophomonas maltophilia,40324,100,3.76e-121,350,Stenotrophomonas,40323,,,Stenotrophomonas,40323,0,Gammaproteobacteria,1236,7387,7956,GBPCPCFC_02159,GBPCPCFC_02161,mRNA
GBPCPCFC_02161,gnl|Prokka|GBPCPCFC_24,12,12133,0.0053,898.0,474.9711,0.5047,0.0,0.6549,2.6004,432,-0.9811,-0.6224,0.4311,0,0,0.0471,0.4777,0.3311,0.0,0.6574,-0.0469,2.4363,3.2704965026989723,-0.4868177080536581,-0.2665449795958314,GBPCPCFC_02161-0,GBPCPCFC_02161-0,Stenotrophomonas maltophilia,40324,100,3.92e-95,281,Bacteria,2,,,Bacteria,2,0,Bacteria,2,8251,8682,GBPCPCFC_02160,GBPCPCFC_02162,mRNA
GBPCPCFC_02162,gnl|Prokka|GBPCPCFC_24,12,12133,0.0053,898.0,474.9711,0.5047,0.0,0.6549,2.6004,1446,1.1538,0.7616,0.67,0,0,0.2131,0.0006,0.4524,0.0,0.6708,0.4833,2.556,3.0271548628470786,2.3776184251615677,0.11551046938372965,GBPCPCFC_02162-0,GBPCPCFC_02162-0,Stenotrophomonas maltophilia,40324,99.5,9.47e-144,421,Bacteria,2,,,Bacteria,2,0,Bacteria,2,8686,10131,GBPCPCFC_02161,GBPCPCFC_02163,mRNA
GBPCPCFC_02163,gnl|Prokka|GBPCPCFC_24,12,12133,0.0053,898.0,474.9711,0.5047,0.0,0.6549,2.6004,885,-0.0274,-0.0041,0.8277,0,0,0.157,0.0149,0.4124,0.0,0.696,1.481,2.7812,3.2095141587164293,1.0172489694554152,0.5764725591712171,GBPCPCFC_02163-0,GBPCPCFC_02163-0,Stenotrophomonas maltophilia,40324,99.7,2.74e-207,577,Bacteria,2,,,Bacteria,2,0,Bacteria,2,10204,11088,GBPCPCFC_02162,GBPCPCFC_02164,mRNA
GBPCPCFC_02164,gnl|Prokka|GBPCPCFC_24,12,12133,0.0053,898.0,474.9711,0.5047,0.0,0.6549,2.6004,573,-0.6843,-0.43,0.9446,0,0,0.1527,0.0192,0.3582,0.0,0.6841,1.0094,2.6747,3.280520884292847,0.260458322733631,0.8841156655961562,GBPCPCFC_02164-0,GBPCPCFC_02164-0,Rhizopus arrhizus,64495,78.1,5.52e-61,198,Rhizopus arrhizus,64495,,,Rhizopus arrhizus,64495,0,Rhizopus,4842,11225,11797,GBPCPCFC_02163,GBPCPCFC_02165,mRNA
GBPCPCFC_02165,gnl|Prokka|GBPCPCFC_24,12,12133,0.0053,898.0,474.9711,0.5047,0.0,0.6549,2.6004,321,-1.2148,-0.7739,0.9992,1,0,0.1151,0.0908,0.2457,0.0003,0.6386,-0.7894,2.2687,4.317171767286075,-0.42651944609058684,5.466244746918404,GBPCPCFC_02165-0,GBPCPCFC_02165-0,Candidatus Accumulibacter adjunctus,1454001,41.4,3.91e-09,62.4,cellular organisms,131567,Eukaryota,2759,Eukaryota,2759,1,Eukaryota,2759,11808,12128,GBPCPCFC_02164,,mRNA
GBPCPCFC_00895,gnl|Prokka|GBPCPCFC_21,19,20498,0.009,735.9474,460.5346,0.671,0.0,0.6027,2.1098,207,-1.1486,-0.9295,0.9651,1,0,-0.0098,0.8838,0.0601,0.3697,0.4444,-4.8857,0.5356,4.264116144108996,-1.8000877321386823,4.8967464642424465,GBPCPCFC_00895-0,GBPCPCFC_00895-0,,,,,,,,,,,,0,Unassigned,,359,565,,GBPCPCFC_00896,mRNA
GBPCPCFC_00896,gnl|Prokka|GBPCPCFC_21,19,20498,0.009,735.9474,460.5346,0.671,0.0,0.6027,2.1098,321,-0.901,-0.7739,0.5393,0,0,0.2501,0.0001,0.1948,0.0017,0.5888,-1.5569,1.8239,3.0257923039069214,-0.3315226110141408,-0.548976038274936,GBPCPCFC_00896-0,GBPCPCFC_00896-0,,,,,,,,,,,,0,Unassigned,,4722,5042,GBPCPCFC_00895,GBPCPCFC_00897,mRNA
GBPCPCFC_00897,gnl|Prokka|GBPCPCFC_21,19,20498,0.009,735.9474,460.5346,0.671,0.0,0.6027,2.1098,477,-0.5623,-0.561,0.5096,0,0,0.1317,0.0415,0.2346,0.0002,0.631,-0.5828,2.2009,3.0927428832298784,-0.4056501275379977,-0.6113905240047666,GBPCPCFC_00897-0,GBPCPCFC_00897-0,,,,,,,,,,,,0,Unassigned,,5027,5503,GBPCPCFC_00896,GBPCPCFC_00898,mRNA
GBPCPCFC_00898,gnl|Prokka|GBPCPCFC_21,19,20498,0.009,735.9474,460.5346,0.671,0.0,0.6027,2.1098,471,-0.5753,-0.5692,0.3561,0,0,0.1204,0.0583,0.1904,0.0026,0.5308,-2.8945,1.3062,3.0478079127796973,-0.6056858313424606,-0.9783470255557755,GBPCPCFC_00898-0,GBPCPCFC_00898-0,Rhizopus arrhizus,64495,83.8,5.07e-08,60.5,Rhizopus arrhizus,64495,,,Rhizopus arrhizus,64495,0,Rhizopus,4842,6600,7070,GBPCPCFC_00897,GBPCPCFC_00899,mRNA
GBPCPCFC_00899,gnl|Prokka|GBPCPCFC_21,19,20498,0.009,735.9474,460.5346,0.671,0.0,0.6027,2.1098,489,-0.5362,-0.5446,0.2654,0,0,0.1388,0.0334,0.2014,0.0019,0.6421,-0.3268,2.3,3.016562390279402,-0.45453148030323487,-1.1902976431090326,GBPCPCFC_00899-0,GBPCPCFC_00899-0,Cichorium endivia,114280,47.7,3.94e-21,100,Cichorium endivia,114280,,,Cichorium endivia,114280,0,Pentapetalae,1437201,7529,8017,GBPCPCFC_00898,GBPCPCFC_00900,mRNA
GBPCPCFC_00900,gnl|Prokka|GBPCPCFC_21,19,20498,0.009,735.9474,460.5346,0.671,0.0,0.6027,2.1098,288,-0.9727,-0.819,0.2013,0,0,0.1372,0.0425,0.2092,0.0019,0.6458,-0.2413,2.333,3.054708587416565,-0.7892172876582568,-1.297842706700897,GBPCPCFC_00900-0,GBPCPCFC_00900-0,,,,,,,,,,,,0,Unassigned,,8186,8473,GBPCPCFC_00899,GBPCPCFC_00901,mRNA
GBPCPCFC_00901,gnl|Prokka|GBPCPCFC_21,19,20498,0.009,735.9474,460.5346,0.671,0.0,0.6027,2.1098,318,-0.9075,-0.778,0.186,0,0,0.2384,0.0005,0.3284,0.0,0.6887,0.7468,2.7154,3.0298676257654082,0.09392633172822645,-1.3140768630706372,GBPCPCFC_00901-0,GBPCPCFC_00901-0,,,,,,,,,,,,0,Unassigned,,8343,8660,GBPCPCFC_00900,GBPCPCFC_00902,mRNA
GBPCPCFC_00902,gnl|Prokka|GBPCPCFC_21,19,20498,0.009,735.9474,460.5346,0.671,0.0,0.6027,2.1098,1395,1.4311,0.692,0.148,0,0,0.2982,0.0,0.3525,0.0,0.6695,0.3053,2.5446,2.7412227308845423,2.346435837456,-1.6034983196214825,GBPCPCFC_00902-0,GBPCPCFC_00902-0,Stenotrophomonas maltophilia,40324,99.4,0.0,888,Bacteria,2,,,Bacteria,2,0,Bacteria,2,8732,10126,GBPCPCFC_00901,GBPCPCFC_00903,mRNA
GBPCPCFC_00903,gnl|Prokka|GBPCPCFC_21,19,20498,0.009,735.9474,460.5346,0.671,0.0,0.6027,2.1098,390,-0.7512,-0.6798,0.0383,0,0,0.1141,0.09,0.186,0.0054,0.6462,-0.2339,2.3359,3.0025156050117086,-0.7731606488601008,-1.6971615498997683,GBPCPCFC_00903-0,GBPCPCFC_00903-0,Stenotrophomonas,40323,100,8.90e-87,259,cellular organisms,131567,Opisthokonta,33154,Opisthokonta,33154,1,Opisthokonta,33154,10253,10642,GBPCPCFC_00902,GBPCPCFC_00904,mRNA
GBPCPCFC_00904,gnl|Prokka|GBPCPCFC_21,19,20498,0.009,735.9474,460.5346,0.671,0.0,0.6027,2.1098,1593,1.861,0.9622,0.1967,0,0,0.3132,0.0,0.4961,0.0,0.6503,-0.1373,2.3733,2.7681352101048478,3.2519702630533893,-1.4793011049982834,GBPCPCFC_00904-0,GBPCPCFC_00904-0,Periconia digitata,1303443,46.4,1.87e-17,90.5,Periconia digitata,1303443,,,Periconia digitata,1303443,0,leotiomyceta,716546,10674,12266,GBPCPCFC_00903,GBPCPCFC_00905,mRNA
GBPCPCFC_00905,gnl|Prokka|GBPCPCFC_21,19,20498,0.009,735.9474,460.5346,0.671,0.0,0.6027,2.1098,867,0.2846,-0.0287,0.2724,0,0,0.2094,0.0018,0.3433,0.0,0.6886,0.7445,2.7146,2.950770465887152,0.9983523083210325,-1.2060668409181914,GBPCPCFC_00905-0,GBPCPCFC_00905-0,Stenotrophomonas maltophilia,40324,98.6,4.79e-214,593,cellular organisms,131567,Opisthokonta,33154,Opisthokonta,33154,1,Opisthokonta,33154,12176,13042,GBPCPCFC_00904,GBPCPCFC_00906,mRNA
GBPCPCFC_00906,gnl|Prokka|GBPCPCFC_21,19,20498,0.009,735.9474,460.5346,0.671,0.0,0.6027,2.1098,282,-0.9857,-0.8272,0.3091,0,0,0.1854,0.0045,0.2255,0.0005,0.6348,-0.4969,2.2341,3.0508608767022274,-0.5503081371151777,-1.050656272141992,GBPCPCFC_00906-0,GBPCPCFC_00906-0,Pseudomonadales bacterium RIFCSPLOWO2_12_59_9,1802009,47.0,3.10e-10,62.4,Pseudomonadota,1224,,,Pseudomonadota,1224,0,Pseudomonadota,1224,13137,13418,GBPCPCFC_00905,GBPCPCFC_00907,mRNA
GBPCPCFC_00907,gnl|Prokka|GBPCPCFC_21,19,20498,0.009,735.9474,460.5346,0.671,0.0,0.6027,2.1098,768,0.0696,-0.1638,0.3891,0,0,0.2073,0.0017,0.265,0.0001,0.6992,0.9898,2.8095,2.959390297257838,0.5379559299621504,-0.9459882500588206,GBPCPCFC_00907-0,GBPCPCFC_00907-0,Klebsiella pneumoniae,573,40.0,8.73e-12,74.3,Klebsiella pneumoniae,573,,,Klebsiella pneumoniae,573,0,Gammaproteobacteria,1236,13470,14237,GBPCPCFC_00906,GBPCPCFC_00908,mRNA
GBPCPCFC_00908,gnl|Prokka|GBPCPCFC_21,19,20498,0.009,735.9474,460.5346,0.671,0.0,0.6027,2.1098,510,-0.4906,-0.516,0.4384,0,0,0.0798,0.2238,0.1731,0.008,0.6725,0.3748,2.5715,3.077576820120711,-0.7685505945151999,-0.7946615395879802,GBPCPCFC_00908-0,GBPCPCFC_00908-0,,,,,,,,,,,,0,Unassigned,,14234,14743,GBPCPCFC_00907,GBPCPCFC_00909,mRNA
GBPCPCFC_00909,gnl|Prokka|GBPCPCFC_21,19,20498,0.009,735.9474,460.5346,0.671,0.0,0.6027,2.1098,957,0.48,0.0941,0.5419,0,0,0.1971,0.0032,0.2408,0.0003,0.7168,1.3958,2.9666,2.9430345615184614,0.7403383219070703,-0.6352002464963965,GBPCPCFC_00909-0,GBPCPCFC_00909-0,Stenotrophomonas maltophilia,40324,98.7,1.23e-222,618,cellular organisms,131567,Opisthokonta,33154,Opisthokonta,33154,1,Opisthokonta,33154,14847,15803,GBPCPCFC_00908,GBPCPCFC_00910,mRNA
