locus_tag	ftype	length_bp	gene	EC_number	COG	product
LONINKCB_00105	CDS	228				hypothetical protein
LONINKCB_00106	CDS	240				hypothetical protein
LONINKCB_00107	CDS	198				hypothetical protein
LONINKCB_00108	CDS	258				hypothetical protein
LONINKCB_00109	CDS	267				hypothetical protein
LONINKCB_00110	CDS	243				hypothetical protein
LONINKCB_00111	CDS	237				hypothetical protein
LONINKCB_00112	CDS	147				hypothetical protein
LONINKCB_00113	CDS	246				hypothetical protein
LONINKCB_00114	CDS	318				hypothetical protein
LONINKCB_00115	CDS	321				hypothetical protein
LONINKCB_00116	CDS	219				hypothetical protein
LONINKCB_00117	CDS	261				hypothetical protein
LONINKCB_00118	CDS	171				hypothetical protein
LONINKCB_00119	CDS	213				hypothetical protein
LONINKCB_00120	CDS	207				hypothetical protein
LONINKCB_00121	CDS	420				hypothetical protein
LONINKCB_00122	CDS	255				hypothetical protein
LONINKCB_00123	CDS	231				hypothetical protein
LONINKCB_00124	CDS	159				hypothetical protein
LONINKCB_00125	CDS	165				hypothetical protein
LONINKCB_00126	CDS	270				hypothetical protein
LONINKCB_00127	CDS	210				hypothetical protein
LONINKCB_00128	CDS	351				hypothetical protein
LONINKCB_00129	CDS	213				hypothetical protein
LONINKCB_00130	CDS	210				hypothetical protein
LONINKCB_00131	CDS	213				hypothetical protein
LONINKCB_00132	CDS	255				hypothetical protein
LONINKCB_00133	CDS	237				hypothetical protein
LONINKCB_00134	CDS	168				hypothetical protein
LONINKCB_00135	CDS	189				hypothetical protein
LONINKCB_00136	CDS	231				hypothetical protein
LONINKCB_00137	CDS	210				hypothetical protein
LONINKCB_00138	CDS	213				hypothetical protein
LONINKCB_00139	CDS	213				hypothetical protein
LONINKCB_00140	CDS	225				hypothetical protein
LONINKCB_00141	CDS	192				hypothetical protein
LONINKCB_00142	CDS	258				hypothetical protein
LONINKCB_00143	CDS	288				hypothetical protein
LONINKCB_00144	CDS	183				hypothetical protein
LONINKCB_00145	CDS	303				hypothetical protein
LONINKCB_00146	CDS	207				hypothetical protein
LONINKCB_00147	CDS	237				hypothetical protein
LONINKCB_00148	CDS	276				hypothetical protein
LONINKCB_00149	CDS	156				hypothetical protein
LONINKCB_00150	CDS	270				hypothetical protein
LONINKCB_00151	CDS	315				hypothetical protein
LONINKCB_00152	CDS	183				hypothetical protein
LONINKCB_00153	CDS	198				hypothetical protein
LONINKCB_00154	CDS	495				hypothetical protein
LONINKCB_00155	CDS	516				hypothetical protein
LONINKCB_00156	CDS	183				hypothetical protein
LONINKCB_00157	CDS	285				hypothetical protein
LONINKCB_00158	CDS	330				hypothetical protein
LONINKCB_00159	CDS	201				hypothetical protein
LONINKCB_00160	CDS	174				hypothetical protein
LONINKCB_00161	CDS	222				hypothetical protein
LONINKCB_00162	CDS	237				hypothetical protein
LONINKCB_00163	CDS	258				hypothetical protein
LONINKCB_00164	CDS	234				hypothetical protein
LONINKCB_00165	CDS	228				hypothetical protein
LONINKCB_00166	CDS	195				hypothetical protein
LONINKCB_00167	CDS	216				hypothetical protein
LONINKCB_00168	CDS	231				hypothetical protein
LONINKCB_00169	CDS	192				hypothetical protein
LONINKCB_00170	CDS	165				hypothetical protein
LONINKCB_00171	CDS	258				hypothetical protein
LONINKCB_00172	CDS	228				hypothetical protein
LONINKCB_00173	CDS	246				hypothetical protein
LONINKCB_00174	CDS	225				hypothetical protein
LONINKCB_00175	CDS	312				hypothetical protein
LONINKCB_00176	CDS	246				hypothetical protein
LONINKCB_00177	CDS	270				hypothetical protein
LONINKCB_00178	CDS	279				hypothetical protein
LONINKCB_00179	CDS	234				hypothetical protein
LONINKCB_00180	CDS	315				hypothetical protein
LONINKCB_00181	CDS	321				hypothetical protein
LONINKCB_00182	CDS	201				hypothetical protein
LONINKCB_00183	CDS	342				hypothetical protein
LONINKCB_00184	CDS	177				hypothetical protein
LONINKCB_00185	CDS	375				hypothetical protein
LONINKCB_00186	CDS	216				hypothetical protein
LONINKCB_00187	CDS	183				hypothetical protein
LONINKCB_00188	CDS	222				hypothetical protein
LONINKCB_00189	CDS	243				hypothetical protein
LONINKCB_00190	CDS	222				hypothetical protein
LONINKCB_00191	CDS	420				hypothetical protein
LONINKCB_00192	CDS	222				hypothetical protein
LONINKCB_00193	CDS	147				hypothetical protein
LONINKCB_00194	CDS	231				hypothetical protein
LONINKCB_00195	CDS	231				hypothetical protein
LONINKCB_00196	CDS	249				hypothetical protein
LONINKCB_00197	CDS	237				hypothetical protein
LONINKCB_00198	CDS	273				hypothetical protein
LONINKCB_00199	CDS	180				hypothetical protein
LONINKCB_00200	CDS	192				hypothetical protein
LONINKCB_00201	CDS	165				hypothetical protein
LONINKCB_00202	CDS	174				hypothetical protein
LONINKCB_00203	CDS	243				hypothetical protein
LONINKCB_00204	CDS	258				hypothetical protein
LONINKCB_00205	CDS	480				hypothetical protein
LONINKCB_00206	CDS	237				hypothetical protein
LONINKCB_00207	CDS	285				hypothetical protein
LONINKCB_00208	CDS	255				hypothetical protein
LONINKCB_00209	CDS	177				hypothetical protein
LONINKCB_00210	CDS	294				hypothetical protein
LONINKCB_00211	CDS	273				hypothetical protein
LONINKCB_00212	CDS	201				hypothetical protein
LONINKCB_00213	CDS	294				hypothetical protein
LONINKCB_00214	CDS	234				hypothetical protein
LONINKCB_00215	CDS	225				hypothetical protein
LONINKCB_00216	CDS	474				hypothetical protein
LONINKCB_00217	CDS	201				hypothetical protein
LONINKCB_00218	CDS	249				hypothetical protein
LONINKCB_00219	CDS	159				hypothetical protein
LONINKCB_00220	CDS	249				hypothetical protein
LONINKCB_00221	CDS	198				hypothetical protein
LONINKCB_00222	CDS	216				hypothetical protein
LONINKCB_00223	CDS	267				hypothetical protein
LONINKCB_00224	CDS	228				hypothetical protein
LONINKCB_00225	CDS	258				hypothetical protein
LONINKCB_00226	CDS	192				hypothetical protein
LONINKCB_00227	CDS	222				hypothetical protein
LONINKCB_00228	CDS	216				hypothetical protein
LONINKCB_00229	CDS	465				hypothetical protein
LONINKCB_00230	CDS	183				hypothetical protein
LONINKCB_00231	CDS	201				hypothetical protein
LONINKCB_00232	CDS	237				hypothetical protein
LONINKCB_00233	CDS	195				hypothetical protein
LONINKCB_00234	CDS	273				hypothetical protein
LONINKCB_00235	CDS	228				hypothetical protein
LONINKCB_00236	CDS	480				hypothetical protein
LONINKCB_00237	CDS	213				hypothetical protein
LONINKCB_00238	CDS	186				hypothetical protein
LONINKCB_00239	CDS	255				hypothetical protein
LONINKCB_00240	CDS	195				hypothetical protein
LONINKCB_00241	CDS	282				hypothetical protein
LONINKCB_00242	CDS	195				hypothetical protein
LONINKCB_00243	CDS	177				hypothetical protein
LONINKCB_00244	CDS	198				hypothetical protein
LONINKCB_00245	CDS	246				hypothetical protein
LONINKCB_00246	CDS	339				hypothetical protein
LONINKCB_00247	CDS	306				hypothetical protein
LONINKCB_00248	CDS	270				hypothetical protein
LONINKCB_00249	CDS	195				hypothetical protein
LONINKCB_00250	CDS	231				hypothetical protein
LONINKCB_00251	CDS	165				hypothetical protein
LONINKCB_00252	CDS	204				hypothetical protein
LONINKCB_00253	CDS	276				hypothetical protein
LONINKCB_00254	CDS	207				hypothetical protein
LONINKCB_00255	CDS	183				hypothetical protein
LONINKCB_00256	CDS	351				hypothetical protein
LONINKCB_00257	CDS	213				hypothetical protein
LONINKCB_00258	CDS	171				hypothetical protein
LONINKCB_00259	CDS	216				hypothetical protein
LONINKCB_00260	CDS	315				hypothetical protein
LONINKCB_00261	CDS	207				hypothetical protein
LONINKCB_00262	CDS	204				hypothetical protein
LONINKCB_00263	CDS	261				hypothetical protein
LONINKCB_00264	tRNA	74				tRNA-Trp(cca)
LONINKCB_00265	CDS	186				hypothetical protein
LONINKCB_00266	CDS	225				hypothetical protein
LONINKCB_00267	CDS	174				hypothetical protein
LONINKCB_00268	CDS	216				hypothetical protein
LONINKCB_00269	CDS	186				hypothetical protein
LONINKCB_00270	CDS	324				hypothetical protein
LONINKCB_00271	CDS	216				hypothetical protein
LONINKCB_00272	CDS	369				hypothetical protein
LONINKCB_00273	CDS	291				hypothetical protein
LONINKCB_00274	CDS	192				hypothetical protein
LONINKCB_00275	CDS	183				hypothetical protein
LONINKCB_00276	CDS	183				hypothetical protein
LONINKCB_00277	CDS	261				hypothetical protein
LONINKCB_00278	CDS	234				hypothetical protein
LONINKCB_00279	CDS	237				hypothetical protein
LONINKCB_00280	CDS	234				hypothetical protein
LONINKCB_00281	CDS	300				hypothetical protein
LONINKCB_00282	CDS	219				hypothetical protein
LONINKCB_00283	CDS	264				hypothetical protein
LONINKCB_00284	CDS	294				hypothetical protein
LONINKCB_00285	CDS	189				hypothetical protein
LONINKCB_00286	CDS	240				hypothetical protein
LONINKCB_00287	CDS	153				hypothetical protein
LONINKCB_00288	CDS	219				hypothetical protein
LONINKCB_00289	CDS	222				hypothetical protein
LONINKCB_00290	CDS	198				hypothetical protein
LONINKCB_00291	CDS	216				hypothetical protein
LONINKCB_00292	CDS	204				hypothetical protein
LONINKCB_00293	CDS	486				hypothetical protein
LONINKCB_00294	CDS	192				hypothetical protein
LONINKCB_00295	CDS	321				hypothetical protein
LONINKCB_00296	CDS	240				hypothetical protein
LONINKCB_00297	CDS	543				hypothetical protein
LONINKCB_00298	CDS	582				hypothetical protein
LONINKCB_00299	CDS	237				hypothetical protein
LONINKCB_00300	CDS	252				hypothetical protein
LONINKCB_00301	CDS	291				hypothetical protein
LONINKCB_00302	CDS	411				hypothetical protein
LONINKCB_00303	CDS	192				hypothetical protein
LONINKCB_00304	CDS	372				hypothetical protein
LONINKCB_00305	CDS	270				hypothetical protein
LONINKCB_00306	CDS	234				hypothetical protein
LONINKCB_00307	CDS	357				hypothetical protein
LONINKCB_00308	CDS	168				hypothetical protein
LONINKCB_00309	CDS	192				hypothetical protein
LONINKCB_00310	CDS	228				hypothetical protein
LONINKCB_00311	CDS	180				hypothetical protein
LONINKCB_00312	CDS	177				hypothetical protein
LONINKCB_00313	CDS	255				hypothetical protein
LONINKCB_00314	CDS	198				hypothetical protein
LONINKCB_00315	CDS	303				hypothetical protein
LONINKCB_00316	CDS	303				hypothetical protein
LONINKCB_00317	CDS	216				hypothetical protein
LONINKCB_00318	CDS	228				hypothetical protein
LONINKCB_00319	CDS	369				hypothetical protein
LONINKCB_00320	CDS	213				hypothetical protein
LONINKCB_00321	CDS	234				hypothetical protein
LONINKCB_00322	CDS	186				hypothetical protein
LONINKCB_00323	CDS	189				hypothetical protein
LONINKCB_00324	CDS	252				hypothetical protein
LONINKCB_00325	CDS	258				hypothetical protein
LONINKCB_00326	CDS	186				hypothetical protein
LONINKCB_00327	CDS	252				hypothetical protein
LONINKCB_00328	CDS	237				hypothetical protein
LONINKCB_00329	CDS	363				hypothetical protein
LONINKCB_00330	CDS	294				hypothetical protein
LONINKCB_00331	CDS	219				hypothetical protein
LONINKCB_00332	CDS	228				hypothetical protein
LONINKCB_00333	CDS	255				hypothetical protein
LONINKCB_00334	CDS	273				hypothetical protein
LONINKCB_00335	CDS	327				hypothetical protein
LONINKCB_00336	CDS	222				hypothetical protein
LONINKCB_00337	CDS	273				hypothetical protein
LONINKCB_00338	CDS	255				hypothetical protein
LONINKCB_00339	CDS	273				hypothetical protein
LONINKCB_00340	CDS	327				hypothetical protein
LONINKCB_00341	CDS	534				hypothetical protein
LONINKCB_00342	CDS	1071				hypothetical protein
LONINKCB_00343	CDS	402				hypothetical protein
LONINKCB_00344	CDS	390				hypothetical protein
LONINKCB_00345	CDS	141				hypothetical protein
LONINKCB_00346	CDS	225				hypothetical protein
LONINKCB_00347	CDS	384				hypothetical protein
LONINKCB_00348	CDS	384				hypothetical protein
LONINKCB_00349	CDS	228				hypothetical protein
LONINKCB_00350	CDS	243				hypothetical protein
LONINKCB_00351	CDS	159				hypothetical protein
LONINKCB_00352	CDS	246				hypothetical protein
LONINKCB_00353	CDS	285				hypothetical protein
LONINKCB_00354	CDS	315				hypothetical protein
LONINKCB_00355	CDS	153				hypothetical protein
LONINKCB_00356	CDS	198				hypothetical protein
LONINKCB_00357	CDS	201				hypothetical protein
LONINKCB_00358	CDS	222				hypothetical protein
LONINKCB_00359	CDS	177				hypothetical protein
LONINKCB_00360	CDS	210				hypothetical protein
LONINKCB_00361	CDS	303				hypothetical protein
LONINKCB_00362	CDS	336				hypothetical protein
LONINKCB_00363	CDS	237				hypothetical protein
LONINKCB_00364	CDS	213				hypothetical protein
LONINKCB_00365	CDS	183				hypothetical protein
LONINKCB_00366	CDS	273				hypothetical protein
LONINKCB_00367	CDS	231				hypothetical protein
LONINKCB_00368	CDS	276				hypothetical protein
LONINKCB_00369	CDS	258				hypothetical protein
LONINKCB_00370	CDS	189				hypothetical protein
LONINKCB_00371	CDS	201				hypothetical protein
LONINKCB_00372	CDS	219				hypothetical protein
LONINKCB_00373	CDS	396				hypothetical protein
LONINKCB_00374	CDS	201				hypothetical protein
LONINKCB_00375	CDS	408				hypothetical protein
LONINKCB_00376	CDS	159				hypothetical protein
LONINKCB_00377	CDS	189				hypothetical protein
LONINKCB_00378	CDS	219				hypothetical protein
LONINKCB_00379	CDS	423				hypothetical protein
LONINKCB_00380	CDS	162				hypothetical protein
LONINKCB_00381	CDS	282				hypothetical protein
LONINKCB_00382	CDS	234				hypothetical protein
LONINKCB_00383	CDS	165				hypothetical protein
LONINKCB_00384	CDS	165				hypothetical protein
LONINKCB_00385	CDS	402				hypothetical protein
LONINKCB_00386	CDS	381				hypothetical protein
LONINKCB_00387	CDS	159				hypothetical protein
LONINKCB_00388	CDS	567				hypothetical protein
LONINKCB_00389	CDS	297				hypothetical protein
LONINKCB_00390	CDS	285				hypothetical protein
LONINKCB_00391	CDS	489				hypothetical protein
LONINKCB_00392	CDS	294				hypothetical protein
LONINKCB_00393	CDS	432				hypothetical protein
LONINKCB_00394	CDS	276				hypothetical protein
LONINKCB_00395	CDS	165				hypothetical protein
LONINKCB_00396	CDS	207				hypothetical protein
LONINKCB_00397	CDS	192				hypothetical protein
LONINKCB_00398	CDS	249				hypothetical protein
LONINKCB_00399	CDS	204				hypothetical protein
LONINKCB_00400	CDS	219				hypothetical protein
LONINKCB_00401	CDS	399				hypothetical protein
LONINKCB_00402	CDS	219				hypothetical protein
LONINKCB_00403	CDS	198				hypothetical protein
LONINKCB_00404	CDS	198				hypothetical protein
LONINKCB_00405	CDS	231				hypothetical protein
LONINKCB_00406	CDS	183				hypothetical protein
LONINKCB_00407	CDS	198				hypothetical protein
LONINKCB_00408	CDS	192				hypothetical protein
LONINKCB_00409	CDS	222				hypothetical protein
LONINKCB_00410	CDS	285				hypothetical protein
LONINKCB_00411	CDS	213				hypothetical protein
LONINKCB_00412	CDS	180				hypothetical protein
LONINKCB_00413	CDS	267				hypothetical protein
LONINKCB_00414	CDS	231				hypothetical protein
LONINKCB_00415	CDS	267				hypothetical protein
LONINKCB_00416	CDS	219				hypothetical protein
LONINKCB_00417	CDS	258				hypothetical protein
LONINKCB_00418	CDS	192				hypothetical protein
LONINKCB_00419	CDS	249				hypothetical protein
LONINKCB_00420	CDS	168				hypothetical protein
LONINKCB_00421	CDS	204				hypothetical protein
LONINKCB_00422	CDS	258				hypothetical protein
LONINKCB_00423	CDS	192				hypothetical protein
LONINKCB_00424	CDS	219				hypothetical protein
LONINKCB_00425	CDS	534				hypothetical protein
LONINKCB_00426	CDS	276				hypothetical protein
LONINKCB_00427	CDS	189				hypothetical protein
LONINKCB_00428	CDS	258				hypothetical protein
LONINKCB_00429	CDS	315				hypothetical protein
LONINKCB_00430	CDS	651	rbgA		COG1161	Ribosome biogenesis GTPase A
LONINKCB_00431	CDS	207				hypothetical protein
LONINKCB_00432	CDS	468				hypothetical protein
LONINKCB_00433	CDS	300				hypothetical protein
LONINKCB_00434	CDS	201				hypothetical protein
LONINKCB_00435	CDS	198				hypothetical protein
LONINKCB_00436	CDS	165				hypothetical protein
LONINKCB_00437	CDS	207				hypothetical protein
LONINKCB_00438	CDS	246				hypothetical protein
LONINKCB_00439	CDS	189				hypothetical protein
LONINKCB_00440	CDS	276				hypothetical protein
LONINKCB_00441	CDS	204				hypothetical protein
LONINKCB_00442	CDS	231				hypothetical protein
LONINKCB_00443	CDS	192				hypothetical protein
LONINKCB_00444	CDS	168				hypothetical protein
LONINKCB_00445	CDS	213				hypothetical protein
LONINKCB_00446	CDS	213				hypothetical protein
LONINKCB_00447	CDS	198				hypothetical protein
LONINKCB_00448	CDS	213				hypothetical protein
LONINKCB_00449	CDS	243				hypothetical protein
LONINKCB_00450	CDS	384				hypothetical protein
LONINKCB_00451	CDS	171				hypothetical protein
LONINKCB_00452	CDS	231				hypothetical protein
LONINKCB_00453	CDS	192				hypothetical protein
LONINKCB_00454	CDS	174				hypothetical protein
LONINKCB_00455	CDS	210				hypothetical protein
LONINKCB_00456	CDS	207				hypothetical protein
LONINKCB_00457	CDS	288				hypothetical protein
LONINKCB_00458	CDS	216				hypothetical protein
LONINKCB_00459	CDS	213				hypothetical protein
LONINKCB_00460	CDS	192				hypothetical protein
LONINKCB_00461	CDS	249				hypothetical protein
LONINKCB_00462	CDS	294				hypothetical protein
LONINKCB_00463	CDS	252				hypothetical protein
LONINKCB_00464	CDS	189				hypothetical protein
LONINKCB_00465	CDS	228				hypothetical protein
LONINKCB_00466	CDS	225				hypothetical protein
LONINKCB_00467	CDS	189				hypothetical protein
LONINKCB_00468	CDS	210				hypothetical protein
LONINKCB_00469	CDS	261				hypothetical protein
LONINKCB_00470	CDS	258				hypothetical protein
LONINKCB_00471	CDS	213				hypothetical protein
LONINKCB_00472	CDS	168				hypothetical protein
LONINKCB_00473	CDS	192				hypothetical protein
LONINKCB_00474	CDS	174				hypothetical protein
LONINKCB_00475	CDS	204				hypothetical protein
LONINKCB_00476	CDS	195				hypothetical protein
LONINKCB_00477	CDS	198				hypothetical protein
LONINKCB_00478	CDS	141				hypothetical protein
LONINKCB_00479	CDS	225				hypothetical protein
LONINKCB_00480	CDS	399				hypothetical protein
LONINKCB_00481	CDS	204				hypothetical protein
LONINKCB_00482	CDS	300				hypothetical protein
LONINKCB_00483	CDS	237				hypothetical protein
LONINKCB_00484	CDS	270				hypothetical protein
LONINKCB_00485	CDS	273				hypothetical protein
LONINKCB_00486	CDS	231				hypothetical protein
LONINKCB_00487	CDS	216				hypothetical protein
LONINKCB_00488	CDS	243				hypothetical protein
LONINKCB_00489	CDS	390				hypothetical protein
LONINKCB_00490	CDS	372				hypothetical protein
LONINKCB_00491	CDS	201				hypothetical protein
LONINKCB_00492	CDS	315				hypothetical protein
LONINKCB_00493	CDS	201				hypothetical protein
LONINKCB_00494	CDS	315				hypothetical protein
LONINKCB_00495	CDS	231				hypothetical protein
LONINKCB_00496	CDS	372				hypothetical protein
LONINKCB_00497	CDS	237				hypothetical protein
LONINKCB_00498	CDS	213				hypothetical protein
LONINKCB_00499	CDS	222				hypothetical protein
LONINKCB_00500	CDS	219				hypothetical protein
LONINKCB_00501	CDS	195				hypothetical protein
LONINKCB_00502	CDS	162				hypothetical protein
LONINKCB_00503	CDS	219				hypothetical protein
LONINKCB_00504	CDS	186				hypothetical protein
LONINKCB_00505	CDS	171				hypothetical protein
LONINKCB_00506	CDS	186				hypothetical protein
LONINKCB_00507	CDS	300				hypothetical protein
LONINKCB_00508	CDS	291				hypothetical protein
LONINKCB_00509	CDS	276				hypothetical protein
LONINKCB_00510	CDS	213				hypothetical protein
LONINKCB_00511	CDS	192				hypothetical protein
LONINKCB_00512	CDS	264				hypothetical protein
LONINKCB_00513	CDS	210				hypothetical protein
LONINKCB_00514	CDS	201				hypothetical protein
LONINKCB_00515	CDS	213				hypothetical protein
LONINKCB_00516	CDS	201				hypothetical protein
LONINKCB_00517	CDS	201				hypothetical protein
LONINKCB_00518	CDS	171				hypothetical protein
LONINKCB_00519	CDS	171				hypothetical protein
LONINKCB_00520	CDS	216				hypothetical protein
LONINKCB_00521	CDS	204				hypothetical protein
LONINKCB_00522	CDS	204				hypothetical protein
LONINKCB_00523	CDS	315				hypothetical protein
LONINKCB_00524	CDS	234				hypothetical protein
LONINKCB_00525	CDS	339				hypothetical protein
LONINKCB_00526	CDS	285				hypothetical protein
LONINKCB_00527	CDS	174				hypothetical protein
LONINKCB_00528	CDS	267				hypothetical protein
LONINKCB_00529	CDS	249				hypothetical protein
LONINKCB_00530	CDS	255				hypothetical protein
LONINKCB_00531	CDS	171				hypothetical protein
LONINKCB_00532	CDS	213				hypothetical protein
LONINKCB_00533	CDS	249				hypothetical protein
LONINKCB_00534	CDS	264				hypothetical protein
LONINKCB_00535	CDS	258				hypothetical protein
LONINKCB_00536	CDS	210				hypothetical protein
LONINKCB_00537	CDS	228				hypothetical protein
LONINKCB_00538	CDS	321				hypothetical protein
LONINKCB_00539	CDS	225				hypothetical protein
LONINKCB_00540	CDS	225				hypothetical protein
LONINKCB_00541	CDS	249				hypothetical protein
LONINKCB_00542	CDS	192				hypothetical protein
LONINKCB_00543	CDS	360				hypothetical protein
LONINKCB_00544	CDS	192				hypothetical protein
LONINKCB_00545	CDS	630				hypothetical protein
LONINKCB_00546	CDS	273				hypothetical protein
LONINKCB_00547	CDS	141				hypothetical protein
LONINKCB_00548	CDS	240				hypothetical protein
LONINKCB_00549	CDS	294				hypothetical protein
LONINKCB_00550	CDS	348				hypothetical protein
LONINKCB_00551	CDS	261				hypothetical protein
LONINKCB_00552	CDS	150				hypothetical protein
LONINKCB_00553	CDS	228				hypothetical protein
LONINKCB_00554	CDS	234				hypothetical protein
LONINKCB_00555	CDS	249				hypothetical protein
LONINKCB_00556	CDS	276				hypothetical protein
LONINKCB_00557	CDS	270				hypothetical protein
LONINKCB_00558	CDS	195				hypothetical protein
LONINKCB_00559	CDS	240				hypothetical protein
LONINKCB_00560	CDS	216				hypothetical protein
LONINKCB_00561	CDS	279				hypothetical protein
LONINKCB_00562	CDS	216				hypothetical protein
LONINKCB_00563	CDS	225				hypothetical protein
LONINKCB_00564	CDS	162				hypothetical protein
LONINKCB_00565	CDS	240				hypothetical protein
LONINKCB_00566	CDS	186				hypothetical protein
LONINKCB_00567	CDS	174				hypothetical protein
LONINKCB_00568	CDS	213				hypothetical protein
LONINKCB_00569	CDS	258				hypothetical protein
LONINKCB_00570	CDS	171				hypothetical protein
LONINKCB_00571	CDS	240				hypothetical protein
LONINKCB_00572	CDS	168				hypothetical protein
LONINKCB_00573	CDS	246				hypothetical protein
LONINKCB_00574	CDS	255				hypothetical protein
LONINKCB_00575	CDS	210				hypothetical protein
LONINKCB_00576	CDS	813				hypothetical protein
LONINKCB_00577	CDS	225				hypothetical protein
LONINKCB_00578	CDS	411				hypothetical protein
LONINKCB_00579	CDS	579				hypothetical protein
