#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_12	984802	60	N	N	1	*	1875,1680,1678,1679,1875,1680,1678,1679,12,30
contig_117	956820	18	N	N	1	*	117
contig_319	934571	53	N	N	1	*	1841,319,337,-926,-350,337,-926,-350
contig_140	912404	57	N	N	1	*	140,-1817
contig_578	893487	40	N	N	1	*	578
contig_556	888156	20	N	N	1	*	555,556
contig_642	872845	54	N	N	1	*	642
contig_403	852682	54	N	N	1	*	403
contig_728	777040	39	N	N	1	*	728
contig_125	755557	17	N	N	1	*	125
contig_16	747236	44	N	N	1	*	16,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665,-665
contig_992	743802	40	N	N	1	*	992
contig_1065	734386	47	N	N	1	*	1065
contig_840	726962	49	N	N	1	*	1829,952,952,840
contig_959	721262	41	N	N	1	*	1419,959
contig_736	637290	38	N	N	1	*	-1848,736,-921
contig_809	603219	17	N	N	1	*	-1848,809,-921
contig_152	598853	18	N	N	1	*	*,152,*
contig_435	597513	60	N	N	1	*	435,-1101,1102,-1099
contig_258	592359	58	N	N	1	*	-368,371,-369,-367,-367,-367,-368,-340,-332,335,-331,339,-369,-367,-367,-367,-367,-368,-340,-332,335,-331,339,258,375
contig_1217	582800	61	N	N	1	*	-192,186,184,186,184,186,1217
contig_708	582222	42	N	N	1	*	708,-1193
contig_349	564858	59	N	N	1	*	*,330,349,1078
contig_772	560568	55	N	N	1	*	772
contig_993	546281	17	N	N	1	*	*,993
contig_1066	541270	18	N	N	1	*	1066
contig_844	526723	40	N	N	1	*	844
contig_1560	521944	18	N	N	1	*	1560,*
contig_562	518985	19	N	N	1	*	562
contig_735	512301	18	N	N	1	*	*,735
contig_885	511912	38	N	N	1	*	-887,885
contig_624	510597	41	N	N	1	*	624
contig_703	508111	60	N	N	1	*	1780,703,1078
contig_886	507655	18	N	N	1	*	886,887
contig_389	499797	38	N	N	1	*	389,1788
contig_943	494012	57	N	N	1	*	-1014,-1012,-1834,943
contig_436	493366	18	N	N	1	*	436
contig_388	489160	16	N	N	1	*	-1788,388
contig_15	480580	58	N	N	1	*	-922,-922,-922,-922,-1823,-923,-922,-922,-922,-922,-922,-922,-922,-1823,-923,-922,-922,-922,-922,-1823,-923,-922,-922,-922,-922,-1823,-923,-922,-922,-922,-922,-922,15,829
contig_1699	464969	54	N	N	1	*	1699
contig_748	461769	58	N	N	1	*	748,756,756,756,756,756,756,756,756,756,756
contig_733	460027	53	N	N	1	*	*,330,733,-1817
contig_664	455507	40	N	N	1	*	662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,662,664
contig_464	439663	39	N	N	1	*	464
contig_105	429999	40	N	N	1	*	105,-1831
contig_715	423424	44	N	N	1	*	715,1585
contig_1168	414146	53	N	N	1	*	1168
contig_557	412994	37	N	N	1	*	555,557,558,-559,558,-559,558,-559,558,-559,558,560
contig_432	412039	22	N	N	1	*	1850,432,*
contig_244	411180	43	N	N	1	*	244,249,-246
contig_667	409748	38	N	N	1	*	667
contig_278	405317	54	N	N	1	*	-270,278
contig_468	399971	17	N	N	1	*	468
contig_1225	396384	41	N	N	1	*	1225,1852
contig_415	393926	38	N	N	1	*	-1790,415
contig_409	391511	18	N	N	1	*	-406,409,418
contig_1056	383385	17	N	N	1	*	-1790,1056
contig_106	381691	18	N	N	1	*	106,-1831
contig_133	379647	40	N	N	1	*	133
contig_1242	378960	41	N	N	1	*	1242,-874
contig_233	376911	52	N	N	1	*	233,390,391,391,390,390,390,390,391,390,392,391,392,390,390,390,390,390,390,390,390,390,390,390,394,390,390,390,390,390,390,392,390,390,391,390,391,390,390,391,390,391,390,390,390,390,390,391,392,392,390,390,390,390,390,390,390
contig_777	376297	25	N	N	1	*	777,1868
contig_1203	371724	44	N	N	1	*	1203
contig_696	361956	17	N	N	1	*	1805,696,-1433
contig_1124	361394	40	N	N	1	*	1124
contig_132	359028	16	N	N	1	*	132
contig_623	356671	17	N	N	1	*	623,*
contig_963	354395	36	N	N	1	*	-1863,-1862,963
contig_697	352168	38	N	N	1	*	1805,697,-1433
contig_906	352127	19	N	N	1	*	906
contig_988	343658	15	N	N	1	*	988
contig_97	343443	16	N	N	1	*	97
contig_1162	342655	55	N	N	1	*	-257,-254,-253,-252,1162
contig_1243	342428	18	N	N	1	*	1243,-874
contig_989	341797	39	N	N	1	*	989
contig_845	337870	38	N	N	1	*	845,1876,-1770,1876,-1770,1876
contig_1819	336073	53	N	N	1	*	1819
contig_232	330953	61	N	N	1	*	209,232
contig_88	328857	41	N	N	1	*	88
contig_896	327419	49	N	N	1	*	896
contig_439	323323	18	N	N	1	*	439
contig_1024	320245	38	N	N	1	*	1828,1024
contig_93	319816	41	N	N	1	*	248,93
contig_1268	318534	39	N	N	1	*	1268
contig_617	317103	47	N	N	1	*	617
contig_121	316565	19	N	N	1	*	121,-1193
contig_1025	315402	20	N	N	1	*	1828,1025
contig_729	313804	18	N	N	1	*	-1544,729,1850
contig_1151	311153	39	N	N	1	*	-1830,1151
contig_110	310815	17	N	N	1	*	110
contig_326	309755	54	N	N	1	*	326,-755,-1809,754
contig_569	309002	18	N	N	1	*	569,1798
contig_605	306422	18	N	N	1	*	605,1801
contig_934	306347	17	N	N	1	*	-456,934
contig_690	303563	18	N	N	1	*	-921,690
contig_1036	302187	38	N	N	1	*	1036
contig_284	302177	36	N	N	1	*	284,1801
contig_1657	299707	19	N	N	1	*	1657
contig_1483	299401	39	N	N	1	*	1483
contig_1513	299017	39	N	N	1	*	1513
contig_1512	298467	16	N	N	1	*	1512
contig_608	291146	16	N	N	1	*	1802,608
contig_609	290589	39	N	N	1	*	1802,609
contig_933	289083	43	N	N	1	*	-456,933
contig_776	286561	36	N	N	1	*	*,776,1868
contig_566	285382	40	N	N	1	*	-998,566
contig_1150	283775	16	N	N	1	*	-1830,1150
contig_135	280855	41	N	N	1	*	135
contig_1034	278277	49	N	N	1	*	1034
contig_570	277067	40	N	N	1	*	570,1798
contig_962	273789	38	N	N	1	*	-1544,962
contig_1593	272921	44	N	N	1	*	1593
contig_802	270641	52	N	N	1	*	1814,802
contig_686	269581	17	N	N	1	*	684,686
contig_348	267452	66	N	N	1	*	*,330,348
contig_1339	267151	54	N	N	1	*	1339
contig_523	267119	40	N	N	1	*	523
contig_669	264899	48	N	N	1	*	-437,669
contig_356	263991	38	N	N	1	*	356,-1120
contig_1305	263941	16	N	N	1	*	1299,1305,1306
contig_1289	263791	40	N	N	1	*	1286,1289,1857
contig_414	261515	43	N	N	1	*	414
contig_639	261061	44	N	N	1	*	639
contig_687	260009	37	N	N	1	*	684,687
contig_1158	259919	39	N	N	1	*	1845,1158,1839
contig_805	259314	51	N	N	1	*	805
contig_131	259187	57	N	N	1	*	375,131
contig_1071	258137	45	N	N	1	*	1071
contig_814	257831	18	N	N	1	*	1734,814
contig_127	257601	36	N	N	1	*	-1779,127,-1807
contig_547	257492	41	N	N	1	*	544,547,1797
contig_1508	256282	52	N	N	1	*	1508
contig_982	255638	38	N	N	1	*	982,-1839
contig_504	255478	39	N	N	1	*	504,1795
contig_1304	254298	40	N	N	1	*	1299,1304,1306
contig_1430	252488	37	N	N	1	*	-1820,1430
contig_524	250036	18	N	N	1	*	524
contig_815	249836	37	N	N	1	*	1734,815
contig_1540	247928	51	N	N	1	*	1540
contig_139	247327	19	N	N	1	*	1858,139
contig_751	246513	37	N	N	1	*	751,1859
contig_3	246462	62	N	N	1	*	1,3,5,1777,-6,5,1777,-6
contig_434	243321	40	N	N	1	*	434,-1858
contig_812	242465	43	N	N	1	*	812
contig_492	241615	37	N	N	1	*	492
contig_108	241518	37	N	N	1	*	108
contig_1429	236377	16	N	N	1	*	-1820,1429
contig_505	235469	16	N	N	1	*	505,1795
contig_550	235420	39	N	N	1	*	1797,550
contig_848	234248	20	N	N	1	*	848
contig_454	233443	39	N	N	1	*	454
contig_536	233163	41	N	N	1	*	536,538
contig_551	232923	18	N	N	1	*	1797,551
contig_128	231862	17	N	N	1	*	128,-1807
contig_514	231394	53	N	N	1	*	514
contig_537	230404	19	N	N	1	*	-538,537,*
contig_453	228999	16	N	N	1	*	453
contig_541	228855	38	N	N	1	*	538,541,544
contig_1179	228654	40	N	N	1	*	1848,1179,1849
contig_752	227779	15	N	N	1	*	752,1859
contig_120	225913	19	N	N	1	*	120
contig_413	225480	15	N	N	1	*	*,413,*
contig_1180	224640	18	N	N	1	*	1848,1180,1849
contig_1786	222423	62	N	N	1	*	*,330,1786
contig_507	222094	15	N	N	1	*	1795,507
contig_506	221605	41	N	N	1	*	1795,506
contig_553	220998	18	N	N	1	*	553,555
contig_916	220878	17	N	N	1	*	-1464,916,917
contig_1437	220676	37	N	N	1	*	-1805,1437
contig_1865	218958	57	N	N	1	*	1865
contig_552	217794	39	N	N	1	*	552,555
contig_440	217186	38	N	N	1	*	-1464,440,917
contig_444	216905	17	N	N	1	*	444,-1779
contig_548	214097	19	N	N	1	*	544,548,1797
contig_529	213076	45	N	N	1	*	529
contig_769	212708	21	N	N	1	*	769,-1868
contig_113	212658	17	N	N	1	*	810,113
contig_674	212236	39	N	N	1	*	674
contig_1634	210953	18	N	N	1	*	-1839,1634
contig_1178	210403	16	N	N	1	*	1847,1178,-1790
contig_1112	209709	39	N	N	1	*	1112,1850
contig_134	209441	16	N	N	1	*	-544,134,-538
contig_811	209189	37	N	N	1	*	810,811
contig_837	208663	44	N	N	1	*	837
contig_909	207048	39	N	N	1	*	909
contig_261	206734	42	N	N	1	*	273,-257,-254,-253,-252,261,921
contig_1436	206723	19	N	N	1	*	-1805,1436
contig_300	206485	37	N	N	1	*	300
contig_1006	206186	16	N	N	1	*	*,1006
contig_155	205785	40	N	N	1	*	445,155
contig_265	204922	39	N	N	1	*	-257,-254,-253,-252,265,418
contig_1177	204403	35	N	N	1	*	1847,1177,-1790
contig_491	203060	18	N	N	1	*	491
contig_263	202608	42	N	N	1	*	-257,-254,-253,-252,263,406
contig_910	200623	18	N	N	1	*	910
contig_912	199599	31	N	N	1	*	-1829,912,1822
contig_299	196900	20	N	N	1	*	299,*
contig_881	195883	59	N	N	1	*	881
contig_96	195103	36	N	N	1	*	50,61,96
contig_911	192534	16	N	N	1	*	-1829,911,1822
contig_14	192112	56	N	N	1	*	853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,854,-853,14,855
contig_941	191903	36	N	N	1	*	941
contig_1791	191500	51	N	N	1	*	1791
contig_323	190808	17	N	N	1	*	323,874
contig_327	190464	35	N	N	1	*	327,874
contig_1202	186581	17	N	N	1	*	*,1202,*
contig_1533	185354	31	N	N	1	*	1868,1533
contig_109	184336	17	N	N	1	*	758,109,1862,1863
contig_89	182753	18	N	N	1	*	89
contig_958	181218	21	N	N	1	*	958
contig_1062	181096	17	N	N	1	*	1059,1062,*
contig_843	180547	53	N	N	1	*	843
contig_606	179758	15	N	N	1	*	1801,606,1802
contig_1058	177425	39	N	N	1	*	1058,1059
contig_707	177407	50	N	N	1	*	707
contig_1431	177026	15	N	N	1	*	-1433,1431,-433
contig_1211	176348	37	N	N	1	*	1211,-1852
contig_488	175993	40	N	N	1	*	915,488,977
contig_595	175631	39	N	N	1	*	595
contig_1285	175519	36	N	N	1	*	1856,1285,1286
contig_638	175150	16	N	N	1	*	638,*
contig_1837	173515	57	N	N	1	*	1837
contig_1111	173184	19	N	N	1	*	1111
contig_1524	173097	16	N	N	1	*	1524,*
contig_480	172341	49	N	N	1	*	480
contig_1325	170836	21	N	N	1	*	-1831,1325
contig_1640	170786	20	N	N	1	*	1640
contig_1744	170704	40	N	N	1	*	1744
contig_1511	168902	47	N	N	1	*	1511
contig_981	168663	18	N	N	1	*	*,981,-1839
contig_1288	166743	17	N	N	1	*	1286,1288,1857
contig_1212	166533	16	N	N	1	*	1212,-1852
contig_1057	166369	18	N	N	1	*	-1059,1057
contig_1403	166288	48	N	N	1	*	1403
contig_1284	165630	16	N	N	1	*	1856,1284,1286
contig_141	165149	40	N	N	1	*	-1821,141,-1820
contig_725	163734	47	N	N	1	*	725
contig_767	162580	35	N	N	1	*	767
contig_1459	161502	41	N	N	1	*	1459
contig_1175	161398	35	N	N	1	*	-1847,1175,1299
contig_513	160747	38	N	N	1	*	513
contig_607	159895	35	N	N	1	*	1801,607,1802
contig_957	158988	42	N	N	1	*	957
contig_579	158985	40	N	N	1	*	579
contig_1209	158523	57	N	N	1	*	1209
contig_1439	158520	17	N	N	1	*	1439
contig_126	158055	52	N	N	1	*	126
contig_1664	157988	47	N	N	1	*	1664
contig_948	157460	49	N	N	1	*	948
contig_266	157310	16	N	N	1	*	-810,266,252,253,254,257
contig_766	157121	24	N	N	1	*	766
contig_485	156834	40	N	N	1	*	485
contig_1185	156346	42	N	N	1	*	1185
contig_1224	155712	16	N	N	1	*	*,1224,1852
contig_1836	155255	54	N	N	1	*	1836
contig_580	155242	17	N	N	1	*	580
contig_713	155165	20	N	N	1	*	*,713,714,*
contig_142	154989	23	N	N	1	*	142
contig_1176	153559	15	N	N	1	*	-1299,1176,1847
contig_1527	153530	34	N	N	1	*	-1867,1527,1873
contig_1254	153413	60	N	N	1	*	1254
contig_731	153156	40	N	N	1	*	731
contig_1026	153122	39	N	N	1	*	1026
contig_1528	152947	22	N	N	1	*	-1873,1528,1867
contig_1072	152407	18	N	N	1	*	*,1072,*
contig_511	152077	16	N	N	1	*	511
contig_1665	151808	16	N	N	1	*	1665
contig_486	151753	21	N	N	1	*	486
contig_1200	151453	44	N	N	1	*	1200
contig_1432	151395	39	N	N	1	*	433,1432,1433
contig_487	150904	14	N	N	1	*	915,487,977
contig_381	150416	61	N	N	1	*	375,381,1549,1548,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1548,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1548,1549,1549,1549,1549,1549,1549,1549,1549
contig_1639	149206	38	N	N	1	*	1639
contig_352	148704	43	N	N	1	*	352,433
contig_1206	148258	16	N	N	1	*	1206
contig_950	147800	39	N	N	1	*	1830,950,-1792
contig_677	146978	13	N	N	1	*	-1821,677,-1820
contig_442	146712	43	N	N	1	*	-1773,-1773,442
contig_1421	145850	19	N	N	1	*	1421
contig_510	144826	38	N	N	1	*	510
contig_1420	144825	43	N	N	1	*	1420
contig_1633	144685	44	N	N	1	*	-1730,1633,810
contig_1440	143513	35	N	N	1	*	1440
contig_467	142282	54	N	N	1	*	-1232,467,1818
contig_1271	140511	44	N	N	1	*	1271
contig_351	139804	17	N	N	1	*	*,330,351
contig_1324	139272	33	N	N	1	*	-1831,1324
contig_1207	139161	39	N	N	1	*	1585,1207,-1821
contig_262	138924	39	N	N	1	*	-257,-254,-253,-253,262
contig_111	138319	17	N	N	1	*	111
contig_872	137725	18	N	N	1	*	872
contig_673	137273	46	N	N	1	*	*,673
contig_1127	136617	18	N	N	1	*	1127,1866
contig_1410	135712	46	N	N	1	*	1410
contig_1406	135695	40	N	N	1	*	1406
contig_807	134744	17	N	N	1	*	807,-868
contig_1441	134684	39	N	N	1	*	1441
contig_1525	134493	39	N	N	1	*	1525,1866
contig_949	133961	19	N	N	1	*	1830,949,-1792
contig_951	133411	12	N	N	1	*	*,951,*
contig_596	131657	19	N	N	1	*	*,596
contig_1785	131186	54	N	N	1	*	1785
contig_985	130743	14	N	N	1	*	1857,985
contig_1290	130586	43	N	N	1	*	1857,1290
contig_451	130424	38	N	N	1	*	451,1792
contig_705	130328	20	N	N	1	*	705,-1120
contig_1520	130130	17	N	N	1	*	1520
contig_914	127618	34	N	N	1	*	1822,914,915
contig_1064	127082	18	N	N	1	*	1064,*
contig_1208	125489	15	N	N	1	*	1821,1208,-1585
contig_806	125221	32	N	N	1	*	806,-329
contig_1226	124889	17	N	N	1	*	1226
contig_641	123771	15	N	N	1	*	641
contig_1764	122654	55	N	N	1	*	1764
contig_1582	122263	39	N	N	1	*	418,1582,-998
contig_342	122126	63	N	N	1	*	*,330,342
contig_1358	121812	24	N	N	1	*	1357,1358,-1844
contig_1263	120149	16	N	N	1	*	1263
contig_836	120119	40	N	N	1	*	836
contig_1008	118559	45	N	N	1	*	1008
contig_946	117447	21	N	N	1	*	946,1828
contig_913	117274	16	N	N	1	*	1822,913,915
contig_521	117062	43	N	N	1	*	521
contig_1407	117024	19	N	N	1	*	1407
contig_613	116613	57	N	N	1	*	613
contig_635	116552	20	N	N	1	*	635,637
contig_1227	116524	40	N	N	1	*	1227
contig_1328	116274	39	N	N	1	*	1859,1328
contig_1838	115683	51	N	N	1	*	1838
contig_1262	115641	42	N	N	1	*	1262
contig_1196	115465	44	N	N	1	*	1196
contig_1010	115396	36	N	N	1	*	1010
contig_1649	115163	49	N	N	1	*	1649
contig_1109	115064	31	N	N	1	*	1109,1844
contig_969	115046	38	N	N	1	*	969
contig_1239	115029	47	N	N	1	*	1855,1238,1239,1241
contig_421	114525	17	N	N	1	*	418,421,-998
contig_361	113746	59	N	N	1	*	361,1549,1549,1549,1549,1548,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1548,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1549,1548,1549,1549,1549
contig_91	113716	49	N	N	1	*	63,45,91,1557,-754
contig_1063	113596	37	N	N	1	*	1059,1063
contig_358	113262	53	N	N	1	*	358,-373,367,367,369,-339,331,-335
contig_1521	113154	42	N	N	1	*	1521
contig_1605	113146	21	N	N	1	*	1605,-1867
contig_819	112669	20	N	N	1	*	819,-1866
contig_1327	112625	17	N	N	1	*	1859,1327
contig_512	112540	21	N	N	1	*	512,*
contig_762	112386	39	N	N	1	*	762
contig_640	112254	40	N	N	1	*	640
contig_947	111903	38	N	N	1	*	947,1828
contig_362	111574	42	N	N	1	*	362
contig_636	111372	39	N	N	1	*	636,637
contig_884	111169	16	N	N	1	*	884
contig_865	110770	22	N	N	1	*	865
contig_1240	110415	16	N	N	1	*	1238,1240,1241
contig_357	110006	45	N	N	1	*	437,-344,357
contig_996	109653	16	N	N	1	*	*,996,998
contig_1031	109518	37	N	N	1	*	1031
contig_1181	109208	32	N	N	1	*	1849,1181
contig_1793	108317	44	N	N	1	*	1793
contig_869	107680	32	N	N	1	*	869
contig_498	106990	40	N	N	1	*	498
contig_499	105896	17	N	N	1	*	499
contig_1861	105003	55	N	N	1	*	1861
contig_1806	104948	53	N	N	1	*	1806
contig_441	104892	44	N	N	1	*	441
contig_1110	104474	18	N	N	1	*	1110,1844
contig_302	104423	19	N	N	1	*	302
contig_1032	103559	22	N	N	1	*	1032
contig_1787	103451	59	N	N	1	*	1787
contig_1322	103383	16	N	N	1	*	-1858,1322
