locus_tag	ftype	length_bp	gene	EC_number	COG	product
GBPCPCFC_00038	gene	558	hin_1			
GBPCPCFC_00039	CDS	327				hypothetical protein
GBPCPCFC_00039	gene	327				
GBPCPCFC_00040	CDS	390	vapC	3.1.-.-		tRNA(fMet)-specific endonuclease VapC
GBPCPCFC_00040	gene	390	vapC			
GBPCPCFC_00041	CDS	774	soj_1	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
GBPCPCFC_00041	gene	774	soj_1			
GBPCPCFC_00042	CDS	321				hypothetical protein
GBPCPCFC_00042	gene	321				
GBPCPCFC_00043	CDS	1095				hypothetical protein
GBPCPCFC_00043	gene	1095				
GBPCPCFC_00044	CDS	177				hypothetical protein
GBPCPCFC_00044	gene	177				
GBPCPCFC_00045	CDS	2409				hypothetical protein
GBPCPCFC_00045	gene	2409				
GBPCPCFC_00046	CDS	729				hypothetical protein
GBPCPCFC_00046	gene	729				
GBPCPCFC_00047	CDS	1095				hypothetical protein
GBPCPCFC_00047	gene	1095				
GBPCPCFC_00048	CDS	153				hypothetical protein
GBPCPCFC_00048	gene	153				
GBPCPCFC_00049	CDS	378				hypothetical protein
GBPCPCFC_00049	gene	378				
GBPCPCFC_00050	CDS	135				hypothetical protein
GBPCPCFC_00050	gene	135				
GBPCPCFC_00051	CDS	285				hypothetical protein
GBPCPCFC_00051	gene	285				
GBPCPCFC_00052	CDS	288				hypothetical protein
GBPCPCFC_00052	gene	288				
GBPCPCFC_00053	CDS	396				hypothetical protein
GBPCPCFC_00053	gene	396				
GBPCPCFC_00054	CDS	183				hypothetical protein
GBPCPCFC_00054	gene	183				
GBPCPCFC_00055	CDS	102				hypothetical protein
GBPCPCFC_00055	gene	102				
GBPCPCFC_00056	CDS	1449	tnpA_1	3.1.-.-		Transposase for transposon Tn5
GBPCPCFC_00056	gene	1449	tnpA_1			
GBPCPCFC_00057	CDS	396				hypothetical protein
GBPCPCFC_00057	gene	396				
GBPCPCFC_00058	CDS	411				hypothetical protein
GBPCPCFC_00058	gene	411				
GBPCPCFC_00059	CDS	1662	lon_1	3.4.21.53		Lon protease
GBPCPCFC_00059	gene	1662	lon_1			
GBPCPCFC_00060	CDS	285	lon2	3.4.21.53	COG0466	Lon protease 2
GBPCPCFC_00060	gene	285	lon2			
GBPCPCFC_00061	CDS	438				hypothetical protein
GBPCPCFC_00061	gene	438				
GBPCPCFC_00062	CDS	858	lon1	3.4.21.53	COG0466	Lon protease 1
GBPCPCFC_00062	gene	858	lon1			
GBPCPCFC_00063	CDS	1122				hypothetical protein
GBPCPCFC_00063	gene	1122				
GBPCPCFC_00064	CDS	642				hypothetical protein
GBPCPCFC_00064	gene	642				
GBPCPCFC_00065	CDS	1278				hypothetical protein
GBPCPCFC_00065	gene	1278				
GBPCPCFC_00066	CDS	129				hypothetical protein
GBPCPCFC_00066	gene	129				
GBPCPCFC_00067	CDS	1095				hypothetical protein
GBPCPCFC_00067	gene	1095				
GBPCPCFC_00068	CDS	1194	proP_1			Proline/betaine transporter
GBPCPCFC_00068	gene	1194	proP_1			
GBPCPCFC_00069	CDS	1107				hypothetical protein
GBPCPCFC_00069	gene	1107				
GBPCPCFC_00070	CDS	717	rsh_1	2.7.6.5		GTP pyrophosphokinase rsh
GBPCPCFC_00070	gene	717	rsh_1			
GBPCPCFC_00071	CDS	294				hypothetical protein
GBPCPCFC_00071	gene	294				
GBPCPCFC_00072	CDS	648	soj_2	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
GBPCPCFC_00072	gene	648	soj_2			
GBPCPCFC_00073	CDS	513				hypothetical protein
GBPCPCFC_00073	gene	513				
GBPCPCFC_00074	CDS	525				hypothetical protein
GBPCPCFC_00074	gene	525				
GBPCPCFC_00075	CDS	438				hypothetical protein
GBPCPCFC_00075	gene	438				
GBPCPCFC_00076	CDS	174				hypothetical protein
GBPCPCFC_00076	gene	174				
GBPCPCFC_00077	CDS	255	relG	3.1.-.-	COG2026	Toxin RelG
GBPCPCFC_00077	gene	255	relG			
GBPCPCFC_00078	CDS	216				hypothetical protein
GBPCPCFC_00078	gene	216				
GBPCPCFC_00079	CDS	123				hypothetical protein
GBPCPCFC_00079	gene	123				
GBPCPCFC_00080	CDS	375				hypothetical protein
GBPCPCFC_00080	gene	375				
GBPCPCFC_00081	CDS	759				hypothetical protein
GBPCPCFC_00081	gene	759				
GBPCPCFC_00082	CDS	1095				hypothetical protein
GBPCPCFC_00082	gene	1095				
GBPCPCFC_00083	CDS	1293				hypothetical protein
GBPCPCFC_00083	gene	1293				
GBPCPCFC_00084	CDS	147				hypothetical protein
GBPCPCFC_00084	gene	147				
GBPCPCFC_00085	CDS	363				hypothetical protein
GBPCPCFC_00085	gene	363				
GBPCPCFC_00086	CDS	186				hypothetical protein
GBPCPCFC_00086	gene	186				
GBPCPCFC_00087	CDS	1743	asnB_1	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
GBPCPCFC_00087	gene	1743	asnB_1			
GBPCPCFC_00088	CDS	1233				hypothetical protein
GBPCPCFC_00088	gene	1233				
GBPCPCFC_00089	CDS	780				hypothetical protein
GBPCPCFC_00089	gene	780				
GBPCPCFC_00090	CDS	1815	tagH_1	3.6.3.40		Teichoic acids export ATP-binding protein TagH
GBPCPCFC_00090	gene	1815	tagH_1			
GBPCPCFC_00091	CDS	1707	ubiG_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase
GBPCPCFC_00091	gene	1707	ubiG_1			
GBPCPCFC_00092	CDS	1341				hypothetical protein
GBPCPCFC_00092	gene	1341				
GBPCPCFC_00093	CDS	177				hypothetical protein
GBPCPCFC_00093	gene	177				
GBPCPCFC_00094	CDS	2838				hypothetical protein
GBPCPCFC_00094	gene	2838				
GBPCPCFC_00095	CDS	1191				hypothetical protein
GBPCPCFC_00095	gene	1191				
GBPCPCFC_00096	CDS	1845	asnB_2	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
GBPCPCFC_00096	gene	1845	asnB_2			
GBPCPCFC_00097	CDS	216				hypothetical protein
GBPCPCFC_00097	gene	216				
GBPCPCFC_00098	CDS	1308	wbpA	1.1.1.136	COG0677	UDP-N-acetyl-D-glucosamine 6-dehydrogenase
GBPCPCFC_00098	gene	1308	wbpA			
GBPCPCFC_00099	CDS	933	yjhC	1.-.-.-	COG0673	putative oxidoreductase YjhC
GBPCPCFC_00099	gene	933	yjhC			
GBPCPCFC_00100	CDS	591	wbpD	2.3.1.201	COG0110	UDP-2-acetamido-3-amino-2,3-dideoxy-D-glucuronate N-acetyltransferase
GBPCPCFC_00100	gene	591	wbpD			
GBPCPCFC_00101	CDS	1131	wbpE	2.6.1.98	COG0399	UDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate aminotransferase
GBPCPCFC_00101	gene	1131	wbpE			
GBPCPCFC_00102	CDS	1101	wbpI	5.1.3.23	COG0381	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
GBPCPCFC_00102	gene	1101	wbpI			
GBPCPCFC_00103	CDS	375				hypothetical protein
GBPCPCFC_00103	gene	375				
GBPCPCFC_00104	CDS	468				hypothetical protein
GBPCPCFC_00104	gene	468				
GBPCPCFC_00105	CDS	216				hypothetical protein
GBPCPCFC_00105	gene	216				
GBPCPCFC_00106	CDS	465				hypothetical protein
GBPCPCFC_00106	gene	465				
GBPCPCFC_00107	CDS	159				hypothetical protein
GBPCPCFC_00107	gene	159				
GBPCPCFC_00108	CDS	957				hypothetical protein
GBPCPCFC_00108	gene	957				
GBPCPCFC_00109	CDS	201				hypothetical protein
GBPCPCFC_00109	gene	201				
GBPCPCFC_00110	CDS	399				hypothetical protein
GBPCPCFC_00110	gene	399				
GBPCPCFC_00111	CDS	945				hypothetical protein
GBPCPCFC_00111	gene	945				
GBPCPCFC_00112	CDS	117				hypothetical protein
GBPCPCFC_00112	gene	117				
GBPCPCFC_00113	CDS	1293				hypothetical protein
GBPCPCFC_00113	gene	1293				
GBPCPCFC_00114	CDS	606				hypothetical protein
GBPCPCFC_00114	gene	606				
GBPCPCFC_00115	CDS	609	tnpR_1		COG1961	Transposon gamma-delta resolvase
GBPCPCFC_00115	gene	609	tnpR_1			
GBPCPCFC_00116	CDS	216				hypothetical protein
GBPCPCFC_00116	gene	216				
GBPCPCFC_00117	CDS	270				Insertion sequence IS5376 putative ATP-binding protein
GBPCPCFC_00117	gene	270				
GBPCPCFC_00118	CDS	291				hypothetical protein
GBPCPCFC_00118	gene	291				
GBPCPCFC_00119	CDS	189				hypothetical protein
GBPCPCFC_00119	gene	189				
GBPCPCFC_00120	CDS	165				hypothetical protein
GBPCPCFC_00120	gene	165				
GBPCPCFC_00121	CDS	204				hypothetical protein
GBPCPCFC_00121	gene	204				
GBPCPCFC_00122	CDS	201				hypothetical protein
GBPCPCFC_00122	gene	201				
GBPCPCFC_00123	CDS	171				hypothetical protein
GBPCPCFC_00123	gene	171				
GBPCPCFC_00124	CDS	843	barA_1	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
GBPCPCFC_00124	gene	843	barA_1			
GBPCPCFC_00125	CDS	816				hypothetical protein
GBPCPCFC_00125	gene	816				
GBPCPCFC_00126	CDS	1635				hypothetical protein
GBPCPCFC_00126	gene	1635				
GBPCPCFC_00127	CDS	1452	mecR1			Methicillin resistance mecR1 protein
GBPCPCFC_00127	gene	1452	mecR1			
GBPCPCFC_00128	CDS	861				hypothetical protein
GBPCPCFC_00128	gene	861				
GBPCPCFC_00129	CDS	1659				hypothetical protein
GBPCPCFC_00129	gene	1659				
GBPCPCFC_00130	CDS	339				hypothetical protein
GBPCPCFC_00130	gene	339				
GBPCPCFC_00131	CDS	501				hypothetical protein
GBPCPCFC_00131	gene	501				
GBPCPCFC_00132	CDS	180				hypothetical protein
GBPCPCFC_00132	gene	180				
GBPCPCFC_00133	CDS	417				hypothetical protein
GBPCPCFC_00133	gene	417				
GBPCPCFC_00134	CDS	957				hypothetical protein
GBPCPCFC_00134	gene	957				
GBPCPCFC_00135	CDS	1068				hypothetical protein
GBPCPCFC_00135	gene	1068				
GBPCPCFC_00136	CDS	1464				hypothetical protein
GBPCPCFC_00136	gene	1464				
GBPCPCFC_00137	CDS	384				hypothetical protein
GBPCPCFC_00137	gene	384				
GBPCPCFC_00138	CDS	3921				hypothetical protein
GBPCPCFC_00138	gene	3921				
GBPCPCFC_00139	CDS	354				hypothetical protein
GBPCPCFC_00139	gene	354				
GBPCPCFC_00140	CDS	189				hypothetical protein
GBPCPCFC_00140	gene	189				
GBPCPCFC_00141	CDS	795				hypothetical protein
GBPCPCFC_00141	gene	795				
GBPCPCFC_00142	CDS	2178				hypothetical protein
GBPCPCFC_00142	gene	2178				
GBPCPCFC_00143	CDS	501				hypothetical protein
GBPCPCFC_00143	gene	501				
GBPCPCFC_00144	CDS	777				hypothetical protein
GBPCPCFC_00144	gene	777				
GBPCPCFC_00145	CDS	348				hypothetical protein
GBPCPCFC_00145	gene	348				
GBPCPCFC_00146	CDS	216				hypothetical protein
GBPCPCFC_00146	gene	216				
GBPCPCFC_00147	CDS	636				hypothetical protein
GBPCPCFC_00147	gene	636				
GBPCPCFC_00148	CDS	1023				hypothetical protein
GBPCPCFC_00148	gene	1023				
GBPCPCFC_00149	CDS	873				hypothetical protein
GBPCPCFC_00149	gene	873				
GBPCPCFC_00150	CDS	2127				hypothetical protein
GBPCPCFC_00150	gene	2127				
GBPCPCFC_00151	CDS	333				hypothetical protein
GBPCPCFC_00151	gene	333				
GBPCPCFC_00152	CDS	2133				hypothetical protein
GBPCPCFC_00152	gene	2133				
GBPCPCFC_00153	CDS	378				hypothetical protein
GBPCPCFC_00153	gene	378				
GBPCPCFC_00154	CDS	813				hypothetical protein
GBPCPCFC_00154	gene	813				
GBPCPCFC_00155	CDS	2415				hypothetical protein
GBPCPCFC_00155	gene	2415				
GBPCPCFC_00156	CDS	318				hypothetical protein
GBPCPCFC_00156	gene	318				
GBPCPCFC_00157	CDS	519				hypothetical protein
GBPCPCFC_00157	gene	519				
GBPCPCFC_00158	CDS	192				hypothetical protein
GBPCPCFC_00158	gene	192				
GBPCPCFC_00159	CDS	144				hypothetical protein
GBPCPCFC_00159	gene	144				
GBPCPCFC_00160	CDS	177				hypothetical protein
GBPCPCFC_00160	gene	177				
GBPCPCFC_00161	CDS	171				hypothetical protein
GBPCPCFC_00161	gene	171				
GBPCPCFC_00162	CDS	207				hypothetical protein
GBPCPCFC_00162	gene	207				
GBPCPCFC_00163	CDS	108				hypothetical protein
GBPCPCFC_00163	gene	108				
GBPCPCFC_00164	CDS	198				hypothetical protein
GBPCPCFC_00164	gene	198				
GBPCPCFC_00165	CDS	441				hypothetical protein
GBPCPCFC_00165	gene	441				
GBPCPCFC_00166	CDS	402				hypothetical protein
GBPCPCFC_00166	gene	402				
GBPCPCFC_00167	CDS	1359	traI_1			Multifunctional conjugation protein TraI
GBPCPCFC_00167	gene	1359	traI_1			
GBPCPCFC_00168	CDS	465				hypothetical protein
GBPCPCFC_00168	gene	465				
GBPCPCFC_00169	CDS	1095				hypothetical protein
GBPCPCFC_00169	gene	1095				
GBPCPCFC_00170	CDS	789				hypothetical protein
GBPCPCFC_00170	gene	789				
GBPCPCFC_00171	CDS	507				hypothetical protein
GBPCPCFC_00171	gene	507				
GBPCPCFC_00172	CDS	288				hypothetical protein
GBPCPCFC_00172	gene	288				
GBPCPCFC_00173	CDS	1845				hypothetical protein
GBPCPCFC_00173	gene	1845				
GBPCPCFC_00174	CDS	954	barA_2	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
GBPCPCFC_00174	gene	954	barA_2			
GBPCPCFC_00175	CDS	147	dpnM_1	2.1.1.72		Modification methylase DpnIIA
GBPCPCFC_00175	gene	147	dpnM_1			
GBPCPCFC_00176	CDS	654	dpnM_2	2.1.1.72		Modification methylase DpnIIA
GBPCPCFC_00176	gene	654	dpnM_2			
GBPCPCFC_00177	CDS	1722				hypothetical protein
GBPCPCFC_00177	gene	1722				
GBPCPCFC_00178	CDS	438				hypothetical protein
GBPCPCFC_00178	gene	438				
GBPCPCFC_00179	CDS	168				hypothetical protein
GBPCPCFC_00179	gene	168				
GBPCPCFC_00180	CDS	585	rcsD	2.7.2.-		Phosphotransferase RcsD
GBPCPCFC_00180	gene	585	rcsD			
GBPCPCFC_00181	CDS	351	evgS_1	2.7.13.3	COG0784	Sensor protein EvgS
GBPCPCFC_00181	gene	351	evgS_1			
GBPCPCFC_00182	CDS	1854				hypothetical protein
GBPCPCFC_00182	gene	1854				
GBPCPCFC_00183	CDS	288				hypothetical protein
GBPCPCFC_00183	gene	288				
GBPCPCFC_00184	CDS	531				hypothetical protein
GBPCPCFC_00184	gene	531				
GBPCPCFC_00185	CDS	321				hypothetical protein
GBPCPCFC_00185	gene	321				
GBPCPCFC_00186	CDS	2355				hypothetical protein
GBPCPCFC_00186	gene	2355				
GBPCPCFC_00187	CDS	246				hypothetical protein
GBPCPCFC_00187	gene	246				
GBPCPCFC_00188	CDS	282				hypothetical protein
GBPCPCFC_00188	gene	282				
GBPCPCFC_00189	CDS	1869				hypothetical protein
GBPCPCFC_00189	gene	1869				
GBPCPCFC_00190	CDS	234				hypothetical protein
GBPCPCFC_00190	gene	234				
GBPCPCFC_00191	CDS	1875				hypothetical protein
GBPCPCFC_00191	gene	1875				
GBPCPCFC_00192	CDS	465				hypothetical protein
GBPCPCFC_00192	gene	465				
GBPCPCFC_00193	CDS	1977				hypothetical protein
GBPCPCFC_00193	gene	1977				
GBPCPCFC_00194	CDS	3825				hypothetical protein
GBPCPCFC_00194	gene	3825				
GBPCPCFC_00195	CDS	531				hypothetical protein
GBPCPCFC_00195	gene	531				
GBPCPCFC_00196	CDS	465				hypothetical protein
GBPCPCFC_00196	gene	465				
GBPCPCFC_00197	CDS	1293				hypothetical protein
GBPCPCFC_00197	gene	1293				
GBPCPCFC_00198	CDS	285				hypothetical protein
GBPCPCFC_00198	gene	285				
GBPCPCFC_00199	CDS	417				hypothetical protein
GBPCPCFC_00199	gene	417				
GBPCPCFC_00200	CDS	192				hypothetical protein
GBPCPCFC_00200	gene	192				
GBPCPCFC_00201	CDS	3282	smc_1			Chromosome partition protein Smc
GBPCPCFC_00201	gene	3282	smc_1			
GBPCPCFC_00202	CDS	1752				hypothetical protein
GBPCPCFC_00202	gene	1752				
GBPCPCFC_00203	CDS	465				hypothetical protein
GBPCPCFC_00203	gene	465				
GBPCPCFC_00204	CDS	117				hypothetical protein
GBPCPCFC_00204	gene	117				
GBPCPCFC_00205	CDS	1575				hypothetical protein
GBPCPCFC_00205	gene	1575				
GBPCPCFC_00206	CDS	465				hypothetical protein
GBPCPCFC_00206	gene	465				
GBPCPCFC_00207	tRNA	91				tRNA-Ser(gct)
GBPCPCFC_00207	gene	91				
GBPCPCFC_00208	CDS	159				hypothetical protein
GBPCPCFC_00208	gene	159				
GBPCPCFC_00209	CDS	339				hypothetical protein
GBPCPCFC_00209	gene	339				
GBPCPCFC_00210	CDS	1572	ctaD	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
GBPCPCFC_00210	gene	1572	ctaD			
GBPCPCFC_00211	CDS	624	vat	2.3.1.-		Virginiamycin A acetyltransferase
GBPCPCFC_00211	gene	624	vat			
GBPCPCFC_00212	CDS	807	ctaC	1.9.3.1	COG1622	Cytochrome c oxidase subunit 2
GBPCPCFC_00212	gene	807	ctaC			
GBPCPCFC_00213	CDS	852				hypothetical protein
GBPCPCFC_00213	gene	852				
GBPCPCFC_00214	CDS	825	ygfZ			tRNA-modifying protein YgfZ
GBPCPCFC_00214	gene	825	ygfZ			
GBPCPCFC_00215	CDS	2832	walK	2.7.13.3		Sensor histidine kinase WalK
GBPCPCFC_00215	gene	2832	walK			
GBPCPCFC_00216	CDS	900	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
GBPCPCFC_00216	gene	900	hemC			
GBPCPCFC_00217	CDS	1368	ffh		COG0541	Signal recognition particle protein
GBPCPCFC_00217	gene	1368	ffh			
GBPCPCFC_00218	tRNA	76				tRNA-Phe(gaa)
GBPCPCFC_00218	gene	76				
GBPCPCFC_00219	CDS	3090	sca2_1			Putative surface cell antigen sca2
GBPCPCFC_00219	gene	3090	sca2_1			
GBPCPCFC_00220	CDS	2985	smc_2			Chromosome partition protein Smc
GBPCPCFC_00220	gene	2985	smc_2			
GBPCPCFC_00221	CDS	282				hypothetical protein
GBPCPCFC_00221	gene	282				
GBPCPCFC_00222	CDS	1161	ubiF	1.14.13.-	COG0654	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase
GBPCPCFC_00222	gene	1161	ubiF			
GBPCPCFC_00223	rRNA	1498				16S ribosomal RNA
GBPCPCFC_00223	gene	1498				
GBPCPCFC_00224	CDS	1095				hypothetical protein
GBPCPCFC_00224	gene	1095				
GBPCPCFC_00225	CDS	156				hypothetical protein
GBPCPCFC_00225	gene	156				
GBPCPCFC_00226	CDS	231				hypothetical protein
GBPCPCFC_00226	gene	231				
GBPCPCFC_00227	CDS	1095				hypothetical protein
GBPCPCFC_00227	gene	1095				
GBPCPCFC_00228	CDS	1845				hypothetical protein
GBPCPCFC_00228	gene	1845				
GBPCPCFC_00229	CDS	750	barA_3	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
GBPCPCFC_00229	gene	750	barA_3			
GBPCPCFC_00230	CDS	663		3.4.17.19	COG2317	Thermostable carboxypeptidase 1
GBPCPCFC_00230	gene	663				
GBPCPCFC_00231	CDS	1095				hypothetical protein
GBPCPCFC_00231	gene	1095				
GBPCPCFC_00232	CDS	837	ypwA_1	3.4.17.19	COG2317	Carboxypeptidase 1
GBPCPCFC_00232	gene	837	ypwA_1			
GBPCPCFC_00233	CDS	2934				hypothetical protein
GBPCPCFC_00233	gene	2934				
GBPCPCFC_00234	CDS	174				hypothetical protein
GBPCPCFC_00234	gene	174				
GBPCPCFC_00235	CDS	1845				hypothetical protein
GBPCPCFC_00235	gene	1845				
GBPCPCFC_00236	CDS	231	evgS_2	2.7.13.3	COG0784	Sensor protein EvgS
GBPCPCFC_00236	gene	231	evgS_2			
GBPCPCFC_00237	CDS	240	barA_4	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
GBPCPCFC_00237	gene	240	barA_4			
GBPCPCFC_00238	CDS	285				hypothetical protein
GBPCPCFC_00238	gene	285				
GBPCPCFC_00239	CDS	273				hypothetical protein
GBPCPCFC_00239	gene	273				
GBPCPCFC_00240	CDS	132				hypothetical protein
GBPCPCFC_00240	gene	132				
GBPCPCFC_00241	CDS	489	barA_5	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
GBPCPCFC_00241	gene	489	barA_5			
GBPCPCFC_00242	CDS	1860				hypothetical protein
GBPCPCFC_00242	gene	1860				
GBPCPCFC_00243	CDS	291				hypothetical protein
GBPCPCFC_00243	gene	291				
GBPCPCFC_00244	CDS	108				hypothetical protein
GBPCPCFC_00244	gene	108				
GBPCPCFC_00245	CDS	144				hypothetical protein
GBPCPCFC_00245	gene	144				
GBPCPCFC_00246	CDS	1095				hypothetical protein
GBPCPCFC_00246	gene	1095				
GBPCPCFC_00247	CDS	996	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
GBPCPCFC_00247	gene	996	hemB			
GBPCPCFC_00248	CDS	960				hypothetical protein
GBPCPCFC_00248	gene	960				
GBPCPCFC_00249	CDS	564				hypothetical protein
GBPCPCFC_00249	gene	564				
GBPCPCFC_00250	CDS	2217	rne	3.1.26.12	COG1530	Ribonuclease E
GBPCPCFC_00250	gene	2217	rne			
GBPCPCFC_00251	CDS	1137				hypothetical protein
GBPCPCFC_00251	gene	1137				
GBPCPCFC_00252	CDS	1047	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
GBPCPCFC_00252	gene	1047	tsaD			
GBPCPCFC_00253	CDS	3405				hypothetical protein
GBPCPCFC_00253	gene	3405				
GBPCPCFC_00254	CDS	576	ompB_1		COG4625	Outer membrane protein B
GBPCPCFC_00254	gene	576	ompB_1			
GBPCPCFC_00255	CDS	852	mepM_1	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
GBPCPCFC_00255	gene	852	mepM_1			
GBPCPCFC_00256	CDS	840	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
GBPCPCFC_00256	gene	840	ycfH			
GBPCPCFC_00257	CDS	1962				hypothetical protein
GBPCPCFC_00257	gene	1962				
GBPCPCFC_00258	CDS	2250	parC	5.99.1.3	COG0188	DNA topoisomerase 4 subunit A
GBPCPCFC_00258	gene	2250	parC			
GBPCPCFC_00259	CDS	906	ctaB	2.5.1.-	COG0109	Protoheme IX farnesyltransferase
GBPCPCFC_00259	gene	906	ctaB			
GBPCPCFC_00260	CDS	591				hypothetical protein
GBPCPCFC_00260	gene	591				
GBPCPCFC_00261	CDS	522				hypothetical protein
GBPCPCFC_00261	gene	522				
GBPCPCFC_00262	CDS	438				hypothetical protein
GBPCPCFC_00262	gene	438				
GBPCPCFC_00263	CDS	174				hypothetical protein
GBPCPCFC_00263	gene	174				
GBPCPCFC_00264	CDS	1098	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
GBPCPCFC_00264	gene	1098	mnmA			
GBPCPCFC_00265	CDS	795				hypothetical protein
GBPCPCFC_00265	gene	795				
GBPCPCFC_00266	CDS	1413	yhdG		COG0531	putative amino acid permease YhdG
GBPCPCFC_00266	gene	1413	yhdG			
GBPCPCFC_00267	CDS	1272	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
GBPCPCFC_00267	gene	1272	hisS			
GBPCPCFC_00268	CDS	1092	ompB_2		COG4625	Outer membrane protein B
GBPCPCFC_00268	gene	1092	ompB_2			
GBPCPCFC_00269	CDS	225				hypothetical protein
GBPCPCFC_00269	gene	225				
GBPCPCFC_00270	CDS	1860				hypothetical protein
GBPCPCFC_00270	gene	1860				
